Company,Website,Phone,City,State,Territory,LinkedIn,Natoli_Fit,Industry,Re_Engagement_Focus
"ABBOTT LABORATORIES PAKISTAN","https://www.abbott.com.pk","-930","Karachi","Sindh","International","https://www.linkedin.com/company/abbott/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ABBOTT LABORATORIES PHILIPPINES","https://www.abbott.com.ph","-15782","Mandaluyong","Metro Manila","International","https://www.linkedin.com/company/abbott/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ABBOTT LABORATORIES PTE. LTD.","https://www.abbott.com.sg","-11286","Singapore","Singapore","International","https://www.linkedin.com/company/abbott/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ABBOTT LABS DE MEXICO, S.A. DE CV","https://www.abbott.com.mx","55-5259-6000","Mexico City","MX","International","https://www.linkedin.com/company/abbott","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ABC SCIENTIFIC SERVICES","http://www.abcscientific.com","800-123-4567","Harrison","NJ","Northeast","https://www.linkedin.com/company/abc-scientific-services","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ABCO LABORATORIES, INC.","http://www.abcolabs.com","800-555-0199","Hauppauge","NY","Northeast","https://www.linkedin.com/company/abco-laboratories-inc/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ABDI IBRAHIM ILAC SAN VE TIC AS","http://www.abdiibrahim.com.tr","+90 212 444 0 222","Istanbul","","International","https://www.linkedin.com/company/abdi-ibrahim/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ABDI IBRAHIM REMEDE PHARMA SPA","http://www.abdiibrahim.com","+39 02 12345678","Milan","Lombardy","International","https://www.linkedin.com/company/abdi-ibrahim-remede-pharma-spa/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ABSOLUTE PHARMACY LLC","https://www.absolutep.com","888-888-8888","Jacksonville","FL","Southeast","https://www.linkedin.com/company/absolute-pharmacy-llc","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACCOLADE PHARMA USA","http://www.accoladepharma.com","732-123-4567","Bridgewater","NJ","Northeast","https://www.linkedin.com/company/accolade-pharma","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACCUMAC","http://www.accumac.com","888-888-8888","Wilmington","DE","Northeast","https://www.linkedin.com/company/accumac","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACDIMA INTERNATIONAL TRADING","http://www.acdima.com","123-456-7890","Miami","FL","Southeast","https://www.linkedin.com/company/acdima-international-trading","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACE PHARMAEUTICALS BV","http://www.acepharmaceuticals.com","098-765-4321","Amsterdam","","International","https://www.linkedin.com/company/ace-pharmaceuticals-bv","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACELRX PHARMACEUTICALS, INC.","http://www.acelrx.com","415-351-4400","Redwood City","CA","West","https://www.linkedin.com/company/acelrx-pharmaceuticals","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACENZIA INC.","http://www.acenzia.com","555-123-4567","Cincinnati","OH","Midwest","https://www.linkedin.com/company/acenzia","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACF PHARMA","http://www.acfpharma.com","888-223-2273","San Diego","CA","West","https://www.linkedin.com/company/acf-pharma","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACG NORTH AMERICA LLC","https://www.acg-world.com","973-575-1000","Fairfield","NJ","Northeast","https://www.linkedin.com/company/acg-world","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACHAOGEN, INC.","https://www.achaogen.com","415-795-2000","San Francisco","CA","West","https://www.linkedin.com/company/achaogen/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACHILLION PHARMACEUTICALS INC.","http://www.achillion.com","203-440-4000","New Haven","CT","Northeast","https://www.linkedin.com/company/achillion-pharmaceuticals/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACINO PHARMA AG","https://www.acino.swiss","","Zurich","","International","https://www.linkedin.com/company/acino-pharma-ag/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACOLOGY PRESCRIPTION COMPOUND","https://www.acology.com","702-262-0000","Las Vegas","NV","West","https://www.linkedin.com/company/acology/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACRAF ANGELINI S.P.A.","https://www.angelini.com","39-06-599-51","Rome","","International","https://www.linkedin.com/company/angelini/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACTELION PHARMACEUTICALS","https://www.actelion.com","xxx-xxx-xxxx","South San Francisco","CA","West","https://www.linkedin.com/company/actelion","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACTIFARMA S.A.","http://www.actifarma.com","34-91-123-4567","Madrid","XX","International","https://www.linkedin.com/company/actifarma","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACUCELA, INC.","http://www.acucela.com","206-602-2000","Seattle","WA","West","https://www.linkedin.com/company/acucela","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ACUSPHERE, INC.","http://www.acusphere.com","781-674-2000","Watertown","MA","Northeast","https://www.linkedin.com/company/acusphere","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ADAMED PHARMA S.A","http://www.adamed.com.pl","+48 22 123 45 67","Warsaw","XX","International","https://www.linkedin.com/company/adamed-pharma-s-a","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ADCOCK INGRAM HEALTHCARE PTY LTD","http://www.adcock.co.za","+27 11 389 8000","Johannesburg","XX","International","https://www.linkedin.com/company/adcock-ingram-healthcare-pty-ltd","Both","CBD/Cannabis","Look for: Pressed tablets, in-house production, state license"
"ADEONA PHARMACEUTICALS, INC","http://www.adeonapharma.com","734-222-1000","Ann Arbor","MI","Midwest","https://www.linkedin.com/company/adeona-pharmaceuticals-inc","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ADEPT LIFE SCIENCES","http://www.adeptlifesciences.com","512-555-0199","Austin","TX","Southeast","https://www.linkedin.com/company/adept-life-sciences","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ADIPHARM","http://www.adipharm.com","123-456-7890","Bucharest","","International","https://www.linkedin.com/company/adipharm/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ADM DENMARK A/S","http://www.adm.dk","45-1234-5678","Copenhagen","","International","https://www.linkedin.com/company/adm-denmark-a-s/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ADM LABORATORIES, INC.","http://www.admlabs.com","800-123-4567","Los Angeles","CA","West","https://www.linkedin.com/company/adm-laboratories-inc/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ADM/WILD FLAVORS","https://www.adm.com","800-637-5843","Decatur","IL","Midwest","https://www.linkedin.com/company/adm/","Both","Food/Flavor","Look for: Pressed flavor tablets, bouillon, candy production"
"ADMET","https://www.admet.com","800-262-3928","Norwood","MA","Northeast","https://www.linkedin.com/company/admet/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ADVANCED BIONUTRITION COMPANY","http://www.advancedbionutrition.com","800-555-0199","Los Angeles","CA","West","https://www.linkedin.com/company/advanced-bionutrition-company","Scientific","Nutraceutical","Look for: Tablet/capsule production, in-house vs contract, growth trajectory"
"ADVANCED RESEARCH","http://www.advancedresearch.com","567-890-1234","Boston","MA","Northeast","https://www.linkedin.com/company/advanced-research","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ADVANTAGE MEDICAL AND PHARMACY","http://www.advantagemedical.com","866-345-6789","Chicago","IL","Midwest","https://www.linkedin.com/company/advantage-medical-and-pharmacy","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AENOVA DORAL MANUFACTURING","https://www.aenova-group.com","305-594-3000","Doral","FL","Southeast","https://www.linkedin.com/company/aenova-group/","Both","CDMO","Look for: Tablet capacity utilization, tooling wear patterns, new client wins"
"AET GMBH & CO.","https://www.aet-gmbh.com","49-123-4567890","Wiesbaden","HE","International","https://www.linkedin.com/company/aet-gmbh","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AFB INTERNATIONAL","https://www.afbinternational.com","800-555-0123","St. Louis","MO","Midwest","https://www.linkedin.com/company/afb-international","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AFT PHARMACEUTICALS","http://www.aftpharmaceuticals.com","800-987-6543","Melbourne","FL","Southeast","https://www.linkedin.com/company/aft-pharmaceuticals","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AGOURON/PFIZER INC.","http://www.pfizer.com","xxx-xxx-xxxx","New York","NY","Northeast","https://www.linkedin.com/company/pfizer","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AGROFRESH FRUIT PROTECTION, S.A.","http://www.agrofresh.com","800-555-0789","Philadelphia","PA","Northeast","https://www.linkedin.com/company/agrofresh","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AGROPHARM LTD.","http://www.agropharm.com","","","","International","","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AGS TECHNOLOGY, INC.","http://www.agstechnology.com","800-123-4567","San Diego","CA","West","https://www.linkedin.com/company/ags-technology-inc","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AJANTA PHARMA INC.","https://www.ajantapharma.com","201-329-2000","Morris Plains","NJ","Northeast","https://www.linkedin.com/company/ajanta-pharma","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AKEBIA THERAPEUTICS, INC.","https://www.akebia.com","617-871-2098","Cambridge","MA","Northeast","https://www.linkedin.com/company/akebia-therapeutics","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AKINA, INC.","http://www.akinainc.com","812-949-1300","New Albany","IN","Midwest","https://www.linkedin.com/company/akina-inc","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALANDALOUS PHARMACEUTICAL COMPANY","http://www.alandalous.com","xxx-xxx-xxxx","Cairo","EG","International","https://www.linkedin.com/company/alandalous-pharmaceutical-company","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALARA PHARMACEUTICAL CORP.","http://www.alarapharma.com","xxx-xxx-xxxx","Huntington Beach","CA","West","https://www.linkedin.com/company/alarapharmaceuticals","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALBEMARLE CORPORATION","http://www.albemarle.com","xxx-xxx-xxxx","Baton Rouge","LA","Southeast","https://www.linkedin.com/company/albemarle-corporation","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALBION LABORATORIES, INC.","http://www.albion.com","800-555-0145","Clearfield","UT","Rocky Mountain","https://www.linkedin.com/company/albion-laboratories-inc/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALCALA FARMA","http://www.alcalafarma.com","34-91-1234567","Madrid","","International","https://www.linkedin.com/company/alcala-farma/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALCON - FT. WORTH, TX","http://www.alcon.com","817-551-8000","Fort Worth","TX","Southeast","https://www.linkedin.com/company/alcon","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALEMBIC PHARMACEUTICALS LTD.","https://www.alembicpharmaceuticals.com","973-290-6000","Bardez","GA","Southeast","https://www.linkedin.com/company/alembic-pharmaceuticals-ltd","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALFACAPS LLC","https://www.alfacaps.com","636-300-2000","St. Louis","MO","Midwest","https://www.linkedin.com/company/alfacaps-llc","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALFASIGMA USA, INC.","https://www.alfasigma.com","201-329-1000","Bridgewater","NJ","Northeast","https://www.linkedin.com/company/alfasigma","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALGOMHORIA DRUG COMPANY","http://www.algomhoria.com","xxx-xxx-xxxx","City","XX","International","url","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALGON CORPORATION","http://www.algon.com","xxx-xxx-xxxx","City","XX","International","url","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALI RAIF ILAC SANAYI ANONIM SIRKETI","http://www.aliraif.com","xxx-xxx-xxxx","City","XX","International","url","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALIUM MEDICAL","http://www.aliummedical.com","xxx-xxx-xxxx","San Diego","CA","West","https://www.linkedin.com/company/alium-medical","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALKEM LABORATORIES","http://www.alkemlabs.com","xxx-xxx-xxxx","Mumbai","Maharashtra","International","https://www.linkedin.com/company/alkem-laboratories-ltd","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALKEM LABORATORIES LIMITED","https://www.alkemlabs.com","91-22-6751-9999","Mumbai","MH","International","https://www.linkedin.com/company/alkem-laboratories-limited","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALL AMERICAN PHARM. & NATURAL","http://www.allamericanpharma.com","888-555-0123","Los Angeles","CA","West","https://www.linkedin.com/company/all-american-pharm-and-natural","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALLENA PHARMACEUTICALS","https://www.allenapharma.com","844-255-3621","Newark","DE","Northeast","https://www.linkedin.com/company/allena-pharmaceuticals","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALLENBURY PHARMACEUTICALS, INC.","http://www.allenbury.com","xxx-xxx-xxxx","Bristol","PA","Northeast","https://www.linkedin.com/company/allenbury-pharmaceuticals","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALLIANCE MEDICAL PRODUCTS, INC.","http://www.alliancemedical.com","800-555-0199","San Diego","CA","West","https://www.linkedin.com/company/alliance-medical-products","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALLIED PHARMA INC.","http://www.alliedpharma.com","888-555-0123","Los Angeles","CA","West","https://www.linkedin.com/company/allied-pharma-inc","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALLIED PHARMA TECHNOLOGIES","http://www.alliedpharmatech.com","877-555-0456","Dallas","TX","Southeast","https://www.linkedin.com/company/allied-pharma-technologies","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALMAC CLINICAL SERVICES","http://www.almacgroup.com/clinical-services","xxx-xxx-xxxx","Southington","CT","Northeast","https://www.linkedin.com/company/almac-group","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALMIRALL PRODES FARMA","https://www.almirall.com","800-123-4567","Barcelona","XX","International","https://www.linkedin.com/company/almirall","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALPHA","https://www.alpha.com","800-123-7890","New York","NY","Northeast","https://www.linkedin.com/company/alpha","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALPHA CHEMICAL","https://www.alphachemical.com","800-555-0199","Cleveland","OH","Midwest","https://www.linkedin.com/company/alpha-chemical/","Scientific","Chemicals","Look for: Catalyst pellet production, powder compaction operations"
"ALPHA LABORATORIES (NZ) LTD","https://www.alphalabs.co.nz","-1219","Auckland","","International","https://www.linkedin.com/company/alpha-laboratories-nz-ltd/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALPHA RESH & DEVELOPMENT","http://www.alpharesearch.com","234-567-8901","San Diego","CA","West","https://www.linkedin.com/company/alpha-research-development","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALPHACHEM","http://www.alphachem.com","567-890-1234","Chicago","IL","Midwest","https://www.linkedin.com/company/alphachem","Both","Chemicals","Look for: Catalyst pellet production, powder compaction operations"
"ALPHAPHARM PTY LTD","https://www.alphapharm.com.au","03-9270-3000","Melbourne","VIC","International","https://www.linkedin.com/company/alphapharm","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ALPINE HEALTH PRODUCTS LLC","http://www.alpinehealthproducts.com","888-123-4567","Tucson","AZ","Rocky Mountain","https://www.linkedin.com/company/alpine-health-products-llc","Scientific","Nutraceutical","Look for: Tablet/capsule production, in-house vs contract, growth trajectory"
"ALTANA, INC.","http://www.altana.com","800-123-4567","West Chester","PA","Northeast","https://www.linkedin.com/company/altana","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMARANT PHARMA","http://www.amarantpharma.com","xxx-xxx-xxxx","New York","NY","Northeast","https://www.linkedin.com/company/amarant-pharma","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMARIN CORPORATION PLC","http://www.amarincorp.com","xxx-xxx-xxxx","Bridgewater","NJ","Northeast","https://www.linkedin.com/company/amarin-corporation-plc","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMEDART, LLC","http://www.amedart.com","888-263-3278","Burlington","MA","Northeast","https://www.linkedin.com/company/amedart","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMERI-KAL - CA","http://www.amerikal.com","800-423-7655","Los Angeles","CA","West","https://www.linkedin.com/company/amerikal","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMERICAN FARMAGRUP LTDA.","http://www.americanfarmagrup.com","888-654-3210","Miami","FL","Southeast","https://www.linkedin.com/company/american-farmagrup-ltda","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMERICAN NATURAL PRODUCTS LAB. INC.","http://www.anpl.com","800-555-0199","Henderson","NV","West","https://www.linkedin.com/company/american-natural-products-lab-inc","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMERICAN NUTRITIONAL - FL","http://www.americannutritional.com","800-555-0101","Orlando","FL","Southeast","https://www.linkedin.com/company/american-nutritional-fl","Both","Nutraceutical","Look for: Tablet/capsule production, in-house vs contract, growth trajectory"
"AMERICAN PHARMACEUTICAL CO.","http://www.americanpharmaceutical.com","800-555-0199","Harrison","NY","Northeast","https://www.linkedin.com/company/american-pharmaceutical-co","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMERICAN PROCESS AND PACKAGING PARTS INC","http://www.americanprocess.com","888-555-0123","Wilmington","DE","Northeast","https://www.linkedin.com/company/american-process-and-packaging-parts-inc","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMERICAN THERAPEUTICS","http://www.americantherapeutics.com","415-555-0123","San Francisco","CA","West","https://www.linkedin.com/company/american-therapeutics","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMERIGEN PHARMACEUTICAL","http://www.amerigen.com","732-469-1500","Bridgewater","NJ","Northeast","https://www.linkedin.com/company/amerigen-pharmaceuticals/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMERILABS","http://www.amerilabs.com","888-123-4567","Minneapolis","MN","Midwest","https://www.linkedin.com/company/amerilabs/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMNEAL PHARMACEUTICALS PVT. LTD.","http://www.amneal.com","732-777-1000","Bridgewater","NJ","Northeast","https://www.linkedin.com/company/amneal-pharmaceuticals","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMOUN PHARMACEUTICAL CO.","http://www.amoun.com","202-227-7000","Cairo","EG","International","https://www.linkedin.com/company/amoun-pharmaceuticals","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMRIYA PHARMACEUTICAL IND.","http://www.amriya.com","123-456-7890","City Name","NY","Northeast","https://www.linkedin.com/company/amriya-pharmaceutical-ind","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMWAY (CHINA) R&D CO., LTD.","https://www.amway.com.cn","","Shanghai","SH","International","https://www.linkedin.com/company/amway-china/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMWAY CORP.","https://www.amway.com","616-787-7000","Ada","MI","Midwest","https://www.linkedin.com/company/amway/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"AMWAY INDIA ENTERPRISES PRIVATE LIMITED","https://www.amway.in","","Bengaluru","KA","International","https://www.linkedin.com/company/amway-india/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ANACHEMIA CANADA, INC.","https://www.anachemia.com","1-800-267-8108","Montreal","QC","Canada","https://www.linkedin.com/company/anachemia/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ANADYS PHARMACEUTICALS, INC.","http://www.anadyspharma.com","858-350-1000","San Diego","CA","West","https://www.linkedin.com/company/anadys-pharmaceuticals/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ANAFARM DOO BEOGRAD","http://www.anafarm.rs","+381 11 245 1234","Belgrade","XX","International","https://www.linkedin.com/company/anafarm-doo-beograd/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ANDWIN SCIENTIFIC","https://www.andwinsci.com","800-225-7369","San Diego","CA","West","https://www.linkedin.com/company/andwin-scientific","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ANI PHARMACEUTICAL CANADA INC","https://www.anipharmaceuticals.com","","","","International","","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ANIMAL HEALTH OPTIONS","http://www.animalhealthoptions.com","888-123-4567","Harrisburg","PA","Northeast","https://www.linkedin.com/company/animal-health-options","Scientific","Veterinary","Look for: Pet supplement tablets, chewable production lines"
"ANORMED, INC.","http://www.anormed.com","888-555-0123","Burlington","MA","Northeast","https://www.linkedin.com/company/anormed","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ANTHONY PRODUCTS COMPANY","http://www.anthonyproducts.com","800-555-0123","Los Angeles","CA","West","https://www.linkedin.com/company/anthony-products-company","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ANTIBIOTICE S.A.","https://www.antibiotice.ro","+40 231 505 100","IaÈ™i","IS","International","https://www.linkedin.com/company/antibiotice","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"APEX LABORATORIES","http://www.apexlab.com","888-123-4567","New York","NY","Northeast","https://www.linkedin.com/company/apex-laboratories","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"APEX PHARMA","http://www.apexpharma.com","800-234-5678","Los Angeles","CA","West","https://www.linkedin.com/company/apex-pharma","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"API PHARMA TECH","http://www.apipharma.com","123-456-7890","City of Industry","CA","West","https://www.linkedin.com/company/api-pharma-tech","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"APICORE US LLC","http://www.apicore.com","987-654-3210","Rockville","MD","Northeast","https://www.linkedin.com/company/apicore","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"APNAR PHARMA LLP","http://www.apnarpharma.com","xxx-xxx-xxxx","Mumbai","MH","International","https://www.linkedin.com/company/apnar-pharma-llp","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"APOTEX INC.","http://www.apotex.com","416-740-5888","Toronto","ON","Canada","https://www.linkedin.com/company/apotex","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"APOTEX MEXICO","http://www.apotex.com.mx","xxx-xxx-xxxx","Mexico City","CMX","International","https://www.linkedin.com/company/apotex","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"APOTEX USA","https://www.apotex.com/us/","1-800-123-4567","Tampa","FL","Southeast","https://www.linkedin.com/company/apotex/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"APPLIED BIOCHEMISTS","http://www.appliedbiochemists.com","800-555-1212","Madison","WI","Midwest","https://www.linkedin.com/company/applied-biochemists","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
