Company,Industry,Fit,Tier,Tier 1 Reason,Territory,Website,Phone,City,State,Country,Employees,Data Quality,Needs Research,Contact Count
"NutraScience Labs","Nutraceutical","Both","Tier 1","Contract supplement tableting.","Northeast","https://www.nutrasciencelabs.com","","Farmingdale","New York","United States","200","Partial","Yes","1"
"Vitaquest International","Nutraceutical","Both","Tier 1","Contract nutraceutical tablets.","Northeast","https://www.vitaquest.com","","West Caldwell","New Jersey","United States","500","Complete","Yes","4"
"CAPTEK Softgel International","Nutraceutical","Both","Tier 1","Contract supplement manufacturer.","West Coast","https://www.capteksoftgel.com","","Cerritos","California","United States","700","Partial","Yes",""
"Avara Pharmaceutical Services","CDMO/CMO","Both","Tier 2","","Northeast","https://www.avara.com","","Albuquerque","New Mexico","United States","1000","Complete","Yes","3"
"Adare Pharma Solutions","CDMO/CMO","Both","Tier 2","","Northeast","https://www.adarepharmasolutions.com","","Philadelphia","Pennsylvania","United States","800","Complete","Yes","4"
"Societal CDMO","CDMO/CMO","Both","Tier 2","","Northeast","https://www.societalcdmo.com","","Gainesville","Georgia","United States","500","Partial","Yes",""
"Pfizer CentreOne","CDMO/CMO","Both","Tier 1","Global leader in solid dose manufacturing. Massive tablet production for Lipitor, Viagra, and generics.","Northeast","https://www.pfizercentreone.com","","New York","New York","United States","5000","Partial","Yes","273"
"Lonza (Capsugel)","CDMO/CMO","Both","Tier 1","Global CDMO leader. Capsugel integration.","Northeast","https://www.lonza.com","","Morristown","New Jersey","United States","17000","Complete","Yes","1"
"Catalent Pharma Solutions","CDMO/CMO","Both","Tier 1","World's largest CDMO. Massive tablet compression capacity.","Northeast","https://www.catalent.com","","Somerset","New Jersey","United States","18000","Complete","Yes","26"
"Vertex Pharmaceuticals","Pharmaceutical","Both","Tier 2","","Northeast","https://www.vrtx.com","","Boston","Massachusetts","United States","5000","Complete","Yes","14"
"Regeneron Pharmaceuticals","Biotechnology","Scientific","Tier 2","","Northeast","https://www.regeneron.com","","Tarrytown","New York","United States","12000","Complete","Yes","1"
"Biogen Inc.","Biotechnology","Scientific","Tier 2","","Northeast","https://www.biogen.com","","Cambridge","Massachusetts","United States","9000","Complete","Yes","3"
"Amgen Inc.","Biotechnology","Both","Tier 2","","West Coast","https://www.amgen.com","","Thousand Oaks","California","United States","27000","Complete","Yes","11"
"Gilead Sciences","Pharmaceutical","Both","Tier 1","HIV tablets (Biktarvy, Descovy). Precision solid dose.","West Coast","https://www.gilead.com","","Foster City","California","United States","17000","Complete","Yes","5"
"AbbVie Inc.","Pharmaceutical","Both","Tier 1","Humira tablets, Synthroid. High-volume solid dose.","Midwest","https://www.abbvie.com","","North Chicago","Illinois","United States","50000","Complete","Yes","157"
"Bristol-Myers Squibb","Pharmaceutical","Both","Tier 1","Major tablet manufacturer. Eliquis is leading product.","Northeast","https://www.bms.com","","Princeton","New Jersey","United States","34000","Complete","Yes","274"
"Pfizer Inc.","Pharmaceutical","Both","Tier 1","Global leader in solid dose manufacturing. Massive tablet production for Lipitor, Viagra, and generics.","Northeast","https://www.pfizer.com","","New York","New York","United States","88000","Complete","Yes","272"
"Johnson & Johnson (Janssen)","Pharmaceutical","Both","Tier 1","Tylenol and OTC tablets. Massive compression capacity.","Northeast","https://www.jnj.com","","New Brunswick","New Jersey","United States","130000","Partial","Yes","11"
"Merck & Co.","Pharmaceutical","Both","Tier 1","Major solid dose producer. Manufactures billions of tablets annually including Januvia.","Northeast","https://www.merck.com","","Rahway","New Jersey","United States","70000","Complete","Yes","494"
"Romeo Power (Nikola)","Battery & Energy","Both","Tier 2","","West Coast","https://www.romeopower.com","833-467-6636","Vernon","California","United States","200","Complete","Yes",""
"Microvast Holdings","Battery & Energy","Both","Tier 2","","Rocky Mountain","https://www.microvast.com","281-491-9505","Stafford","Texas","United States","500","Complete","Yes",""
"FREYR Battery","Battery & Energy","Both","Tier 2","","Southeast","https://www.freyrbattery.com","404-800-0100","Coweta County","Georgia","United States","200","Complete","Yes",""
"Samsung SDI America","Battery & Energy","Both","Tier 1","Battery cell production. Pressing operations.","Midwest","https://www.samsungsdi.com","248-596-7000","Novi","Michigan","United States","500","Complete","Yes",""
"LG Energy Solution Michigan","Battery & Energy","Both","Tier 1","Major battery manufacturer. Electrode pressing.","Midwest","https://www.lgensol.com","586-209-7000","Holland","Michigan","United States","2000","Complete","Yes",""
"SK Battery America","Battery & Energy","Both","Tier 1","Battery manufacturing. Electrode compaction.","Southeast","https://www.sk.com","706-823-0100","Commerce","Georgia","United States","2500","Complete","Yes",""
"Ampcera Inc.","Battery & Energy","Scientific","Tier 2","","Rocky Mountain","https://www.ampcera.com","520-631-0100","Tucson","Arizona","United States","50","Complete","Yes",""
"Sakuu Corporation","Battery & Energy","Scientific","Tier 2","","West Coast","https://www.sakuu.com","408-520-4000","Burlingame","California","United States","150","Complete","Yes",""
"ION Storage Systems","Battery & Energy","Both","Tier 2","","Northeast","https://www.ionstoragesystems.com","240-542-0100","Beltsville","Maryland","United States","100","Complete","Yes",""
"Factorial Energy","Battery & Energy","Scientific","Tier 2","","Northeast","https://www.factorialenergy.com","978-688-1200","Methuen","Massachusetts","United States","200","Complete","Yes",""
"Solid Power Inc.","Battery & Energy","Scientific","Tier 1","Solid-state battery. Powder compaction critical.","Rocky Mountain","https://www.solidpowerbattery.com","303-219-0720","Louisville","Colorado","United States","400","Complete","Yes","11"
"QuantumScape Corporation","Battery & Energy","Scientific","Tier 1","Solid-state pioneer. Ceramic pressing.","West Coast","https://www.quantumscape.com","408-452-2000","San Jose","California","United States","800","Complete","Yes","44"
"Panasonic Energy North America","Battery & Energy","Both","Tier 1","Tesla supplier. Electrode compaction.","West Coast","https://na.panasonic.com/us/energy-solutions","775-954-5000","Sparks","Nevada","United States","4000","Complete","Yes","2"
"Energizer Holdings Inc.","Battery & Energy","Engineering","Tier 2","","Midwest","https://www.energizer.com","314-985-2000","St. Louis","Missouri","United States","6100","Complete","Yes",""
"Duracell Inc.","Battery & Energy","Engineering","Tier 2","","Northeast","https://www.duracell.com","203-796-4000","Bethel","Connecticut","United States","3000","Complete","Yes","11"
"Carborundum Abrasives","Abrasives","Engineering","Tier 1","Abrasive products. Pressing operations.","Northeast","https://www.carborundum.com","716-278-6000","Niagara Falls","New York","United States","500","Complete","Yes","1"
"Norton Abrasives","Abrasives","Engineering","Tier 2","","Northeast","https://www.nortonabrasives.com","508-795-5000","Worcester","Massachusetts","United States","2000","Complete","Yes",""
"Saint-Gobain Abrasives","Abrasives","Engineering","Tier 1","Norton abrasives. Bonded wheel pressing.","Northeast","https://www.saint-gobain-abrasives.com","508-795-5000","Worcester","Massachusetts","United States","3000","Complete","Yes","270"
"Adonis Manufacturing","Cosmetics","Engineering","Tier 2","","West Coast","https://www.adonismfg.com","951-817-8880","Corona","California","United States","150","Complete","Yes",""
"Columbia Cosmetics","Cosmetics","Engineering","Tier 2","","West Coast","https://www.columbiacosmetics.com","510-562-5200","San Francisco","California","United States","200","Complete","Yes",""
"Coty Inc.","Cosmetics","Engineering","Tier 1","Pressed powders and compacts.","Northeast","https://www.coty.com","212-389-7300","New York","New York","United States","11000","Complete","Yes","6"
"Revlon Inc.","Cosmetics","Engineering","Tier 1","Pressed powder products.","Northeast","https://www.revlon.com","212-527-4000","New York","New York","United States","5000","Complete","Yes","4"
"Estee Lauder Companies","Cosmetics","Engineering","Tier 1","Pressed powder cosmetics.","Northeast","https://www.elcompanies.com","212-572-4200","New York","New York","United States","60000","Complete","Yes","5"
"American Ordnance LLC","Defense & Energetics","Engineering","Tier 1","Ammunition production.","Midwest","https://www.americanordnance.com","319-753-7000","Middletown","Iowa","United States","1500","Complete","Yes",""
"BAE Systems (Radford Plant)","Defense & Energetics","Engineering","Tier 1","Ammunition manufacturing. Pressing operations.","Southeast","https://www.baesystems.com","540-639-7500","Radford","Virginia","United States","2000","Complete","Yes","5"
"Northrop Grumman (Ammunition)","Defense & Energetics","Engineering","Tier 1","Defense munitions. Compaction processes.","Midwest","https://www.northropgrumman.com","703-280-2900","Falls Church","Virginia","United States","90000","Complete","Yes","8"
"General Dynamics Ordnance & Tactical Systems","Defense & Energetics","Engineering","Tier 1","Ordnance production. Propellant pressing.","Southeast","https://www.gdots.com","727-578-8100","St. Petersburg","Florida","United States","6000","Complete","Yes","7"
"Kairos Power","Nuclear & Energy","Both","Tier 1","Molten salt reactor fuel.","West Coast","https://www.kairospower.com","510-858-6200","Alameda","California","United States","400","Complete","Yes",""
"TerraPower","Nuclear & Energy","Scientific","Tier 1","Next-gen nuclear. Fuel compaction.","West Coast","https://www.terrapower.com","425-943-7600","Bellevue","Washington","United States","600","Complete","Yes",""
"NuScale Power","Nuclear & Energy","Scientific","Tier 1","SMR fuel pellets.","West Coast","https://www.nuscalepower.com","503-682-0121","Portland","Oregon","United States","500","Complete","Yes",""
"X-energy (Triso-X)","Nuclear & Energy","Scientific","Tier 1","TRISO fuel. Advanced pellet pressing.","Southeast","https://www.x-energy.com","301-358-6200","Rockville","Maryland","United States","400","Complete","Yes","32"
"BWX Technologies (BWXT)","Nuclear & Energy","Both","Tier 1","Nuclear fuel components. Pressing operations.","Southeast","https://www.bwxt.com","434-522-6000","Lynchburg","Virginia","United States","7000","Complete","Yes","98"
"Centrus Energy Corp.","Nuclear & Energy","Scientific","Tier 1","Nuclear fuel services.","Midwest","https://www.centrusenergy.com","301-564-3200","Bethesda","Maryland","United States","500","Complete","Yes",""
"Global Nuclear Fuel-Americas (GNF-A)","Nuclear & Energy","Both","Tier 1","GE nuclear fuel. Pellet manufacturing.","Southeast","https://www.gnf.com","910-675-5000","Wilmington","North Carolina","United States","1200","Complete","Yes",""
"Westinghouse Electric Company","Nuclear & Energy","Both","Tier 1","Nuclear fuel pellets. Precision compaction.","Southeast","https://www.westinghousenuclear.com","412-374-6111","Cranberry Township","Pennsylvania","United States","9000","Complete","Yes","4"
"Framatome Inc.","Nuclear & Energy","Both","Tier 1","Nuclear fuel fabrication. Pellet pressing.","West Coast","https://www.framatome.com","509-375-8100","Richland","Washington","United States","1500","Complete","Yes","133"
"Nippon Kayaku America","Automotive Safety","Engineering","Tier 2","","Midwest","https://www.nipponkayaku.com","248-669-8600","Southfield","Michigan","United States","200","Complete","Yes",""
"ZF Friedrichshafen (Safety Division)","Automotive Safety","Both","Tier 1","Safety systems. Inflator manufacturing.","Midwest","https://www.zf.com","734-416-6200","Northville","Michigan","United States","3000","Complete","Yes","7"
"ARC Automotive Inc.","Automotive Safety","Both","Tier 2","","Southeast","https://www.arcautomotive.com","865-588-2020","Knoxville","Tennessee","United States","500","Complete","Yes","2"
"Joyson Safety Systems","Automotive Safety","Both","Tier 1","Airbag systems. Propellant tablets.","Midwest","https://www.joysonsafety.com","248-276-3500","Auburn Hills","Michigan","United States","50000","Complete","Yes","7"
"Autoliv Inc.","Automotive Safety","Both","Tier 1","Airbag inflators. Propellant pressing.","Midwest","https://www.autoliv.com","248-475-0428","Southfield","Michigan","United States","67000","Complete","Yes","1"
"Shell Catalysts & Technologies","Catalyst","Both","Tier 1","Refinery catalysts.","Rocky Mountain","https://www.shell.com/business-customers/catalysts-technologies","281-544-7000","Houston","Texas","United States","1000","Complete","Yes","103"
"Topsoe US Inc.","Catalyst","Both","Tier 2","","Rocky Mountain","https://www.topsoe.com","281-228-5000","Houston","Texas","United States","300","Complete","Yes",""
"Jacam Catalyst","Catalyst","Engineering","Tier 2","","Rocky Mountain","https://www.jacamcatalyst.com","432-366-1627","Gardendale","Texas","United States","500","Complete","Yes",""
"Honeywell UOP","Catalyst","Both","Tier 1","Refinery catalysts. Pellet production.","Midwest","https://uop.honeywell.com","847-391-2000","Des Plaines","Illinois","United States","3000","Complete","Yes",""
"W.R. Grace & Co.","Catalyst","Both","Tier 1","Catalyst pellets. Industrial pressing.","Northeast","https://www.grace.com","410-531-4000","Columbia","Maryland","United States","4000","Complete","Yes","6"
"Albemarle Corporation","Catalyst","Both","Tier 1","Specialty catalysts. Tablet/pellet pressing.","Southeast","https://www.albemarle.com","980-299-5700","Charlotte","North Carolina","United States","6000","Complete","Yes",""
"Arcadium Lithium","Battery & Energy","Scientific","Tier 2","","Northeast","https://www.arcadiumlithium.com","215-299-5900","Philadelphia","Pennsylvania","United States","2500","Complete","Yes",""
"Gotion Inc.","Battery & Energy","Both","Tier 2","","Midwest","https://www.gotion.com","510-253-0618","Fremont","California","United States","500","Complete","Yes",""
"A123 Systems LLC","Battery & Energy","Both","Tier 2","","Midwest","https://www.a123systems.com","734-259-1900","Livonia","Michigan","United States","2000","Complete","Yes",""
"NEI Corporation","Battery & Energy","Scientific","Tier 2","","Northeast","https://www.neicorporation.com","732-868-3141","Piscataway","New Jersey","United States","75","Complete","Yes",""
"Wildcat Discovery Technologies","Battery & Energy","Scientific","Tier 2","","West Coast","https://www.wildcatdiscovery.com","858-550-1980","San Diego","California","United States","100","Complete","Yes",""
"Redwood Materials","Battery & Energy","Scientific","Tier 2","","West Coast","https://www.redwoodmaterials.com","775-622-1215","McCarran","Nevada","United States","1500","Complete","Yes",""
"Refractron Technologies Corp.","Advanced Ceramics","Engineering","Tier 2","","Northeast","https://www.refractron.com","585-385-1160","East Rochester","New York","United States","50","Complete","Yes",""
"Piezo Technologies","Advanced Ceramics","Scientific","Tier 2","","Midwest","https://www.piezotechnologies.com","317-872-1005","Indianapolis","Indiana","United States","50","Complete","Yes",""
"Elan Technology","Advanced Ceramics","Both","Tier 2","","Southeast","https://www.elantec.com","770-534-3388","Midway","Georgia","United States","100","Complete","Yes",""
"Precision Ceramics USA","Advanced Ceramics","Both","Tier 2","","Southeast","https://www.precision-ceramics.com","727-914-0334","St. Petersburg","Florida","United States","75","Complete","Yes",""
"Astro Met Inc.","Advanced Ceramics","Both","Tier 2","","Midwest","https://www.astromet.com","513-772-1242","Cincinnati","Ohio","United States","50","Complete","Yes",""
"Advanced Ceramic Technology (ACT)","Advanced Ceramics","Both","Tier 2","","West Coast","https://www.advancedceramictech.com","714-538-8590","Orange","California","United States","75","Complete","Yes",""
"ORTECH Advanced Ceramics","Advanced Ceramics","Both","Tier 2","","West Coast","https://www.ortechceramics.com","916-928-3920","Sacramento","California","United States","100","Complete","Yes",""
"CeramTec North America","Advanced Ceramics","Both","Tier 2","","Southeast","https://www.ceramtec.com","864-682-3215","Laurens","South Carolina","United States","500","Complete","Yes",""
"CoorsTek Inc.","Advanced Ceramics","Both","Tier 1","Technical ceramics leader. Pressing operations.","Rocky Mountain","https://www.coorstek.com","303-271-7100","Golden","Colorado","United States","7000","Complete","Yes","7"
"NetShape Technologies","Powder Metallurgy","Engineering","Tier 1","PM specialist. Precision pressing.","Midwest","https://www.netshapetech.com","412-828-9600","Natrona Heights","Pennsylvania","United States","300","Complete","Yes",""
"Keystone Powdered Metal Company","Powder Metallurgy","Engineering","Tier 1","PM manufacturer. Compaction expertise.","Northeast","https://www.keystonepm.com","814-371-4630","St Marys","Pennsylvania","United States","200","Complete","Yes",""
"Horizon Technology","Powder Metallurgy","Engineering","Tier 1","PM specialist.","Northeast","https://www.horizontechnology.biz","717-762-7013","Greencastle","Pennsylvania","United States","75","Complete","Yes",""
"Capstan Atlantic","Powder Metallurgy","Engineering","Tier 1","PM parts manufacturer.","Northeast","https://www.capstanatlantic.com","508-222-0808","Wilmington","Massachusetts","United States","100","Complete","Yes",""
"PSM Industries (Powder Spring Products)","Powder Metallurgy","Engineering","Tier 2","","West Coast","https://www.psmindustries.com","562-946-6481","Santa Fe Springs","California","United States","150","Complete","Yes",""
"Continuous Metal Technology Inc.","Powder Metallurgy","Engineering","Tier 2","","Northeast","https://www.continuousmetal.com","978-664-3900","Salem","New Hampshire","United States","75","Complete","Yes",""
"FMS Corporation","Powder Metallurgy","Engineering","Tier 2","","Midwest","https://www.fmspowdermetal.com","440-543-8484","Mentor","Ohio","United States","100","Complete","Yes",""
"Liberty Pressed Metals","Powder Metallurgy","Engineering","Tier 2","","Northeast","https://www.libertypressedmetals.com","724-847-2700","Ellwood City","Pennsylvania","United States","150","Complete","Yes",""
"Embassy Powdered Metals","Powder Metallurgy","Engineering","Tier 2","","Northeast","https://www.embassypm.com","724-539-6000","Latrobe","Pennsylvania","United States","200","Complete","Yes",""
"ATI Specialty Alloys & Components","Powder Metallurgy","Engineering","Tier 2","","Northeast","https://www.atimaterials.com","412-394-2800","Pittsburgh","Pennsylvania","United States","8000","Complete","Yes",""
"GKN Hoeganaes","Powder Metallurgy","Engineering","Tier 2","","Northeast","https://www.gknpm.com/hoeganaes","856-456-5100","Cinnaminson","New Jersey","United States","1500","Complete","Yes",""
"AM Technical Solutions, Inc","Powder Metallurgy","Engineering","Tier 2","","Midwest","https://www.amtechpm.com","724-495-7770","Johnstown","Pennsylvania","United States","50","Complete","Yes",""
"Siegfried USA LLC","CDMO/CMO","Both","Tier 1","Swiss CDMO. Tablet and capsule production.","Northeast","https://www.siegfried.ch","732-346-2100","Pennsville","New Jersey","United States","1500","Complete","Yes","4"
"Recipharm Inc.","CDMO/CMO","Both","Tier 1","European CDMO. Solid dose specialist.","Northeast","https://www.recipharm.com","908-630-2100","Piscataway","New Jersey","United States","2000","Complete","Yes","6"
"Piramal Pharma Solutions","Pharmaceutical","Both","Tier 2","","Southeast","https://www.pfrpharma.com","859-259-2300","Lexington","Kentucky","United States","3000","Complete","Yes","4"
"Thermo Fisher Scientific (Patheon)","CDMO/CMO","Both","Tier 1","Patheon division. Major contract tablet manufacturing.","Southeast","https://www.thermofisher.com/patheon","919-226-3200","Durham","North Carolina","United States","25000","Complete","Yes","13"
"Swanson Health Products","Nutraceutical","Engineering","Tier 1","Major vitamin tablet manufacturer.","Midwest","https://www.swansonvitamins.com","701-356-2299","Fargo","North Dakota","United States","1200","Complete","Yes",""
"Church & Dwight Co., Inc.","Nutraceutical","Engineering","Tier 1","Vitafusion, L'il Critters. Pressed vitamins.","Northeast","https://www.churchdwight.com","609-683-5900","Ewing","New Jersey","United States","5000","Complete","Yes","8"
"NOW Health Group (NOW Foods)","Nutraceutical","Engineering","Tier 1","Major supplement tablets. High volume.","Midwest","https://www.nowfoods.com","630-545-9000","Bloomingdale","Illinois","United States","1800","Complete","Yes",""
"Pharmavite LLC (Nature Made)","Nutraceutical","Engineering","Tier 1","Nature Made. Largest US vitamin tablet maker.","West Coast","https://www.pharmavite.com","818-221-6200","Northridge","California","United States","2500","Complete","Yes",""
"Nature's Bounty Co.","Nutraceutical","Engineering","Tier 1","Top supplement brand. Massive tablet production.","Northeast","https://www.naturesbountyco.com","631-567-9500","Ronkonkoma","New York","United States","6000","Complete","Yes","23"
"Aurobindo Pharma USA Inc.","Pharmaceutical","Both","Tier 1","Top generics producer. Major US tablet facilities.","Northeast","https://www.aurobindousa.com","609-275-2825","East Windsor","New Jersey","United States","5000","Complete","Yes",""
"Sun Pharmaceutical Industries Inc.","Pharmaceutical","Both","Tier 1","India's largest pharma. Major US tablet operations.","Northeast","https://www.sunpharma.com","609-720-7100","Princeton","New Jersey","United States","6000","Complete","Yes","1"
"Hikma Pharmaceuticals USA Inc.","Pharmaceutical","Both","Tier 1","Major generics player. Solid dose focus.","Midwest","https://www.hikma.com","614-345-9800","Columbus","Ohio","United States","8500","Complete","Yes",""
"Viatris Inc.","Pharmaceutical","Both","Tier 2","","Northeast","https://www.viatris.com","724-514-1800","Canonsburg","Pennsylvania","United States","40000","Complete","Yes","17"
"GlaxoSmithKline (GSK)","Pharmaceutical","Both","Tier 2","","Southeast","https://www.gsk.com","919-483-2100","Research Triangle Park","North Carolina","United States","18000","Complete","Yes",""
"AstraZeneca Pharmaceuticals LP","Pharmaceutical","Both","Tier 2","","Northeast","https://www.astrazeneca.com","302-886-3000","Wilmington","Delaware","United States","12000","Complete","Yes","99"
"Roche Pharmaceuticals","Pharmaceutical","Both","Tier 2","","Northeast","https://www.roche.com","973-235-5000","Little Falls","New Jersey","United States","15000","Complete","Yes","1"
"Novartis Pharmaceuticals Corporation","Pharmaceutical","Both","Tier 2","","Northeast","https://www.novartis.com","862-778-8300","East Hanover","New Jersey","United States","20000","Complete","Yes",""
"AB MARUI FOODS INC","Food & Beverage","Engineering","Tier 3","","International","https://abmauri.us","STEVE CUNNINGHAM","","","","","Complete","Yes","2"
"ACTAVIS LABORATORIES FL, INC","Pharmaceutical","Both","Tier 2","","Northeast","https://actavis.com","","Parsippany-Troy Hills","New Jersey","United States","2","Complete","Yes","77"
"ACTAVIS LTD. MALTA","Pharmaceutical","Both","Tier 2","","International","https://actavis.com.mt","'+356 2367 9749","","","","","Complete","Yes","7"
"ACTAVIS PHARMA MFG PVT LTD","Pharmaceutical","Both","Tier 3","","International","https://actavis.in","'+91 44274 44967","","","","","Complete","Yes","1"
"ACTAVIS UK","Pharmaceutical","Both","Tier 2","","International","https://actavis.co.uk","'+44 127 131 1417","","","","","Complete","Yes","7"
"ACTIENT PHARMACEUTICALS","Pharmaceutical","Engineering","Tier 2","","International","https://actientpharma.com","847-607-8193","","","","","Complete","Yes","2"
"ADVANCE PHARMACEUTICAL INC.","Pharmaceutical","Engineering","Tier 3","","International","https://advancepharm.net","631-981-4600 ext 300","","","","","Complete","Yes","4"
"AEROJET - NM","Defense & Energetics","Engineering","Tier 2","","International","https://aerojet.com","575-322-3050","","","","","Complete","Yes","11"
"AGL Group","Pharmaceutical","Engineering","Tier 2","","International","https://aglpharma.com","","Chennai","Tamil Nadu","India","5","Complete","Yes","13"
"AIRBOSS DEFENSE","Defense & Energetics","Engineering","Tier 3","","International","https://airbossdefense.com","248-553-3020","","","","","Complete","Yes","3"
"AKINA PHARMACY","Pharmaceutical","Scientific","Tier 2","","Northeast","https://akinapharmacy.com","","Sterling","Virginia","United States","40","Complete","Yes","6"
"Al-Alamyah Pharma","Pharmaceutical","Scientific","Tier 2","","International","https://globalpharmairaq.com","","Baghdad","Baghdad Governorate","Iraq","19","Partial","Yes",""
"ALAN LABORATORIES, INC.","Research & Development","Both","Tier 2","","West Coast","https://alanlaboratories.com","858-693-0325","","California","","","Complete","Yes","1"
"ALCHEMIA ONCOLOGY PTY. LTD.","Pharmaceutical","Engineering","Tier 3","","International","https://alchemia.com.au","'+61 3 9905 5214","","Victoria","","","Complete","Yes","1"
"ALFASIGMA USA, INC.","Pharmaceutical","Engineering","Tier 2","","Midwest","https://redriverpharma.com","318-425-6133","","Louisiana","","","Complete","Yes","2"
"ALKEM LABORATORIES LIMITED","Pharmaceutical","Both","Tier 3","","International","https://alkem-labs.com","","","","","","Partial","Yes","3"
"ALLAY PHARMACEUTICALS, LLC","Pharmaceutical","Engineering","Tier 3","","International","https://allaypharma.us","","","","","","Partial","Yes","2"
"ALLIANCE MEDICAL PRODUCTS, INC","Pharmaceutical","Engineering","Tier 3","","International","https://amp-us.com","949-768-7690","","","","","Complete","Yes","2"
"ALSA MANUFACTURING LLC","Pharmaceutical","Engineering","Tier 3","","Southeast","https://mpharmaceuticals.com","305-436-8150 ext 107","","Florida","","","Complete","Yes","2"
"ALTEA THERAPEUTICS","Pharmaceutical","Scientific","Tier 2","","Southeast","https://alteatherapeutics.com","678-495-3168","","Georgia","","","Complete","Yes","1"
"Ambrosia Supherb LTD","Nutraceutical","Engineering","Tier 2","","International","https://supherb.co.il","","","","","","Partial","Yes","2"
"AMERICA YOUCARE PHARMA INC.","Pharmaceutical","Engineering","Tier 3","","West Coast","https://youcarepharmus.com","951-339-5615","","California","","","Complete","Yes","2"
"AMERICAN NATURAL PRODUCTS LAB. INC.","Research & Development","Scientific","Tier 3","","International","https://americannaturallab.com","305-261-5152","","","","","Complete","Yes","3"
"ANPHARM","Pharmaceutical","Both","Tier 3","","International","https://servier.co","","","","","","Partial","Yes","5"
"API (AUSTRALIAN PHARM. INDUSTRIES)","Pharmaceutical","Both","Tier 2","","International","https://api.net.nz","'+504 9654-0064","","","","","Complete","Yes","4"
"APOTEX NZ LTD","Pharmaceutical","Both","Tier 2","","International","https://apotexnz.co.nz","'+64 9 441 8337","","","","","Complete","Yes","13"
"ARDEA BIOSCIENCES, INC.","Biotechnology","Engineering","Tier 3","","International","https://ardeabio.com","858-652-6703","","","","","Complete","Yes","3"
"ARIAD PHARMACEUTICALS, INC.","Pharmaceutical","Engineering","Tier 2","","Northeast","https://ariad.com","617-503-7165","","Massachusetts","","","Complete","Yes","1"
"armstronglabs.com.mx","Research & Development","Scientific","Tier 3","","International","https://armstronglabs.com.mx","554-065-6010","","","","","Complete","Yes","8"
"armstronlabs.com.mx","Research & Development","Scientific","Tier 3","","International","https://armstronlabs.com.mx","554-930-8984","","","","","Complete","Yes","1"
"ARROW PHARM (MALTA) LIMITED","Pharmaceutical","Both","Tier 2","","International","https://arrowmalta.com","'+356 2165 2207","","","","","Complete","Yes","4"
"Asieris Pharmaceuticals","Pharmaceutical","Both","Tier 2","","Northeast","https://asieris.com","","","Pennsylvania","United States","57","Complete","Yes","3"
"AUCTA PHARMACEUTICALS","Pharmaceutical","Scientific","Tier 2","","Northeast","https://auctapharma.com","","Piscataway Township","New Jersey","United States","64","Complete","Yes","2"
"Augustine Therapeutics","Pharmaceutical","Scientific","Tier 3","","International","https://augustinetx.com","","Leuven","Flanders","Belgium","23","Complete","Yes","1"
"AURITEC PHARMACEUTICALS","Pharmaceutical","Scientific","Tier 2","","West Coast","https://auritecpharma.com","","Santa Monica","California","United States","7","Complete","Yes","8"
"AUTOLIV JIANGSU AUTOMOTIVE SAFETY COMPONENTS CO., LTD.","Automotive Safety","Both","Tier 1","Airbag inflators. Propellant pressing.","International","https://autoliv.vom","","","","","","Partial","Yes","1"
"avi-lab.ro","Research & Development","Scientific","Tier 3","","International","https://avi-lab.ro","'+40 720 030 307","","","","","Complete","Yes","1"
