Company,Industry,Tier,Division,Fit,Territory,City,State,Country,Contacts,Tier1 Reason
SQUARE PHARMA INC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Dhaka,Dhaka Division,Bangladesh,18,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
STORM Therapeutics Limited,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Cambridge,England,United Kingdom,18,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
TEVA CZECH INDUSTRIES S.R.O.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,18,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
FAMAR ANONYMOUS INDUSTRIAL CO. OF PHARMACEUTICALS AND COSMETICS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,Greece,18,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Viatris Inc.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Canonsburg,Pennsylvania,United States,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"ECI PHARMACEUTICALS, LLC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Port Saint Lucie,Florida,United States,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
MYLAN PHARMACEUTICALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Novo Nordisk Pharma GmbH,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Mainz,Rhineland-Palatinate,Germany,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Rhodes Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Coventry,Rhode Island,United States,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"Standard Chem & Pharm CO., LTD.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Tainan,Tainan City,Taiwan,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
UCKELE HEALTH & NUTRITION INC.,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Blissfield,Michigan,United States,17,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"WEDGEWOOD PHARMACY, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Swedesboro,New Jersey,United States,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
HARBOR HEALTH & APOTHECARY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,West Coast,Gig Harbor,Washington,United States,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
HIKMA PHARMACEUTICALS LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,As-Salt,Balqa Governorate,Jordan,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Sun Pharmaceutical,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Princeton,New Jersey,United States,16,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Chartwell Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Congers,New York,United States,16,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"HUAHAI US, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,16,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
JUBILANT CADISTA PHARMACEUTICALS INC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Salisbury,Maryland,United States,16,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"PHARMALAB, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Levis,Quebec,Canada,16,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
sanofi-aventis.com,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,16,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Pharmavite (Nature Made),Nutraceutical,Tier 1,Natoli Scientific,Formulation,West Coast,Northridge,California,United States,15,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Aavis Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Hoschton,Georgia,United States,15,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Lupin Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,,New Jersey,United States,15,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NUTRITION FORMULATORS INC.,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Miramar,Florida,United States,15,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
PARSOLEX GMP CENTER,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,West Lafayette,Indiana,United States,15,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
RELIANCE VITAMIN,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Edison,New Jersey,United States,15,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
TEVA LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,15,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PHARMAVITE LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,15,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Tic Tac (Ferrero USA),Confectionery,Tier 1,Natoli Engineering,Tooling,Northeast,Somerset,New Jersey,United States,15,Candy/mint manufacturer with high-volume tablet pressing operations.
Haleon,Nutraceutical,Tier 1,Natoli Scientific,Formulation,International,Weybridge,England,United Kingdom,15,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Ferrero Canada,Confectionery,Tier 1,Natoli Engineering,Tooling,Other US,,,United States,15,Candy/mint manufacturer with high-volume tablet pressing operations.
Vertex Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Boston,Massachusetts,United States,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"AUSTARPHARMA, LLC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Edison,New Jersey,United States,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
MEDELPHARM,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,International,Beynost,Rhone-Alpes,France,14,Contract development and manufacturing organization serving pharma clients with tablet production.
"PNP PHARMACEUTICALS, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Burnaby,British Columbia,Canada,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"Sanjeevani Rural Education Societys Sanjeevani College of Pharmaceutical & Research, At. Sahajanandn",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Kopargaon,Maharashtra,India,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"UNILAB PHARMACEUTICALS CO., LTD.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Upperton Pharma Solutions,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Beeston,England,United Kingdom,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
VETS PLUS INC.,Veterinary Pharma,Tier 1,Natoli Scientific,Formulation,Midwest,Menomonie,Wisconsin,United States,14,Veterinary pharmaceutical manufacturer with animal health tablet production.
E-PHARMA,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Trento,Trentino-Alto Adige/South Tyrol,Italy,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
filpharmascience.com,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
FERRARA CANDY COMPANY,Confectionery,Tier 1,Natoli Engineering,Tooling,Other US,,,United States,14,Candy/mint manufacturer with high-volume tablet pressing operations.
Alcami Corporation,CDMO,Tier 1,Natoli Scientific,Formulation,Southeast,Wilmington,North Carolina,United States,14,Contract development and manufacturing organization serving pharma clients with tablet production.
Almac Group,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Belfast,Northern Ireland,United Kingdom,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Thermo Fisher Scientific (Patheon),CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Southeast,Durham,North Carolina,United States,13,Contract development and manufacturing organization serving pharma clients with tablet production.
ADARE PHARMACEUTICALS INC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Birmingham,Alabama,United States,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
AGL Group,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Chennai,Tamil Nadu,India,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"ALPHORA RESEARCH IN., A DIVISION OF EUROFINS",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
APOTEX NZ LTD,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Bayer,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Leverkusen,Nordrhein-Westfalen,Germany,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Cambrex,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Northeast,East Rutherford,New Jersey,United States,13,Contract development and manufacturing organization serving pharma clients with tablet production.
GLOBAL BLOOD THERAPEUTICS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NEOS THERAPEUTICS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Denver,Colorado,United States,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
STI PHARMA LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Newtown,Pennsylvania,United States,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
TEVA KUTNO,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,Lesser Poland Voivodeship,,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Teva México,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,Federal District,Mexico,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"VIT-BEST NUTRITION, INC.",Nutraceutical,Tier 1,Natoli Scientific,Formulation,West Coast,Tustin,California,United States,13,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
AMNEAL PHARMACEUTICALS PVT. LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
APPCO PHARMACEUTICALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Piscataway Township,New Jersey,United States,12,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"BELCHER PHARMACEUTICALS, LLC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Maringa,Parana,Brazil,12,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"CorePharma, LLC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Middlesex,New Jersey,United States,12,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
GFR PHARMA LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Coquitlam,British Columbia,Canada,12,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NUTRACEUTICAL CORPORATION,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Ogden,Utah,United States,12,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"STASON PHARMACEUTICALS, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,West Coast,Irvine,California,United States,12,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
TEDOR PHARMA INC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Cumberland,Rhode Island,United States,12,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
VITA-HEALTH CO. LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Ronkonkoma,New York,United States,12,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BSC DISTRIBUTORS LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Herzliya,Tel Aviv District,Israel,12,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
LIEF ORGANICS,Nutraceutical,Tier 1,Natoli Scientific,Formulation,West Coast,Los Angeles,California,United States,12,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Corden Pharma - A Full-Service CDMO,CDMO,Tier 1,Natoli Scientific,Formulation,International,Freiburg,Baden-Wuerttemberg,Germany,12,Contract development and manufacturing organization serving pharma clients with tablet production.
Johnson & Johnson (Janssen),Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,New Brunswick,New Jersey,United States,11,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Solid Power Inc.,Battery & Energy,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,Louisville,Colorado,United States,11,Battery electrode manufacturer with cathode/anode compaction for cell production.
Duracell Inc.,Battery & Energy,Tier 1,Natoli Engineering,Tooling,Northeast,Bethel,Connecticut,United States,11,Battery electrode manufacturer with cathode/anode compaction for cell production.
