Company,Industry,Tier,Division,Fit,Territory,City,State,Country,Contacts,Tier1 Reason
Corteva,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Indianapolis,Indiana,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
CURALEAF,Cannabis,Tier 1,Natoli Scientific,Formulation,Midwest,Chicago,Illinois,United States,4,Cannabis product manufacturer with tablet or capsule production.
ENIVA HEALTH,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Minneapolis,Minnesota,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PHARMACY SOLUTIONS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Arlington,Texas,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
WISCONSIN PHARMACAL CO.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Jackson,Wisconsin,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Doscher's Candy Co.,Confectionery,Tier 1,Natoli Engineering,Tooling,Midwest,Cincinnati,Ohio,United States,4,Candy/mint manufacturer with high-volume tablet pressing operations.
Palmer Candy Company,Confectionery,Tier 1,Natoli Engineering,Tooling,Midwest,Sioux City,Iowa,United States,4,Candy/mint manufacturer with high-volume tablet pressing operations.
SPI PHARMA,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Chicago,Illinois,United States,4,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Clasen Quality Chocolate,Confectionery,Tier 1,Natoli Engineering,Tooling,Midwest,Cross Plains,Wisconsin,United States,4,Candy/mint manufacturer with high-volume tablet pressing operations.
"AROG PHARMACEUTICAL, LLC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Dallas,Texas,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ATLAS RX PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Omaha,Nebraska,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BELEAF MEDICAL LLC (PHYTOS),Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Earth City,Missouri,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BIOTECH PHARMACAL,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Fayetteville,Arkansas,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BLUEBONNET NUTRACEUTICALS LTD.,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Sugar Land,Texas,United States,3,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Carie Boyd Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Irving,Texas,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
CEREVEL THERAPEUTICS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,North Chicago,Illinois,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
KLUTCH CANNABIS,Cannabis,Tier 1,Natoli Scientific,Formulation,Midwest,Akron,Ohio,United States,3,Cannabis product manufacturer with tablet or capsule production.
"KP PHARMACEUTICAL TECHNOLOGY, INC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Bloomington,Indiana,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
KV PHARMACEUTICAL COMPANY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,,Missouri,,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"MERRICK'S ANIMAL HEALTH, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Union Center,Wisconsin,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NOBLE PHARMA LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Menomonie,Wisconsin,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PERRIGO ANIMAL HEALTH,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Omaha,Nebraska,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PETSCRIPT INC,Veterinary Pharma,Tier 1,Natoli Scientific,Formulation,Midwest,Paris,Texas,United States,3,Veterinary pharmaceutical manufacturer with animal health tablet production.
B & G PRODUCTS COMPANY,Cannabis,Tier 1,Natoli Scientific,Formulation,Midwest,White Bear Lake,Minnesota,United States,3,Cannabis product manufacturer with tablet or capsule production.
Ascend Packaging Systems,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Hampshire,Illinois,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"McJak Candy Company, LLC",Confectionery,Tier 1,Natoli Engineering,Tooling,Midwest,Cleveland,Ohio,United States,3,Candy/mint manufacturer with high-volume tablet pressing operations.
"SUNOVION PHARMACEUTICALS, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Florissant,Missouri,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Blommer Chocolate Company,Confectionery,Tier 1,Natoli Engineering,Tooling,Midwest,Minneapolis,Minnesota,United States,3,Candy/mint manufacturer with high-volume tablet pressing operations.
Russell Stover Chocolates,Confectionery,Tier 1,Natoli Engineering,Tooling,Midwest,Abilene,Kansas,United States,3,Candy/mint manufacturer with high-volume tablet pressing operations.
IRCA Group,Confectionery,Tier 1,Natoli Engineering,Tooling,Midwest,Naperville,Illinois,United States,3,Candy/mint manufacturer with high-volume tablet pressing operations.
Givaudan Sense Colour,Confectionery,Tier 1,Natoli Engineering,Tooling,Midwest,Port Washington,Wisconsin,United States,3,Candy/mint manufacturer with high-volume tablet pressing operations.
"ALFASIGMA USA, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,,Louisiana,,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"APEX PHARMACEUTICALS, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Austin,Texas,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
AURORA PHARMACEUTICAL,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Northfield,Minnesota,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
CEDARBURG PHARMACEUTICALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,West Lafayette,Indiana,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"CMC PHARMACEUTICALS, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Solon,Ohio,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Core Pharmacy,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Cleveland,Ohio,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
COUNTY LINE PHARMACEUTICALS LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,,Wisconsin,,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
DMD PHARMACEUTICALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Noblesville,Indiana,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
DR. AZIZ,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Indianapolis,Indiana,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
INDIANA BOTANIC GARDEN,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Hobart,Indiana,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NOW Foods,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Bloomingdale,Illinois,United States,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Oak Therapeutics,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Lawrence,Kansas,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Singota Solutions,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Midwest,Bloomington,Indiana,United States,2,Contract development and manufacturing organization serving pharma clients with tablet production.
TABLETS & CAPSULES,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Saint Paul,Minnesota,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Taysha Gene Therapies,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Dallas,Texas,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
VIA THERAPEUTICS LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Austin,Texas,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"VITAMINERALS, INC.",Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Akron,Ohio,United States,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
WELLS PHARMA LABS INC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Dallas,Texas,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"ACURA PHARMACEUTICAL TECHNOLOGIES, INC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Palatine,Illinois,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
CHEMPLEX AUTOMOTIVE GROUP,Cannabis,Tier 1,Natoli Scientific,Formulation,Midwest,Independence,Missouri,United States,2,Cannabis product manufacturer with tablet or capsule production.
HEALTHSMART PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Piqua,Ohio,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
LODAAT Pharma,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Oak Brook,Illinois,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NEW LEAF SPECIALTY PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,West Des Moines,Iowa,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PROTEGE BIOMEDICAL LLC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Eden Prairie,Minnesota,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Team Pharma,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Kalamazoo,Michigan,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
VELESCO PHARMA SERVICES,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Plymouth,Michigan,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
WOMENS INTERNATINOAL PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Madison,Wisconsin,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
WOOD DALE PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Wood Dale,Illinois,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PROPACK PACKAGING,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,High Ridge,Missouri,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
TEXAS A&M UNIVERSITY HEALTH SCIENCE CENTER,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Chicago,Illinois,United States,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
INGREDION INCORPORATED,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Westchester,Illinois,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PADAGIS LLC,Generic Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Allegan,Michigan,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PEPSICO,Confectionery,Tier 1,Natoli Engineering,Tooling,Midwest,Chicago,Illinois,United States,2,Candy/mint manufacturer with high-volume tablet pressing operations.
SCHWABE NORTH AMERICA,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Green Bay,Wisconsin,United States,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
University of Notre Dame,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Notre Dame,Indiana,United States,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
NORTHWESTERN UNIVERSITY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Chicago,Illinois,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
P&G Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Cincinnati,Ohio,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Roskam Foods,CDMO,Tier 1,Natoli Scientific,Formulation,Midwest,Grand Rapids,Michigan,United States,2,Contract development and manufacturing organization serving pharma clients with tablet production.
"AMERICAN SPECIALTY PHARMACY, INC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Farmers Branch,Texas,United States,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BELLEVUE PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Maryland Heights,Missouri,United States,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Belmar Pharmacy Florida,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Madison,Wisconsin,United States,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BIORITE NUTRITIONALS,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,,Oklahoma,,1,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
CERAMIC TECHNOLOGIES CORPORATION,Advanced Ceramics,Tier 1,Natoli Engineering,Tooling,Midwest,Katy,Texas,United States,1,Advanced ceramics producer with powder compaction for technical ceramic parts.
COMPOUNDING CONCEPTS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Mansfield,Texas,United States,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"ENRINITY SUPPLEMENTS, INC.",Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Westland,Michigan,United States,1,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
gx-novartis.com,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,,Minnesota,,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Herb Momentum,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Marshfield,Missouri,United States,1,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
INVENTIVE INFUSION SOLUTIONS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,San Antonio,Texas,United States,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
KNOLL LLC/ABBVIE,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,,Illinois,,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"KO Manufacturing, Inc.",CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Midwest,Springfield,Missouri,United States,1,Contract development and manufacturing organization serving pharma clients with tablet production.
Lee Silsby Compounding Pharmacy,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Beachwood,Ohio,United States,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"LUMOS PHARMA, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Austin,Texas,United States,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NNB Nutrition,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Plano,Texas,United States,1,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
PAGARI PHARMATECH INC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Garland,Texas,United States,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
THE EDWARD ORTON JR. CERAMIC FOUNDATION,Advanced Ceramics,Tier 1,Natoli Engineering,Tooling,Midwest,Westerville,Ohio,United States,1,Advanced ceramics producer with powder compaction for technical ceramic parts.
"UNITED PET GROUP, INC.-TX",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Cibolo,Texas,United States,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
UNIVERSITY OF KANSAS/BIOPHARMACEUTICAL INNOVATION CENTER,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Lawrence,Kansas,United States,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ZURI CBD,Cannabis,Tier 1,Natoli Scientific,Formulation,Midwest,North Ridgeville,Ohio,United States,1,Cannabis product manufacturer with tablet or capsule production.
"ADEONA PHARMACEUTICALS, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Ann Arbor,Michigan,United States,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
