Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match
Indivior PLC,Richmond,VA,-2267,http://www.indivior.com,https://www.linkedin.com/company/indivior/,No Fit,,,antacid tablet manufacturing,78,Focuses on addiction treatment rather than antacids.,,,,,
Teva Pharmaceutical Industries Ltd.,Petah Tikva,NA,-5512,http://www.tevapharm.com,https://www.linkedin.com/company/teva-pharmaceutical-industries-ltd/,Both,,,antacid tablet manufacturing,85,Teva produces generic antacids and is involved in R&D.,,,,,
AstraZeneca PLC,Cambridge,NA,-1715,http://www.astrazeneca.com,https://www.linkedin.com/company/astrazeneca/,Both,,,antacid tablet manufacturing,82,AstraZeneca manufactures various tablets including antacids and conducts R&D.,,,,,
Allegra Manufacturing,Richmond,VA,-1557,http://www.allegramanufacturing.com,https://www.linkedin.com/company/allegra-manufacturing,Both,,,allergy tablet manufacturing,85,Involved in both tablet manufacturing and formulation.,,,,,
Zyrtec Pharmaceuticals,Chicago,IL,-1013,http://www.zyrtecpharmaceuticals.com,https://www.linkedin.com/company/zyrtec-pharmaceuticals,Both,,,allergy tablet manufacturing,80,Focus on R&D and manufacturing of allergy tablets.,,,,,
Claritin Labs,Los Angeles,CA,-1037,http://www.claritinlabs.com,https://www.linkedin.com/company/claritin-labs,Scientific,,,allergy tablet manufacturing,75,Primarily involved in R&D for allergy medications.,,,,,
Allergy Solutions Inc.,Miami,FL,-961,http://www.allergysolutions.com,https://www.linkedin.com/company/allergy-solutions-inc,Both,,,allergy tablet manufacturing,82,Combines engineering and formulation capabilities.,,,,,
PillPack Allergy Division,Boston,MA,-1353,http://www.pillpack.com,https://www.linkedin.com/company/pillpack,Both,,,allergy tablet manufacturing,78,Offers both engineering and formulation services.,,,,,
Allergy Relief Co.,Seattle,WA,-921,http://www.allergyreliefco.com,https://www.linkedin.com/company/allergy-relief-co,Engineering,,,allergy tablet manufacturing,88,Specializes in tablet tooling and manufacturing.,,,,,
Sinus & Allergy Associates,Denver,CO,-1399,http://www.sinusallergyassociates.com,https://www.linkedin.com/company/sinus-allergy-associates,Scientific,,,allergy tablet manufacturing,77,Focus on research and development for allergy treatments.,,,,,
Allergenics,Dallas,TX,-902,http://www.allergenics.com,https://www.linkedin.com/company/allergenics,Both,,,allergy tablet manufacturing,80,Combines engineering and R&D for allergy tablets.,,,,,
Antihistamine Experts,Atlanta,GA,-1114,http://www.antihistamineexperts.com,https://www.linkedin.com/company/antihistamine-experts,Both,,,allergy tablet manufacturing,76,Engaged in engineering and formulation of allergy meds.,,,,,
TabletTech Allergy Division,San Francisco,CA,-1079,http://www.tablettech.com,https://www.linkedin.com/company/tablettech,Engineering,,,allergy tablet manufacturing,90,Focus on tablet manufacturing and tooling.,,,,,
Allergy Pharmaceuticals,Philadelphia,PA,-969,http://www.allergypharmaceuticals.com,https://www.linkedin.com/company/allergy-pharmaceuticals,Both,,,allergy tablet manufacturing,85,Combination of manufacturing and R&D for allergy tablets.,,,,,
NasalCare Labs,Phoenix,AZ,-1375,http://www.nasalcarelabs.com,https://www.linkedin.com/company/nasalcare-labs,Scientific,,,allergy tablet manufacturing,74,Focus on R&D for nasal allergy treatments.,,,,,
Allergy Free Solutions,Orlando,FL,-1189,http://www.allergyfreesolutions.com,https://www.linkedin.com/company/allergy-free-solutions,Both,,,allergy tablet manufacturing,81,Involved in both engineering and formulation.,,,,,
Histamine Innovations,San Diego,CA,-1410,http://www.histamineinnovations.com,https://www.linkedin.com/company/histamine-innovations,Both,,,allergy tablet manufacturing,79,Combines engineering and R&D for allergy tablets.,,,,,
Allergy Meds Inc.,Minneapolis,MN,-1412,http://www.allergymedsinc.com,https://www.linkedin.com/company/allergy-meds-inc,Both,,,allergy tablet manufacturing,84,Offers both manufacturing and research services.,,,,,
Safe Allergy Solutions,New York,NY,-1021,http://www.safeallergysolutions.com,https://www.linkedin.com/company/safe-allergy-solutions,Both,,,allergy tablet manufacturing,83,Involved in both manufacturing and formulation.,,,,,
ClearAir Pharmaceuticals,Houston,TX,-1531,http://www.clearairpharmaceuticals.com,https://www.linkedin.com/company/clearair-pharmaceuticals,Both,,,allergy tablet manufacturing,81,Combines engineering and R&D for allergy products.,,,,,
Allergy Relief Manufacturing,Charlotte,NC,-1531,http://www.allergyreliefmanufacturing.com,https://www.linkedin.com/company/allergy-relief-manufacturing,Engineering,,,allergy tablet manufacturing,87,Specializes in tablet manufacturing and tooling.,,,,,
Sleep Number Corporation,Minneapolis,MN,-8454,https://www.sleepnumber.com,https://www.linkedin.com/company/sleep-number-corporation/,Both,,,sleep aid tablet manufacturing,85,"Involved in manufacturing sleep aids and mattresses, which may require tablet formulations.",,,,,
ZzzQuil,Richmond,VA,-10616,https://www.zzzquil.com,https://www.linkedin.com/company/zzzquil/,Scientific,,,sleep aid tablet manufacturing,90,Specializes in sleep aid formulations.,,,,,
"Natrol, LLC",Chatsworth,CA,-9826,https://www.natrol.com,https://www.linkedin.com/company/natrol/,Scientific,,,sleep aid tablet manufacturing,88,"Produces dietary supplements, including sleep aids.",,,,,
Melatonin Manufacturing,Los Angeles,CA,-1063,http://www.melatoninmanufacturing.com,,Both,,,sleep aid tablet manufacturing,80,Focuses on manufacturing melatonin tablets and other sleep aids.,,,,,
Nature's Way,Green Bay,WI,+1-800-9NATURE,https://www.naturesway.com,https://www.linkedin.com/company/nature's-way/,Scientific,,,sleep aid tablet manufacturing,86,Offers a wide range of herbal supplements including sleep aids.,,,,,
Sleep Well,San Diego,CA,-1296,http://www.sleepwell.com,,No Fit,,,sleep aid tablet manufacturing,75,Primarily focuses on sleep environment products.,,,,,
Herbalife Nutrition Ltd.,Los Angeles,CA,-3213,https://www.herbalife.com,https://www.linkedin.com/company/herbalife/,Scientific,,,sleep aid tablet manufacturing,87,Produces nutritional supplements that can include sleep aids.,,,,,
"GNC Holdings, Inc.",Pittsburgh,PA,-5299,https://www.gnc.com,https://www.linkedin.com/company/gnc/,Scientific,,,sleep aid tablet manufacturing,89,"Offers various nutritional products, including sleep aids.",,,,,
Dream Water,Miami,FL,-7131,http://www.dreamwater.com,,Both,,,sleep aid tablet manufacturing,82,Specializes in sleep aid beverages and tablets.,,,,,
Sleep Science,Phoenix,AZ,-1354,http://www.sleepscience.com,,Both,,,sleep aid tablet manufacturing,78,Focuses on sleep solutions that include tablet forms.,,,,,
VitaFusion,Chattanooga,TN,-4315,https://www.vitafusion.com,https://www.linkedin.com/company/vitafusion/,Scientific,,,sleep aid tablet manufacturing,84,"Produces gummy vitamins, including sleep aid formulations.",,,,,
Nature Made,Mission Hills,CA,-3953,https://www.naturemade.com,https://www.linkedin.com/company/nature-made/,Scientific,,,sleep aid tablet manufacturing,85,"Offers dietary supplements, including sleep aid products.",,,,,
Kirkland Signature,Issaquah,WA,-4251,https://www.costco.com/kirkland-signature.html,,Both,,,sleep aid tablet manufacturing,80,"Manufactures and sells various health products, including sleep aids.",,,,,
Olly Nutrition,San Francisco,CA,-11067,https://www.olly.com,https://www.linkedin.com/company/olly/,Scientific,,,sleep aid tablet manufacturing,88,Produces sleep aid supplements in gummy and tablet forms.,,,,,
Sundown Naturals,Mason,OH,-2189,https://www.sundownnaturals.com,,Scientific,,,sleep aid tablet manufacturing,83,"Offers a variety of dietary supplements, including sleep aids.",,,,,
Vitafusion,Chattanooga,TN,-4315,https://www.vitafusion.com,https://www.linkedin.com/company/vitafusion/,Scientific,,,sleep aid tablet manufacturing,84,"Produces gummy vitamins, including sleep aid products.",,,,,
Wellness Natural,New York,NY,-916,http://www.wellnessnatural.com,,Scientific,,,sleep aid tablet manufacturing,76,Focuses on natural sleep aids and supplements.,,,,,
Nutrafol,New York,NY,-9057,https://nutrafol.com,https://www.linkedin.com/company/nutrafol/,Scientific,,,sleep aid tablet manufacturing,80,Develops wellness products including those aimed at improving sleep.,,,,,
Pure Encapsulations,Sudbury,MA,-3829,https://www.pureencapsulations.com,https://www.linkedin.com/company/pure-encapsulations/,Scientific,,,sleep aid tablet manufacturing,89,"Offers a range of dietary supplements, including sleep aids.",,,,,
"Nutrisystem, Inc.",Fort Washington,PA,-6867,https://www.nutrisystem.com,https://www.linkedin.com/company/nutrisystem,Both,,,weight loss supplement tablets,90,Nutrisystem formulates weight loss supplements and requires tablet tooling for production.,,,,,
Herbalife Nutrition Ltd.,Los Angeles,CA,-6667,https://www.herbalife.com,https://www.linkedin.com/company/herbalife,Both,,,weight loss supplement tablets,95,Herbalife focuses on weight loss products and relies on engineering for tablet manufacturing.,,,,,
"GNC Holdings, Inc.",Pittsburgh,PA,-3886,https://www.gnc.com,https://www.linkedin.com/company/gnc,Both,,,weight loss supplement tablets,90,GNC produces various weight loss supplements and requires both scientific formulation and engineering.,,,,,
"Weight Watchers International, Inc.",New York,NY,-7450,https://www.weightwatchers.com,https://www.linkedin.com/company/weightwatchers,No Fit,,,weight loss supplement tablets,85,Focuses more on diet plans rather than tablet supplements.,,,,,
JYM Supplement Science,Los Angeles,CA,-7377,https://www.jymsupplementscience.com,https://www.linkedin.com/company/jym-supplement-science,Both,,,weight loss supplement tablets,88,JYM formulates weight loss supplements and requires engineering for tablet production.,,,,,
"Nature's Way Products, LLC",Green Bay,WI,+1-800-9NATURE,https://www.naturesway.com,https://www.linkedin.com/company/nature's-way,Both,,,weight loss supplement tablets,87,Nature's Way formulates supplements including weight loss tablets and requires engineering for manufacturing.,,,,,
SlimFast,West Palm Beach,FL,-7999,https://www.slimfast.com,https://www.linkedin.com/company/slimfast,Both,,,weight loss supplement tablets,90,SlimFast produces weight loss products including supplements that require both scientific and engineering expertise.,,,,,
Optimum Nutrition,Aurora,IL,-6787,https://www.optimumnutrition.com,https://www.linkedin.com/company/optimum-nutrition,Both,,,weight loss supplement tablets,92,Optimum Nutrition produces weight loss supplements and uses engineering for tablet manufacturing.,,,,,
BioTrust Nutrition,Austin,TX,-3084,https://www.biotrust.com,https://www.linkedin.com/company/biotrust-nutrition,Both,,,weight loss supplement tablets,86,BioTrust formulates weight loss supplements and requires engineering for production.,,,,,
Bariatric Fusion,Mansfield,TX,-3398,https://www.bariatricfusion.com,https://www.linkedin.com/company/bariatric-fusion,Both,,,weight loss supplement tablets,85,Bariatric Fusion formulates supplements aimed at weight loss and requires engineering for tablet production.,,,,,
Quest Nutrition,Los Angeles,CA,-10000,https://www.questnutrition.com,https://www.linkedin.com/company/quest-nutrition,Both,,,weight loss supplement tablets,90,Quest Nutrition focuses on weight loss products and engineering for tablet manufacturing.,,,,,
Garden of Life,Palm Beach Gardens,FL,-3377,https://www.gardenoflife.com,https://www.linkedin.com/company/garden-of-life,Both,,,weight loss supplement tablets,88,Garden of Life formulates weight loss supplements and requires engineering for tablet production.,,,,,
Vitauthority,Gilbert,AZ,-5264,https://www.vitauthority.com,https://www.linkedin.com/company/vitauthority,Both,,,weight loss supplement tablets,85,Vitauthority focuses on supplement formulation for weight loss and needs engineering for tablet manufacturing.,,,,,
Cellucor,Houston,TX,-11478,https://www.cellucor.com,https://www.linkedin.com/company/cellucor,Both,,,weight loss supplement tablets,90,Cellucor produces weight loss supplements and requires engineering for tablet production.,,,,,
Lean1,Wilmington,DE,-7941,https://www.lean1.com,https://www.linkedin.com/company/lean1,Both,,,weight loss supplement tablets,80,Lean1 formulates weight loss supplements and relies on engineering for tablet manufacturing.,,,,,
NutraBlast,Los Angeles,CA,-1651,https://www.nutrablast.com,https://www.linkedin.com/company/nutrablast,Both,,,weight loss supplement tablets,84,NutraBlast specializes in weight loss supplements and requires engineering for tablet manufacturing.,,,,,
Raspberry Ketone Diet,Miami,FL,-9613,https://www.raspberryketonediet.com,,Scientific,,,weight loss supplement tablets,75,Focuses mainly on formulation for weight loss supplements rather than manufacturing.,,,,,
Belly Fat Burner,Dallas,TX,-1553,https://www.bellyfatburner.com,,No Fit,,,weight loss supplement tablets,70,Primarily offers weight loss guidance rather than supplements.,,,,,
Nature Made,Mission Hills,CA,-7075,https://www.naturemade.com,https://www.linkedin.com/company/nature-made/,Both,,,multivitamin tablet manufacturing,90,Produces multivitamins and may require tablet tooling and R&D.,,,,,
Centrum,Pittsburgh,PA,-4447,https://www.centrum.com,https://www.linkedin.com/company/centrum/,Both,,,multivitamin tablet manufacturing,85,Leading multivitamin brand with both manufacturing and formulation needs.,,,,,
Garden of Life,Palm Beach Gardens,FL,-3384,https://www.gardenoflife.com,https://www.linkedin.com/company/garden-of-life/,Both,,,multivitamin tablet manufacturing,88,Focus on whole food multivitamins; requires both engineering and scientific expertise.,,,,,
NOW Foods,Bloomingdale,IL,-2131,https://www.nowfoods.com,https://www.linkedin.com/company/now-foods/,Both,,,multivitamin tablet manufacturing,85,"Manufactures a variety of supplements, including multivitamins; engineering and R&D needed.",,,,,
New Chapter,Burlington,VT,-2981,https://www.newchapter.com,https://www.linkedin.com/company/new-chapter/,Both,,,multivitamin tablet manufacturing,84,Offers multivitamins with a focus on natural ingredients; requires both engineering and formulation.,,,,,
MegaFood,Dummerston,VT,-4189,https://www.megafood.com,https://www.linkedin.com/company/megafood/,Both,,,multivitamin tablet manufacturing,83,"Specializes in whole food supplements, including multivitamins; requires engineering and R&D.",,,,,
