Company Name,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Annual Revenue,SIC Codes,NAICS Codes,Founded Year,Subsidiary of,Tier_Engineering,Tier_Scientific,Why_Fit
"Maxell, Ltd.",3800,electrical/electronic manufacturing,http://www.maxell.co.jp,http://www.linkedin.com/company/maxell,,,,大山崎町,京都府,Japan,618-8525,"大山崎町, 京都府, Japan, 618-8525","appliances, electrical, & electronics manufacturing, societal value contributions, analog core technologies, corporate social responsibility, supply chain management, product history exhibits, environmental services, product history, technology galleries, digital solutions, sustainability and esg standards, professional solutions, sustainability standards, trading companies, professional market solutions, manufacturing and solutions, technology, innovation lounges, global network branches, energy efficiency, product history showcases, electronics manufacturing, technology innovation, consumer electronics, esg, product showcase, corporate social responsibility initiatives, environmental standards, risk management, rohs, sustainability, b2b, core technologies, corporate profiles, global network, global branches, manufacturing, integrated reports, industrial machinery manufacturing, manufacturing solutions, iso, b2b solutions, industrial products, electrical/electronic manufacturing, mechanical or industrial engineering, logistics & supply chain, renewables & environment, consumers, hardware",,972000000,3621,33324,,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
EMOS spol. s r.o.,450,electrical/electronic manufacturing,http://www.emos.eu,http://www.linkedin.com/company/emos-spol-s-r-o-,https://www.facebook.com/EMOS.SK,,2844 Lipnicka,Prerov,Olomouc Region,Czech Republic,750 02,"2844 Lipnicka, Prerov, Olomouc Region, Czech Republic, 750 02","lighting, christmas lighting, flashlights, chargers, batteries, lighting sources, luminaires, lcd products, extension cords, wires, cables, highfrequency technique, monitoring technology, smart products, computers & electronics manufacturing, video doorbells, testing equipment, antenna systems, home automation, b2c, services, wireless detectors, co and smoke detectors, consumer electronics, d2c, rechargeable batteries, electrical installation material, retail, electrical supplies, light sources, garden lighting solutions, multimeters, electrical distribution, testers, industrial electronics, garden lamps, garden lighting, decorative lighting, battery manufacturing, small household electrical equipment, security systems, smart water fountains, e-commerce, retail trade, power banks, electronic devices, led reflectors, smart video doorbells, logistics, supply chain, manufacturing, smart lighting, b2b, decorative led strips, electronic accessories, smart home solutions, cable management, wholesale trade, electrical equipment manufacturing, power over ethernet, weather stations, led lighting, distribution, consumer products & retail, transportation & logistics, hardware, electrical/electronic manufacturing, mechanical or industrial engineering, consumers, internet of things, consumer internet, internet, information technology & services",'+420 581 261 111,110000000,3631,33591,1991,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
iTECH,150,electrical/electronic manufacturing,http://www.itecheng.com,http://www.linkedin.com/company/itechsd,,,9454 Waples St,San Diego,California,United States,92121,"9454 Waples St, San Diego, California, United States, 92121","appliances, electrical, & electronics manufacturing, consulting, fuel gauges, medical devices, battery manufacturing, regulatory compliance, cell balancing, charging solutions, circuit board design, ul certifications, electrical equipment & components, medical power solutions, engineering, safety circuits, lifepo4 batteries, battery design, safety power solutions, manufacturing, serial communication buses, product development, electronics manufacturing, ul2054, b2b, product design, ul1642, environmental testing, battery packs, industrial power systems, shock and vibration testing, iec62281, system integration, intrinsic safety, li-ion batteries, iso 13485, services, project management, charger design, healthcare, legal, electrical/electronic manufacturing, mechanical or industrial engineering, hospital & health care, productivity, health care, health, wellness & fitness",'+1 858-458-1500,46000000,3699,33591,1997,"Universal Power Group, Inc. (upgi.com)",Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Addionics,87,electrical/electronic manufacturing,http://www.addionics.com,http://www.linkedin.com/company/addionics,https://facebook.com/Addionics-104934744751735/,https://twitter.com/addionics,80 Wood Lane,London,England,United Kingdom,W12 0,"80 Wood Lane, London, England, United Kingdom, W12 0","batteries & 3d electrodeposition, appliances, electrical, & electronics manufacturing, battery cell modeling, energy storage innovation, porous structure, battery performance, thermal management, recycled copper, automotive batteries, advanced electrode design, circular design, manufacturing, ai modeling, fast charging, chemi-agnostic technology, automotive battery tech, consumer electronics, sustainable batteries, ai optimization, transportation & logistics, electric vehicles, thermal stability, high energy density, recyclable materials, battery degradation, production line integration, energy density, aerospace product and parts manufacturing, battery safety, 3d current collectors, scalable manufacturing, electric vehicle batteries, battery lifecycle extension, mechanical durability, material optimization, environmentally friendly manufacturing, next-generation batteries, b2b, cost reduction, battery manufacturing process, energy & utilities, structural battery innovation, cost-effective battery components, battery architecture, innovation, fast charging batteries, circular economy, drop-in battery solution, manufacturing efficiency, rechargeable batteries, chemistry agnostic, ev battery innovation, advanced manufacturing, higher energy density, faster charging, cost-effective batteries, mechanical stability, lower production costs, environmental sustainability, recycled materials, battery life extension, drop-in solutions, energy storage applications, battery lifecycle management, electrode design, active material loading, production scalability, high-conductivity, decarbonization efforts, copper reduction, industry collaboration, automotive partnerships, batería sólida, liquid to solid electrolyte, structural optimization, porous electrode technology, lightweight batteries, safety enhancements, material efficiency, energy-efficient manufacturing, battery recycling, lifecycle impact, emission reduction, heavy metals reduction, battery management systems, green manufacturing, smart technology integration, high voltage materials, battery pack efficiency, ev market growth, transportation_logistics, energy_utilities, electrical/electronic manufacturing, mechanical or industrial engineering, consumers, hardware, clean energy & technology, environmental services, renewables & environment",,5000000,3699,33641,2017,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Capchem,4200,chemicals,http://www.capchem.com,http://www.linkedin.com/company/capchemtechnology,,,Long Xi Dong Lu,Shen Zhen Shi,Guang Dong Sheng,China,518172,"Long Xi Dong Lu, Shen Zhen Shi, Guang Dong Sheng, China, 518172","and, chemical manufacturing, iso27001, services, manufacturing, iso certifications, chemical production, iso14001, advanced chemical solutions, b2b, sustainable chemical practices, iso9001, energy storage, global chemical supply, iso50001, r&d innovation, international standards, product development, cnas, supply chain management, iso45001, iso/iec 17025, distribution, quality management, other basic organic chemical manufacturing, iso14064-1, market research, energy efficiency, chemicals, mechanical or industrial engineering, oil & energy, logistics & supply chain, environmental services, renewables & environment",'+86 755 8992 3768,1075005000,2899,32519,1996,,Tier-1,Tier-2,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Casio India,420,electrical/electronic manufacturing,,http://www.linkedin.com/company/casio-india,,,Mathura Road,New Delhi,Delhi,India,110044,"Mathura Road, New Delhi, Delhi, India, 110044","calculators, watches, projectors, electronic musical instruments, label printers, computers & electronics manufacturing, energy-efficient devices, smartwatches, medical devices, digital pianos, connectivity options, consumer engagement, wearable devices, make in india, compact design, smart features, casio, product durability, connectivity with smartphones, electronics manufacturing, musical performance gear, shock resistance, user-friendly interface, digital instruments, musical education devices, energy-saving consumer electronics, wearable technology, solar power, educational calculators, printers, solar-powered educational devices, advanced features, digital learning devices, sports watches, solar-powered devices, brand recognition, product customization, digital marketing, business equipment, digital sound recording, musical technology, consumer electronics, market expansion in india, digital dictionaries, radio-controlled watches, bluetooth fitness watches, professional musical instruments, electronic dictionaries, automatic edifice watches, bluetooth watches, digital projectors for business, radio-controlled timekeeping, local production, retail, digital sound processing, bluetooth-enabled watches, smart educational tools, professional equipment, educational devices, educational tools, multifunctional devices, product innovation, digital sound technology, musical instruments, advanced materials, market expansion, local manufacturing initiatives, market penetration, bluetooth connectivity, innovative technology, outdoor watches, digital technology, rugged outdoor electronics, energy efficiency, outdoor adventure watches, office equipment, luxury watches, d2c, rugged watches, portable keyboards, rugged outdoor gear, energy saving, professional-grade devices, outdoor sports watches, durability, market growth strategies, reliability, professional calculators, timepieces, innovation, solar-powered watches, digital display technology, digital calculators, water resistance, b2c, customer service, premium automatic watches, musical gear, e-commerce, innovative materials, manufacturing, multi-functionality, digital pianos for education, automatic watches, energy-saving technology, musical training instruments, medical diagnostic devices, computer and peripheral equipment manufacturing, energy-efficient calculators, connectivity features, digital display, solar-powered calculators, technology, local manufacturing, digital cameras, g-shock, digital watches, atomic timekeeping, military watches, watches for men, watches for women, baby-g, edifice, oceanus, pro trek, vintage watches, console pianos, music accessories, graphing calculators, scientific calculators, dermatology equipment, gynecology equipment, user manuals, customer support, product registration, buyer's guide, free shipping, military discount, first responders discount, medical discount, holiday gift guide, limited time offers, new arrivals, best sellers, gps watches, water resistant watches, multi-functional display, resin bands, stainless steel watches, titanium watches, aluminum watches, time adjustment, fitness tracking, tide graphs, altimeter, barometer, temperature sensor, moon data, education, distribution, consumer products & retail, electrical/electronic manufacturing, mechanical or industrial engineering, hospital & health care, wearable technologies, wearables, consumer goods, consumers, internet of things, hardware, computer hardware, marketing & advertising, material science, environmental services, renewables & environment, consumer internet, internet, information technology & services",,,3661,33411,1996,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Enerbrax - Acumuladores,56,electrical/electronic manufacturing,http://www.enerbrax.com.br,http://www.linkedin.com/company/enerbrax---acumuladores,,,60 Avenida Conselheiro Rodrigues Alves,Sao Paulo,State of Sao Paulo,Brazil,04014-010,"60 Avenida Conselheiro Rodrigues Alves, Sao Paulo, State of Sao Paulo, Brazil, 04014-010","appliances, electrical, & electronics manufacturing, transportation & logistics, route vehicle batteries, electric vehicles, reliable power, logistics batteries, energy solutions, cost-effective energy, electric vehicle batteries, b2b, delivery vehicle batteries, route delivery, fleet batteries, sustainable transportation, fleet management, energy efficiency, manufacturing, transport batteries, fleet management solutions, delivery fleet energy, transportation, logistics, sustainable energy, energy storage, battery manufacturing, fleet energy solutions, delivery vehicles, batteries, electrical/electronic manufacturing, mechanical or industrial engineering, clean energy & technology, environmental services, renewables & environment, oil & energy, hardware",'+55 14 2107-4000,,3699,33591,,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
"CALB Group Co., Ltd.",11000,electrical/electronic manufacturing,http://www.calb-tech.com,http://www.linkedin.com/company/calb-technology,,https://twitter.com/CALB_Group,,Changzhou,Jiangsu,China,,"Changzhou, Jiangsu, China","lithium battery, power battery, electric vehicles, energy storage, appliances, electrical, & electronics manufacturing, vision, web platform, iaa mobility 2025, environmental services, corporate locations, mobility, china esg alliance 2025, services, not elsewhere classified, strategy, environmental initiatives, digital presence, sustainability, esg, event participation, corporate strategy, services, mission, clean energy & technology, renewables & environment, oil & energy, electrical/electronic manufacturing, mechanical or industrial engineering",'+86 400 164 9588,3801943000,8999,,2007,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Wamtechnik,68,electrical/electronic manufacturing,http://www.wamtechnik.pl,http://www.linkedin.com/company/wamtechnik,https://facebook.com/Wamtechnik,https://twitter.com/wamtechnik_pl,2 ulica Techniczna,Piaseczno,Masovian Voivodeship,Poland,05-500,"2 ulica Techniczna, Piaseczno, Masovian Voivodeship, Poland, 05-500","systemy zasilania, power systems, battery packs, lithium technology, nickel technology, cells & batteries, automotive, lithium ion, batteries, akumulatory kwasowo olowiowe, akumulatory vrla agm, produkcja battery packow, appliances, electrical, & electronics manufacturing, industrial applications, li-poly batteries, industrial power systems, lithium-ion batteries, battery manufacturing, industrial batteries, samsung batteries, battery distribution, battery management systems, smart battery management, electrical equipment manufacturing, custom battery design, custom energy solutions, li-ion batteries, battery distributor, consulting, medical equipment, battery safety testing, fast charging batteries, nimh technology, professional electronics batteries, saft batteries, e-commerce, b2b, transportation equipment, custom battery solutions, lithium batteries, extreme temperature batteries, electric vehicle batteries, vrla batteries, battery safety certification, vrla-agm batteries, electronics manufacturing, medical batteries, lg-chem batteries, high cycle life batteries, energy storage, battery safety, recycling lithium batteries, high capacity li-ion packs, rechargeable batteries, professional battery supply, medical device batteries, panasonic batteries, lifepo4 batteries, ups batteries, energy storage systems, space-grade batteries, military power systems, power supply solutions, battery testing, industrial equipment, battery pack design, nimh batteries, services, energy storage solutions, healthcare, manufacturing, energy, transportation, industrial, medical, technology, hardware, electrical/electronic manufacturing, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services, oil & energy, health care, health, wellness & fitness, hospital & health care",'+48 22 701 26 00,,3691,33591,1992,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Tadiran Batteries,150,electrical/electronic manufacturing,http://www.tadiranbat.com,http://www.linkedin.com/company/tadiran-batteries-ltd,https://www.facebook.com/pages/Tadiran-Batteries/214427401918957,https://twitter.com/TadiranBat,2001 Marcus Ave,New Hyde Park,New York,United States,11042,"2001 Marcus Ave, New Hyde Park, New York, United States, 11042","appliances, electrical, & electronics manufacturing, iso 9001:2000 certified manufacturing, battery certification reports, long-term power solutions, utilities, manufacturing, remote wireless power, battery solutions for cold chain, battery safety data sheets, long shelf life batteries, services, custom battery packs, battery manufacturing, ultra-long-life lithium batteries, un 38.3 tested batteries, medical devices, extreme temperature operation, transportation, aerospace, b2b, distributor network, high pulse current batteries, low self-discharge lithium batteries, utility metering batteries, industrial equipment, custom lithium battery design, self-discharge rate below 1%, hermetically sealed construction, asset tracking batteries, medical device batteries, automotive toll tags batteries, industrial iot power, lisocl2 batteries, energy harvesting batteries, lithium thionyl chloride, passivation effect, oceanographic batteries, global sales and distribution, ul-listed batteries, harsh environment batteries, extended temperature range batteries, high temperature batteries, rechargeable lithium batteries, battery safety and ul certification, industrial iot, battery design for harsh environments, autoclave sterilization batteries, passivation effect in lithium batteries, military grade lithium batteries, medical, battery life up to 40 years, industrial applications, healthcare, distribution, electrical/electronic manufacturing, mechanical or industrial engineering, hospital & health care, health care, health, wellness & fitness",'+1 516-621-4517,5490000,3691,33591,1963,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
SEMCORP Advanced Materials Group,54,chemicals,http://www.semcorp.com,http://www.linkedin.com/company/semcorp,,,,Shanghai,Shanghai,China,,"Shanghai, Shanghai, China","chemical manufacturing, esg reporting, sustainability, ai, manufacturing, performance data, sustainability reporting, corporate governance, reporting dates, esg benchmarks, performance measurement, performance indicators, governance practices, environmental standards, energy storage, windesgaa, product development, all other miscellaneous manufacturing, environmental services, supply chain management, esg disclosure, esg certification, business intelligence, sustainability metrics, company ratings, esg rating agencies, corporate sustainability, esg metrics, reporting standards, esg en, recycling, company data, renewable energy, esg compliance standards, regulatory compliance, b2b, environmental impact, energy efficiency, esg standards, esg score tracking, social responsibility, msci esg, bopp, esg data analysis, electronics, esg ensearch, esg evaluation, company identifiers, supply chain, esg performance metrics, market research, corporate social responsibility, esg scores, customer engagement, environmental compliance, company performance, esg, finance, chemicals, renewables & environment, mechanical or industrial engineering, oil & energy, logistics & supply chain, analytics, information technology & services, clean energy & technology, computer hardware, hardware, financial services",,,3999,33999,1996,,Tier-1,Tier-2,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
GP Electronics (HK) Limited,67,electrical/electronic manufacturing,http://www.gp-industries.com,http://www.linkedin.com/company/gpehk,,,12w Science Park East Ave,,New Territories,Hong Kong,,"12w Science Park East Ave, New Territories, Hong Kong","high performance consumer & professional audio, design, manufacturing, r, d, worlds top music, audio company, appliances, electrical, & electronics manufacturing, high-fidelity sound, high-end audio products, electrical components, sustainability, battery solutions, wireless speaker design, high-precision parts, r&d in batteries, gp batteries, environmental protection, electronic components, recycled materials in batteries, guitar speakers, immersive audio systems, celestion, gp electronics, professional audio drivers, oem manufacturing, consumer electronics, circular economy, battery development, power banks, kef, industrial investments, global manufacturing, consumer batteries, audio equipment, flashlights, wireless speakers, professional audio, product innovation, r&d in rechargeable batteries, battery lifespan extension, high-performance loudspeakers, acoustic innovation, battery manufacturing, sustainable sourcing, recyclable batteries, outdoor lighting, acoustics & electronics, circular economy practices, high-fidelity audio, b2b, b2c, e-commerce, distribution, consumer_products_&_retail, mechanical or industrial engineering, electrical/electronic manufacturing, environmental services, renewables & environment, consumers, hardware, consumer internet, internet, information technology & services",'+1 656-395-0850,820005000,3699,33591,1974,Time Interconnect Limited (time-interconnect.com),Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
CELLFORCE GROUP,200,electrical/electronic manufacturing,http://www.cellforce.de,http://www.linkedin.com/company/cellforce-group,,,14 Jopestrasse,Tuebingen,Baden-Wuerttemberg,Germany,72072,"14 Jopestrasse, Tuebingen, Baden-Wuerttemberg, Germany, 72072","batterieproduktion, batterie serienfertigung, lithium ionen batterien, manufacturing, battery cells, batteries, elektromobilitaet, automotive, emobility, high performance cells, appliances, electrical, & electronics manufacturing, battery cell innovation, circular battery economy, battery industry, fast charge lithium-ion cells, battery research and development, battery energy efficiency, battery performance testing, battery lifespan optimization, battery cell design, sustainable cathode materials, battery collaboration, battery energy management, silicon-based anodes, electric vehicle batteries, battery innovation partnerships, battery cell production, battery chemistry innovation, battery technology collaboration, battery recycling and reuse, battery production standards, battery safety standards, battery quality standards, battery cell manufacturing, energy & utilities, electric mobility, battery development partnership, battery safety testing, european battery industry, european battery pilot plant, battery sustainability, other motor vehicle parts manufacturing, automotive battery solutions, battery materials, pilot manufacturing line, battery efficiency, collaborative battery research, battery quality assurance, battery cell chemistries, european battery supply chain, battery supply chain, battery pilot production line, battery innovation, solar-powered buildings, circular water use, automotive battery r&d, automotive applications, high energy density batteries, silicon anodes, fast charging batteries, battery supply chain management, battery cell prototypes, cathode materials, battery performance enhancement, battery performance optimization, battery manufacturing in europe, government, battery material sourcing, battery safety and reliability, battery manufacturing processes, transportation & logistics, battery recycling, energy efficiency, battery cell testing, battery production site, high-performance batteries, circular economy in batteries, silicon anode batteries, automotive batteries, cathode development, battery lifespan, battery manufacturing, advanced battery materials, lithium-ion batteries, battery pilot production, energy management systems, supply chain transparency, battery technology innovation, battery performance, environmentally friendly manufacturing, battery recycling technology, environmental sustainability, b2b, battery efficiency improvements, battery energy density, sustainable sourcing, battery cell scaling, battery safety, sustainable battery production, battery cell development, battery material research, battery cell technology, battery chemistries, battery recycling processes, battery supply chain sustainability, battery testing, battery lifespan extension, lithium-ion cells, sustainable production, battery chemistry research, energy storage solutions, high energy density, fast charging capabilities, cell manufacturing, sustainable mobility, innovative battery solutions, emission-free mobility, research and development, high-quality battery cells, solar panel installation, efficient energy management, industrial partnership, recycling processes, production scaling, pilot production facility, advanced materials, mobile power storage, reduced water consumption, automotive innovation, competitive edge, clean energy solutions, regional economic development, energy availability, battery lifecycle management, environmental responsibility, collaborative development, market leadership, energy recovery, battery powertrain technology, technological advancements, global competition, engineering excellence, automotive specialization, partnership development, career opportunities, mechanical or industrial engineering, hardware, electrical/electronic manufacturing, environmental services, renewables & environment, research & development, material science",'+49 1520 8910636,,3691,33639,2021,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
U.S. Battery Mfg. Co.,59,electrical/electronic manufacturing,http://www.usbattery.com,http://www.linkedin.com/company/u-s-battery-mfg-co-,https://facebook.com/pages/US-Battery-Mfg/149009575265165,https://twitter.com/USBattery,1675 Sampson Ave,Corona,California,United States,92879,"1675 Sampson Ave, Corona, California, United States, 92879","manufacturing batteries, deep cycle batteries, sealed agm batteries, golf car batteries, scissor lift batteries, floor machine batteries, marine batteries, rv batteries, renewable energy batteries, lithiumion batteries, appliances, electrical, & electronics manufacturing, high capacity deep cycle batteries, industrial batteries, manufacturing, watering kits, marine/rv deep cycle batteries, battery performance, battery safety data sheets, energy storage, agm deep cycle batteries, lithium-ion batteries, battery specifications, hybrid systems batteries, battery water systems, lead acid batteries, environmental sustainability, li-ion energy storage, battery maintenance, distribution, energy & utilities, battery application guide, iso certified batteries, battery warranties, battery industry standards, battery configurations, transportation & logistics, global distribution, industrial power solutions, long-lasting power solutions, b2b, energy efficiency, battery calculator, e-commerce, charging instructions, golf cart batteries, flooded lead acid batteries, backup power solutions, battery technical information, flow-rite watering systems, backup power batteries, battery life extension, battery manufacturing, agm batteries, battery manufacturing since 1926, transportation_logistics, energy_utilities, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy, environmental services, renewables & environment, consumer internet, consumers, internet, information technology & services",'+1 800-695-0945,180000000,3691,33591,1926,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Midtronics,220,electrical/electronic manufacturing,http://www.midtronics.com,http://www.linkedin.com/company/midtronics,https://www.facebook.com/Midtronics/,https://twitter.com/Midtronics,7000 Monroe St,Willowbrook,Illinois,United States,60527-5654,"7000 Monroe St, Willowbrook, Illinois, United States, 60527-5654","battery management innovation, battery technology, battery testers, diagnostic chargers, monitors, software & data management solutions, electric vehicle battery management, appliances, electrical, & electronics manufacturing, battery manufacturing, battery decommissioning, electric vehicle battery testing, battery system diagnostics, battery safety testing, wireless communication, battery de-power tools, battery repair solutions, battery fault detection, battery diagnostics for evs, sustainability, battery management, battery diagnostics, battery safety and compliance, automotive service tools, ev high-voltage tools, battery safety protocols, wireless module communication, battery testing automation, ev solutions, battery health assessment, battery safety standards compliance, battery warranty support, battery health reporting, battery diagnostics innovation, battery lifecycle analytics, wireless battery module communication, battery service solutions, high-voltage tools, electric vehicle battery, battery safety tools, automotive diagnostics software, battery diagnostics tools, battery service tools, battery health analytics, battery condition monitoring, electric vehicles, battery service devices, conductance profiling, innovation, automotive oem partnerships, automotive battery diagnostics, battery health monitoring, battery safety, battery decommissioning equipment, transportation & logistics, hybrid battery rescue charger, electric vehicle service tools, battery service automation, battery system integration, battery testing standards, hybrid and ev battery tools, battery performance diagnostics, battery safety certification, battery management data systems, battery management systems, battery module balancer, battery performance analysis, battery data management, automotive manufacturing, battery maintenance equipment, hybrid vehicle diagnostics, battery testing technology, services, b2b, automotive oem tools, hybrid vehicle battery tools, digital battery management, automotive battery safety, battery data encryption, ev battery diagnostics, battery management hardware, ev battery module balancing, automotive diagnostics, battery service training, conductance technology, battery safety protocols for evs, high-voltage battery service, battery service innovation, battery safety in high-voltage systems, battery lifecycle management, battery monitoring systems, battery testing, high-voltage safety, over-the-air updates, automotive service automation, automotive battery solutions, battery analysis, data analytics, battery analytics, hybrid battery testing, battery data analytics platforms, battery service equipment, automotive battery lifecycle management, hybrid battery rescue, battery system de-powering, high-voltage system safety, battery management software, ev battery modules, battery module balancing, electric vehicle solutions, service diagnostics, heavy-duty solutions, battery health reports, fleet maintenance, automotive battery service, advanced diagnostics, preventative maintenance, automated software updates, lithium-ion service equipment, battery maintenance tools, vehicle battery diagnostics, integrated wi-fi communication, data management systems, battery condition testing, automotive electrical systems, mobile diagnostics, battery testing equipment, emerging vehicle systems, vehicle electrification, high-voltage battery diagnostics, multi-frequency analyzers, stationary power testing, customer support solutions, automated testing processes, detailed diagnostic reports, performance monitoring, battery market leader, energy-efficient solutions, service station tools, advanced battery analytics, electric vehicle servicing, smart battery testing, customer satisfaction tools, battery asset management, new automotive technologies, innovative battery solutions, electrical system analysis, sustainable battery services, manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering, environmental services, renewables & environment, clean energy & technology",'+1 630-323-2800,57100000,3694,33591,1984,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Southern Batteries,170,electrical/electronic manufacturing,http://www.southernbatteries.com,http://www.linkedin.com/company/southern-batteries,https://facebook.com/southernbatteriespvtltd,,30,Bengaluru,Karnataka,India,560099,"30, Bengaluru, Karnataka, India, 560099","appliances, electrical, & electronics manufacturing, vrla batteries, lead acid technology, cycle life testing, battery testing equipment, power backup, solar batteries, battery manufacturing, distribution, programmable life cycle testers, in-house manufacturing, b2b, customer support, battery alloy analysis, customer service, automotive batteries, research and development, electric vehicle batteries, battery maintenance, solar energy storage, high rate discharge tester, manufacturing, inverter batteries, services, quality assurance, deep cycling batteries, battery testing, renewable energy, industrial applications, discharge controllers, power storage solutions, fail-safe tubular batteries, battery production, float indicators, industrial batteries, micro porous aqua trap, heavy-duty alloy grids, traction batteries, long-life batteries, iso certified, rechargeable batteries, advanced testing facilities, alloy analysis, battery assembly, float voltage measurement, lead acid batteries, solar power batteries, electrical/electronic manufacturing, mechanical or industrial engineering, research & development, clean energy & technology, environmental services, renewables & environment",,,3691,33591,1980,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
C&D Technologies,1700,electrical/electronic manufacturing,http://www.cdtechno.com,http://www.linkedin.com/company/c&d-technologies,https://facebook.com/canddtechnologies,,200 Precision Rd,Horsham,Pennsylvania,United States,19044-1227,"200 Precision Rd, Horsham, Pennsylvania, United States, 19044-1227","stored energy products including lead acid batteries & ferro chargers & switchmode rectifiers, appliances, electrical, & electronics manufacturing, power storage, long-life batteries, battery product development, telecommunications batteries, power management systems, battery innovation, high-temperature vrla batteries, innovation, telecom batteries, power system design, reliable power, critical infrastructure batteries, safety and reliability, battery testing, renewable energy batteries, advanced battery technologies, battery testing and diagnostics, corporate sustainability, power backup solutions, power backup, reliable backup power, government infrastructure, energy & utilities, lead-acid batteries, data center batteries, power system monitoring, customer service, consulting, battery performance, mission-critical power, power system support, global power solutions, energy management, critical infrastructure, agm batteries, battery performance testing, manufacturing, power system integration, reliable power solutions, battery recycling, lead-calcium technology, battery lifecycle management, sustainability, data centers, power system maintenance, high-capacity batteries, advanced batteries, battery diagnostics, environmentally friendly batteries, environmentally conscious manufacturing, telecom backup power, advanced battery technology, renewable energy storage, power management, energy storage, energy storage solutions, renewable energy, industrial energy storage, disaster recovery batteries, battery systems, battery manufacturing, nano-carbon agm, battery safety standards, front access agm, battery installation services, vrla batteries, backup power systems, power system engineering, industrial batteries, government, global manufacturing, electric vehicles, b2b, sustainable energy, mission-critical batteries, power solutions, services, sustainable energy storage, long duration energy storage, battery safety, distributor network, battery technology, power backup systems, telecommunications, battery solutions, uninterruptible power supply, ups, lead acid batteries, flooded lead acid, pure lead agm, nano-carbon technology, battery backup, data center solutions, telecom battery backup, power infrastructure, environmental sustainability, battery maintenance, deep cycle batteries, battery recycling programs, power conversion systems, customer support, battery sizing tool, long life batteries, cost-effective power storage, high-quality batteries, industrial applications, battery chemistry, safety standards, iso certified, energy storage innovation, emergency power solutions, power reliability, telecommunications power solutions, low maintenance batteries, energy solutions provider, broadband battery solutions, battery technology advancements, power system installation, backup power solutions, battery specifications, technical documentation, customer resources, case studies, battery faqs, sustainability practices, engineering excellence, power systems distribution, lifecycle management, power density, distribution, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy, environmental services, renewables & environment, internet service providers, information technology & services, clean energy & technology",'+1 215-619-2700,350000000,3612,33591,1906,KPS Capital Partners (kpsfund.com),Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
