Company Name,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Annual Revenue,SIC Codes,NAICS Codes,Founded Year,Subsidiary of
Southern Batteries,170,electrical/electronic manufacturing,http://www.southernbatteries.com,http://www.linkedin.com/company/southern-batteries,https://facebook.com/southernbatteriespvtltd,,30,Bengaluru,Karnataka,India,560099,"30, Bengaluru, Karnataka, India, 560099","appliances, electrical, & electronics manufacturing, vrla batteries, lead acid technology, cycle life testing, battery testing equipment, power backup, solar batteries, battery manufacturing, distribution, programmable life cycle testers, in-house manufacturing, b2b, customer support, battery alloy analysis, customer service, automotive batteries, research and development, electric vehicle batteries, battery maintenance, solar energy storage, high rate discharge tester, manufacturing, inverter batteries, services, quality assurance, deep cycling batteries, battery testing, renewable energy, industrial applications, discharge controllers, power storage solutions, fail-safe tubular batteries, battery production, float indicators, industrial batteries, micro porous aqua trap, heavy-duty alloy grids, traction batteries, long-life batteries, iso certified, rechargeable batteries, advanced testing facilities, alloy analysis, battery assembly, float voltage measurement, lead acid batteries, solar power batteries, electrical/electronic manufacturing, mechanical or industrial engineering, research & development, clean energy & technology, environmental services, renewables & environment",,,3691,33591,1980,
GP Batteries,430,consumer electronics,http://www.gpbatteries.com,http://www.linkedin.com/company/gp-batteries,https://www.facebook.com/GPDACH/,https://twitter.com/gp_batteries,7/f Science Park West Ave,,New Territories,Hong Kong,,"7/f Science Park West Ave, New Territories, Hong Kong","battery manufacturing facilities, alkaline batteries, primary batteries, battery for high-performance devices, battery accessories, battery technology innovation, consumer electronics, long-life batteries, battery industry, eco-friendly battery solutions, battery innovation, fast charging batteries, battery quality control, battery solutions, innovation, battery supply chain, battery market, battery for outdoor equipment, power banks, battery management, battery recycling programs, high-drain batteries, e-commerce, battery manufacturing process, rechargeable batteries, global battery supplier, battery innovation labs, distribution, battery testing, battery sustainability, battery for medical devices, battery for smoke detectors, battery life extension, d2c, long-lasting batteries, battery for high-power devices, battery chargers, oem supply, battery for portable power stations, battery for iot devices, high capacity batteries, battery performance optimization, battery for energy storage, nimh batteries, battery for remote controls, battery for wearable tech, battery for professional use, battery development, battery charging technology, battery capacity, battery for low-drain gadgets, b2c, battery supply, energy & utilities, battery for high-voltage applications, retail, high-performance batteries, battery performance, transportation & logistics, specialty batteries, battery storage, battery supplier, battery design, battery pack, battery performance testing, manufacturing, consumer batteries, battery for high-drain gadgets, battery recycling, battery efficiency, sustainability, lithium-ion batteries, portable power, rechargeable aa batteries, battery packs, eco-friendly batteries, battery for cold environments, energy storage, battery brands, battery for outdoor activities, battery quality assurance, battery products, battery r&d, battery sustainability practices, battery logistics, battery manufacturing, battery safety standards, carbon zinc batteries, battery for industrial applications, battery for digital cameras, battery for renewable energy systems, battery for high-drain devices, battery for automotive alarms, battery quality, low-drain batteries, usb chargers, battery life, battery for flashlights, industrial batteries, b2b, battery for portable electronics, battery for toys, battery distribution, battery safety features, battery market trends, battery environmental impact, battery for emergency devices, rechargeable battery packs, battery for smart home devices, battery industry growth, battery for high-temperature environments, power solutions, battery capacity testing, services, fast recharge batteries, battery safety, battery for critical applications, rechargeable aaa batteries, battery technology, environmentally friendly, single-use batteries, aa batteries, aaa batteries, c batteries, d batteries, 9v batteries, hearing aid batteries, button batteries, cylindrical cells, portable power banks, wireless chargers, outdoor lighting, flashlights, head torches, lithium batteries, battery chargers pro, smart chargers, fast charging, device compatibility, long-lasting power, plug and play chargers, compact batteries, camcorder batteries, battery voltage, battery types, custom batteries, compact power banks, premium batteries, multiple charging slots, charging cycles, batteries for gadgets, emergency lighting, battery size options, battery applications, innovative battery solutions, battery for home automation, healthcare, consumer products & retail, consumers, hardware, consumer internet, internet, information technology & services, mechanical or industrial engineering, environmental services, renewables & environment, oil & energy, health care, health, wellness & fitness, hospital & health care",'+852 2484 3333,1600000000,3694,33591,1964,GP Electronics (HK) Limited (gp-industries.com)
Global BP Solutions LLC,72,paper & forest products,http://www.artcorp.co.zw,http://www.linkedin.com/company/art-corporation,http://www.facebook.com/ART-Corporation-980682425324350/,http://www.twitter.com/ArtCorpZimbabwe,Seke Road,Harare,Harare Province,Zimbabwe,,"Seke Road, Harare, Harare Province, Zimbabwe","paper & forest product manufacturing, paper & forest products",'+263 242 770 097,,,,1997,
Eveready,550,mechanical or industrial engineering,http://www.eveready.co.za,http://www.linkedin.com/company/eveready,http://www.facebook.com/EvereadySA,https://twitter.com/EvereadySA,Eveready Rd,Ibhayi,Eastern Cape,South Africa,6001,"Eveready Rd, Ibhayi, Eastern Cape, South Africa, 6001","manufacturing, lighting, market leadership, energy conservation, local wood products, wind energy, iso certifications, integrated management system, environmental certifications, leadership development, local manufacturing, ecocell export brand, b2c, renewable energy solutions, supply chain management, fmcg, led lighting, zinc batteries, domestic lighting products, consumer goods & retail, brand expansion, alkaline batteries, export development, energy & utilities, sustainable manufacturing, storm water pollutant monitoring, dry cell batteries, recycling, environmental awards, storm water management, storm water pollutant management, storm water pollutant control, kestrel wind turbines, energy efficiency, product innovation, lithium batteries, south africa, storm and waste water pollutant levels, storm water pollutant reduction, d2c, household products, environmental management, battery manufacturing, energy-saving led lamps, certified micro-wind turbines, sustainable growth, house of york household products, renewable energy, micro-wind turbines, batteries, consumer products & retail, mechanical or industrial engineering, logistics & supply chain, environmental services, renewables & environment, clean energy & technology, hardware",'+27 41 401 2500,8457000,3694,33591,1937,
Magnacharge Battery Corporation,70,transportation/trucking/railroad,http://www.magnacharge.com,http://www.linkedin.com/company/magnacharge-battery-corporation,,,1279 Derwent Way,Delta,British Columbia,Canada,V3M 5V9,"1279 Derwent Way, Delta, British Columbia, Canada, V3M 5V9","automotive batteries, commercial batteries, powersport, truck transportation, battery performance, lithium, renewable energy storage, recreational batteries, battery recycling, battery management systems, off-grid power, high cycle life batteries, industrial applications, power support, marine, industrial power systems, industrial equipment, manufacturing, b2b, e-commerce, battery boxes, lifepo4 batteries, industrial batteries, battery testing equipment, solar batteries, gel, marine deep cycle batteries, battery manufacturing, oem standards, battery technology, renewable energy, marine batteries, power conversion, battery, energy solutions, deep cycle, battery durability technology, recreational vehicle batteries, automotive, medical batteries, flooded, agm, battery distribution, battery chargers, recreational vehicles, marine power systems, battery accessories, power for heavy machinery, military & government, medical, custom battery solutions, services, green battery recycling, healthcare, renewable_energy, industrial, recreational, military, government, transportation/trucking/railroad, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services, clean energy & technology, environmental services, renewables & environment, health care, health, wellness & fitness, hospital & health care",'+1 604-525-0489,,3621,33591,1964,
C&D Technologies,1700,electrical/electronic manufacturing,http://www.cdtechno.com,http://www.linkedin.com/company/c&d-technologies,https://facebook.com/canddtechnologies,,200 Precision Rd,Horsham,Pennsylvania,United States,19044-1227,"200 Precision Rd, Horsham, Pennsylvania, United States, 19044-1227","stored energy products including lead acid batteries & ferro chargers & switchmode rectifiers, appliances, electrical, & electronics manufacturing, power storage, long-life batteries, battery product development, telecommunications batteries, power management systems, battery innovation, high-temperature vrla batteries, innovation, telecom batteries, power system design, reliable power, critical infrastructure batteries, safety and reliability, battery testing, renewable energy batteries, advanced battery technologies, battery testing and diagnostics, corporate sustainability, power backup solutions, power backup, reliable backup power, government infrastructure, energy & utilities, lead-acid batteries, data center batteries, power system monitoring, customer service, consulting, battery performance, mission-critical power, power system support, global power solutions, energy management, critical infrastructure, agm batteries, battery performance testing, manufacturing, power system integration, reliable power solutions, battery recycling, lead-calcium technology, battery lifecycle management, sustainability, data centers, power system maintenance, high-capacity batteries, advanced batteries, battery diagnostics, environmentally friendly batteries, environmentally conscious manufacturing, telecom backup power, advanced battery technology, renewable energy storage, power management, energy storage, energy storage solutions, renewable energy, industrial energy storage, disaster recovery batteries, battery systems, battery manufacturing, nano-carbon agm, battery safety standards, front access agm, battery installation services, vrla batteries, backup power systems, power system engineering, industrial batteries, government, global manufacturing, electric vehicles, b2b, sustainable energy, mission-critical batteries, power solutions, services, sustainable energy storage, long duration energy storage, battery safety, distributor network, battery technology, power backup systems, telecommunications, battery solutions, uninterruptible power supply, ups, lead acid batteries, flooded lead acid, pure lead agm, nano-carbon technology, battery backup, data center solutions, telecom battery backup, power infrastructure, environmental sustainability, battery maintenance, deep cycle batteries, battery recycling programs, power conversion systems, customer support, battery sizing tool, long life batteries, cost-effective power storage, high-quality batteries, industrial applications, battery chemistry, safety standards, iso certified, energy storage innovation, emergency power solutions, power reliability, telecommunications power solutions, low maintenance batteries, energy solutions provider, broadband battery solutions, battery technology advancements, power system installation, backup power solutions, battery specifications, technical documentation, customer resources, case studies, battery faqs, sustainability practices, engineering excellence, power systems distribution, lifecycle management, power density, distribution, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy, environmental services, renewables & environment, internet service providers, information technology & services, clean energy & technology",'+1 215-619-2700,350000000,3612,33591,1906,KPS Capital Partners (kpsfund.com)
Ambri,62,semiconductors,http://www.ambri.com,http://www.linkedin.com/company/ambri,https://facebook.com/AmbriInc,https://twitter.com/Ambri_Inc,53 Brigham Street,Marlborough,Massachusetts,United States,1752,"53 Brigham Street, Marlborough, Massachusetts, United States, 01752","gridscale energy storage, batteries, long duration energy storage, renewable energy, renewable energy semiconductor manufacturing, high-temperature batteries, extreme environment batteries, industrial-grade batteries, cost reduction, industrial energy storage, low toxicity materials, battery safety, disaster-resilient batteries, grid-scale batteries, modular battery system, battery manufacturing, energy transition, massive energy capacity, renewable energy integration, energy system integration, grid decarbonization solutions, grid operation, large capacity modular systems, energy market solutions, power and utilities, liquid metal battery, cost savings in energy storage, thermal self-heating systems, government, daily cycling batteries, off-grid energy storage, environmentally friendly batteries, energy infrastructure, certified batteries, safe energy storage, environmentally sustainable batteries, liquid metal electrochemistry, long duration storage, scalable energy storage, reliable energy storage, bi-directional inverters, large-scale energy projects, reliable backup power, cost-effective batteries, battery management system, battery recycling, grid stabilization, sustainability, decarbonization, cost-efficient manufacturing, b2b, battery lifespan, extreme environment resilience, degradation-free batteries, modular design, advanced battery chemistry, recyclable electrode materials, recyclable batteries, power grid modernization, utilities, renewable energy backup, emission-free energy storage, safety without fire risk, grid services, services, long-duration energy storage, harsh environment operation, renewable energy capacity firming, utility-scale batteries, thermal management, electrical equipment manufacturing, safety standards, energy project scalability, renewable power support, energy management, energy storage, sustainable batteries, energy storage for data centers, energy market participation, minimal maintenance batteries, molten metal batteries, energy shifting, energy project deployment, over 20-year lifespan, long cycle life batteries, grid-scale energy storage, liquid metal batteries, capacity firming, ancillary services, recyclable materials, lower capex, lower opex, energy storage capacity, high efficiency, extreme environment performance, daily cycling, safe battery technology, 20-year battery life, minimal degradation, utility deployment, commercial scale batteries, low-cost energy storage, scalable battery systems, grid stability, solar energy storage, wind energy storage, peak load management, carbon-free electricity, ul certification, battery chemistry, energy resilience, decarbonization solutions, domestic manufacturing, high-volume production, battery performance, electrode materials, supply chain security, renewable energy technologies, constant renewable power access, investment in battery technologies, energy cost reduction, climate-friendly solutions, electric grid improvement, innovative battery design, manufacturing, distribution, transportation & logistics, energy & utilities, hardware, clean energy & technology, environmental services, renewables & environment, semiconductors, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy",'+1 617-714-5723,8000000,3621,33591,2010,
"Streamlight, Inc.",190,electrical/electronic manufacturing,http://www.streamlight.com,http://www.linkedin.com/company/streamlight-inc-,https://www.facebook.com/streamlight,https://twitter.com/streamlight,30 Eagleville Rd,Norristown,Pennsylvania,United States,19403,"30 Eagleville Rd, Norristown, Pennsylvania, United States, 19403","portable lighting solutions, tactical flashlights, industrial maintenance flashlights, automotive repair flashlights, shooting, hunting, outdoors flashlights, headlamps, handheld flashlights, safety rated lights, lanterns, scene lighting, weaponmounted lights, rechargeable flashlights, appliances, electrical, & electronics manufacturing, portable scene lights, led beam focus technology, ansi fl-1 standard, outdoor headlamps, led safety-rated flashlights, law enforcement tactical gear, led safety compliance, rechargeable power packs, law enforcement equipment, led technology integration, small electrical appliance manufacturing, military lighting, portable lanterns, led lighting, light beam patterns, portable scene floodlights, long runtime lights, firefighter gear lighting, explosive atmosphere safety, led beam pattern customization, industrial lighting, battery technology, lightweight construction, industrial equipment, tactical weapon lights, firefighter headlamps with safety ratings, portable scene lighting, battery management systems, firefighting lights, led optics, led flashlight design, beam focus technology, multi-fuel power sources, tactical lights, professional lighting, outdoor adventure headlamps, durable flashlights, multi-fuel rechargeable lights, consumer electronics, high-performance lighting, battery charging technology, ansi fl-1 standard compliance, shock-resistant lights, led flashlight technology, outdoor adventure gear, durability testing, led color options, explosive atmosphere safety lights, retail, portable lighting, portable scene lighting solutions, programmable lighting, nasa-developed lighting, government, retail trade, led bulb longevity testing, fire-resistant materials, led illumination, firefighter headlamps, rechargeable batteries, led lamp modules, fire-resistant flashlight design, firefighter scene lighting, fire and rescue lighting, patented lighting technology, led safety standards compliance, beam distance optimization, battery life extension, d2c, safety-rated lights, rechargeable battery packs, multi-purpose flashlights, led efficiency, aerospace lighting technology, multi-fuel lights, high lumen output, light output control, led safety standards, outdoor lighting, military-grade flashlights, b2c, customer service, portable power solutions, e-commerce, b2b, manufacturing, wholesale trade, led bulb longevity, law enforcement lights, patented led optics, led technology, firefighter gear, waterproof flashlights, lightweight flashlights, flashlights, tactical lighting, led lights, rechargeable lights, weapon-mounted lights, emergency scene lights, ultra-violet flashlights, infra-red flashlights, work lights, right angle flashlights, dual fuel lights, battery information, ansi safety ratings, emergency preparedness, lighting technology, usb rechargeable, everyday carry flashlights, outdoor adventure lights, first responder gear, firefighter flashlights, law enforcement lighting, impact-resistant flashlights, hands-free lights, variable beam patterns, multi-fuel weapon lights, high-lumen flashlights, color-rite technology, intrinsically safe lights, non-rechargeable lights, lights for a cause, customer feedback, product warranty, training resources, interactive demos, engineering design, community engagement, lighting applications, stinger series, survivor series, protac series, strion series, sidewinder series, tlr series, led durability, tactical tools, flashlight accessories, distribution, consumer products & retail, electrical/electronic manufacturing, mechanical or industrial engineering, consumers, hardware, consumer internet, internet, information technology & services",'+1 610-631-0600,69237000,3699,33521,1973,
Cadex Electronics Inc.,59,electrical/electronic manufacturing,http://www.cadex.com,http://www.linkedin.com/company/cadex-electronics,https://www.facebook.com/CadexElectronics/,https://twitter.com/cadexelectronic,22000 Fraserwood Way,Richmond,British Columbia,Canada,V6W 1J6,"22000 Fraserwood Way, Richmond, British Columbia, Canada, V6W 1J6","battery chargers, battery analyzers, battery testers for wireless communications, mobile computing, medical devices, test & measurement & automotive applications, cell phone battery testers, battery pack assembly, battery management system, eis, rapid tester, appliances, electrical, & electronics manufacturing, battery safety algorithms, battery lifecycle optimization, battery health analytics, battery health management, medical battery chargers, fleet battery management, battery diagnostics, rapid testers, battery management, advanced diagnostic battery management, oem solutions, non-invasive testing, automotive, automotive battery testers, logistics, emergency radio chargers, electrochemical impedance spectroscopy, manufacturing, b2b, battery capacity assessment, warehousing battery analyzers, defense, battery longevity, multi-model eis, battery performance monitoring, battery performance transparency, diagnostic chargers, battery failure prediction, battery testing automation, custom oem battery design, healthcare, industry applications, cloud analytics, ai and machine learning, services, custom battery packs, military battery solutions, computer and peripheral equipment manufacturing, government, energy efficiency, industry, hospital & health care, electrical/electronic manufacturing, mechanical or industrial engineering, health care, health, wellness & fitness, environmental services, renewables & environment",'+1 800-565-5228,2831000,3691,33411,1980,
Dragonfly Energy Corporation,140,semiconductors,http://www.dragonflyenergy.com,http://www.linkedin.com/company/dragonfly-energy-corporation,https://www.facebook.com/dragonflyenergy,https://twitter.com/DragonflyDFLI,12915 Old Virginia Rd,Reno,Nevada,United States,89521-8916,"12915 Old Virginia Rd, Reno, Nevada, United States, 89521-8916","cell manufacturing, battery pack design, assembly, system integration, technology, innovation, chemistry agnostic, full power systems, oem power solutions, custom power solutions, nonflammable solid state batteries, battery communication, industrial machinery/components, renewable energy semiconductor manufacturing, pfas-free batteries, energy storage, services, manufacturing, recycling and eco-friendly materials, b2b, advanced battery communication technology, high-performance battery packs, battery pack heating technology, transportation & logistics, retail, domestic dry electrode process, battery manufacturing, b2c, battery safety standards, chemistry agnostic battery production, battery cell technology, government, nonflammable solid-state batteries, lifepo4 batteries, custom energy solutions, d2c, energy & utilities, education, battery system design, e-commerce, lithium battery manufacturing, sustainable manufacturing, oem power systems, battery supply chain nevada, intellectual property in battery tech, energy storage solutions, distribution, semiconductors, hardware, oil & energy, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",'+1 775-622-3448,51496000,3691,33591,2016,Chardan NexTech Acquisition 2 Corp. (cnaq.com)
Jupiter Baterias E Componentes,87,automotive,http://www.bateriasjupiter.com.br,http://www.linkedin.com/company/jupiterbaterias,,,,Cianorte,Parana,Brazil,,"Cianorte, Parana, Brazil","motor vehicle manufacturing, durability, battery recycling, transportation & logistics, automotive power solutions, impact resistance testing, sustainability, distribution, powergrid technology, performance batteries, industrial equipment, manufacturing, sustainable manufacturing, b2b, inmetro, long lifespan, automotive energy solutions, performance testing, battery recycling programs, high conductivity, environmentally friendly, battery manufacturing, iso 9001, battery technology, long-lasting batteries, powergrid grades, powergrid, customer service, certified batteries, recyclable batteries, impact resistance, certifications, advanced lamination technology, vehicle batteries, performance in extreme conditions, energy efficiency, performance, certified quality batteries, automotive batteries, vibration resistance, e-commerce, automotive, environmental services, renewables & environment, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",'+55 44 3629-2938,,3691,33591,,
"Siam GS Battery Co., Ltd.",60,automotive,http://www.gsbattery.co.th,http://www.linkedin.com/company/siam-gs-battery-co-ltd-,,,164 Sukhumvit Road,Tambon Bang Pu Mai,Chang Wat Samut Prakan,Thailand,10280,"164 Sukhumvit Road, Tambon Bang Pu Mai, Chang Wat Samut Prakan, Thailand, 10280","motor vehicle manufacturing, battery brand introduction, battery supplier, iso 9001, electrical equipment and component manufacturing, e-business platform, industrial batteries, battery distribution, battery manufacturing standards, battery training programs, battery product certification, battery quality management, b2b, battery product development, battery manufacturing and distribution, iatf 16949, battery industry standards, maintenance free, battery environmental standards, conventional, battery brands, hybrid batteries, battery market, battery safety, maintenance-free batteries, hybrid, automotive parts and accessories distribution, conventional lead-acid batteries, battery training, battery sales, services, battery product range, battery maintenance, battery market expansion, battery supply chain, battery quality standards, battery industry, battery innovation, e-commerce, iso certifications, battery technology, other electronic parts and equipment merchant wholesalers, automotive batteries, batteries, education, distribution, automotive, consumer internet, consumers, internet, information technology & services, hardware",'+66 2 726 8054,,3694,33591,,
Pinaco,79,import & export,http://www.pinaco.com.vn,http://www.linkedin.com/company/pinaco,https://facebook.com/pinacovietnam,,,Ho Chi Minh City,Ho Chi Minh,Vietnam,,"Ho Chi Minh City, Ho Chi Minh, Vietnam","wholesale import & export, manufacturing, battery technology, vehicle batteries, battery industry, battery distribution, battery safety, battery export markets, distribution, battery quality control, battery supply chain, battery quality, battery brand, automotive batteries, transportation & logistics, battery manufacturing process, industrial batteries, battery export, battery distribution network, battery manufacturing, battery market, battery types, battery innovation, battery product, b2b, international trade & development, mechanical or industrial engineering",'+84 1900 886833,,3621,33591,,
RRC power solutions GmbH,79,electrical/electronic manufacturing,http://www.rrc-ps.com,http://www.linkedin.com/company/rrc-power-solutions-gmbh,https://www.facebook.com/rrcpowersolutionsgmbh,,1 Technologiepark,Homburg,Saarland,Germany,66424,"1 Technologiepark, Homburg, Saarland, Germany, 66424","batterien, akkumulatoren, standardbatteriepacks, mobile energieversorgung, batteries, powerpacks, mobile power, ladegeraete, charger, battery charger, batterieladegeraete, battery life management, iso9001, battery safety feature, fda qsreg820, iso13485, battery life cycle, standard battery pack, medical battery, appliances, electrical, & electronics manufacturing, defense, drones, drop test, off-the-shelf availability, bms with safety features, standard battery packs, immediate product availability, global support, design-in support, dual sourcing strategy, battery chargers, power management, custom batteries, extensive accessories, custom housing design, healthcare, power modules, medical applications, safety mechanisms, single cell testing, customized batteries, cylindrical lithium cells, power management solutions, smbus communication interface, robotics, shake test for reliability, worldwide approvals, certification support, design-in tools, battery safety testing, technology, 18650 cells, prismatic lithium cells, application notes, high performance, battery packs, dc/dc adapters, power management modules, rrc-pmm20, services, standard batteries, iot & wearables, power supplies, shake test, certifications, battery management system, power supply accessories, lithium-ion batteries, safety features, battery development, defense applications, powerpaq series, redundant safety features, 21700 cells, medical devices, mobile power supply, drop test for safety, b2b, battery connectors, rapid delivery, extensive accessory range, battery manufacturing, multi-cell configurations, flatpaq series, high discharge current, battery safety, reliability, manufacturing, e-commerce, medical, iot, wearables, certification_support, safety_features, power_management, custom_batteries, standard_batteries, power_modules, drop_test, shake_test, single_cell_testing, hardware, electrical/electronic manufacturing, mechanical or industrial engineering, aviation & aerospace, information technology & services, health care, health, wellness & fitness, hospital & health care, consumer internet, consumers, internet, consumer goods",'+49 684 198090,,3691,33591,1989,
ROMBAT,160,automotive,http://www.rombat.ro,http://www.linkedin.com/company/baterii-rombat,https://www.facebook.com/baterii.rombat,https://twitter.com/BATERII_ROMBAT,2 Drumul Cetatii,Bistrita,Bistrita-Nasaud County,Romania,420129,"2 Drumul Cetatii, Bistrita, Bistrita-Nasaud County, Romania, 420129","start, stop batteries, batteries for cars, commercial vehicle batteries, moto batteries, special batteries traction, semitraction, stationary, railway, motocultor, motor vehicle manufacturing, baterii agm vrla fibră de sticlă, baterii pentru aplicații de agrement, baterii pentru motocultor, baterii pentru aplicații de stocare energie, baterii cu garanție extinsă, energy storage, baterii cu indicator de stare, baterii pentru aplicații speciale, baterii speciale, baterii litiu, baterii militare, baterii all-in-one low/high voltage, baterii pentru agricultură, recuperare energie frânare, baterii pentru feroviar, baterii auto, baterii camion, e-commerce, baterii monobloc 19-rack, baterii pentru aplicații de transport și logistică, d2c, baterii cu durată lungă de viață, services, baterii cu capac expandat, baterii pentru aplicații navale, baterii pentru electrostivuitor, baterii agm, agm, baterii moto, b2c, government, retail, start stop ev, product development, baterii cu separator din fibră de sticlă, baterii pentru sisteme de backup, baterii motociclete, baterii convenționale, certificări de calitate, baterii pentru vehicule comerciale, b2b, baterii efb pentru start-stop, efb, baterii pentru aplicații industriale, sustenabilitate, energy efficiency, baterii feroviar, baterii pentru sisteme de energie verde, baterii pentru vehicule electrice, battery manufacturing, baterii pentru militar, garantie digitală, tehnologie agm vrla, reciclare baterii, automotive, baterii pentru motoare electrice, baterii pentru aplicații militare nato, baterii pentru aplicații speciale și de rezervă, baterii agricole, baterii litiu monobloc, baterii start-stop, customer engagement, manufacturing, baterii pentru aplicații de agrement și autorizare, tehnologie efb, distribution, supply chain, innovation, baterii pentru sisteme de staționare, oil & energy, consumer internet, consumers, internet, information technology & services, environmental services, renewables & environment, mechanical or industrial engineering",'+40 374 170 312,6272000,3694,33591,1980,
OtterBox,470,electrical/electronic manufacturing,http://www.otterbox.com,http://www.linkedin.com/company/otterbox,https://www.facebook.com/otterbox,https://twitter.com/otterbox,209 South Meldrum Street,Fort Collins,Colorado,United States,80521,"209 South Meldrum Street, Fort Collins, Colorado, United States, 80521","protective cases for mobile handheld technology, apple, blackberry, htc, motorola, samsung, nokia, amazon, dell, ereaders, lg, hp, palm, computers & electronics manufacturing, power accessories, protective technology, durable mobile accessories, market leader, wholesale trade, market expansion, social responsibility, impact resistance cases, custom solutions, innovative design, impact testing standards, impact resistance technology, sustainable manufacturing, impact-resistant impact accessories, customer engagement, impact-resistant industrial cases, community programs, volunteer programs, power banks, consumer electronics, impact-resistant cases, b2b, impact-resistant impact technology, employee volunteerism, customer solutions, rugged technology, sustainable innovation, sustainable phone cases, device durability, rugged device protection, sustainable materials, mobile accessories, sustainable design, drop test protection, military-grade protection, drop protection, social initiatives, durability testing, services, product portfolio, screen protection, sustainable product lines, impact durability testing, global workforce, business solutions, impact-resistant impact solutions, protective phone cases, corporate social responsibility, product customization, manufacturing, retail, device protection, impact protection, impact testing, eco-friendly materials, government, social impact, protective cases, sustainability, mobile device accessories, rugged cases, product innovation, jewelry and silverware manufacturing, custom device cases, device safety, impact-resistant impact protection, community support, impact protection technology, impact durability, product development, d2c, impact-resistant impact gear, global presence, screen protectors, durability, impact-resistant impact products, global manufacturing, cactus leather cases, impact-resistant impact cases, community engagement, impact resistance, safety standards, sustainable cactus leather, military drop test, impact-resistant business solutions, innovation, b2c, business protective solutions, impact resistance standards, e-commerce, eco-friendly cases, phone cases, wireless charging, magsafe accessories, durable cases, waterproof cases, thin cases, leather cases, kids screen protection, clear phone cases, iphone protection, ipad protection, samsung cases, apple watch accessories, gaming accessories, power mounts, charging kits, usb cables, automotive chargers, custom phone cases, corporate gifts, seasonal collections, limited edition cases, multi-device charging, rugged design, lightweight cases, premium materials, stylish cases, otterbox collections, innovative technology, customer support, corporate sustainability, volunteer initiatives, student engagement, device longevity, ottercares foundation, personalization options, charging solutions, mobile device safety, premium protection, bulk ordering, retail partnerships, eco-conscious design, accessory customization, outdoor gear, travel accessories, non-profit, distribution, consumer products & retail, electrical/electronic manufacturing, mechanical or industrial engineering, consumers, hardware, environmental services, renewables & environment, consumer internet, internet, information technology & services, nonprofit organization management, active life, electronics, luggage, mobile phones, shopping, sporting goods",'+1 855-688-7269,923600000,3699,33991,1998,
Birikim Pilleri Batarya Teknolojileri A.Ş,78,electrical/electronic manufacturing,http://www.birikimpilleri.com,http://www.linkedin.com/company/birikimpilleri,,,4 Deri Organize Sanayi Boelgesi,Istanbul,Istanbul,Turkey,34953,"4 Deri Organize Sanayi Boelgesi, Istanbul, Istanbul, Turkey, 34953","pil, batarya, akue, sarj cihazi, pil gruplama, ozel batarya uretimi, pil ithalati, pcm, bms, guec kaynagi, batarya gruplama, arge, battery pack, battery management system, r, d, electrical equipment manufacturing, b2b, battery testing and certification, battery safety and fire prevention, industrial batteries, battery fire prevention, energy storage solutions, battery certification, energy sector, retail, battery design and development, defense batteries, battery engineering, battery r&d projects, government, consulting, battery technology innovation, b2c, battery simulation and analysis, sustainable energy solutions, battery industry standards, consumer batteries, battery solutions, battery supply chain, manufacturing, rechargeable batteries, battery manufacturing automation, space industry batteries, battery pack assembly, battery project consultancy, custom battery manufacturing, nimh batteries, battery recycling and disposal, sustainable battery materials, battery manufacturing, advanced battery design, battery project engineering, local battery production, battery quality control, energy & utilities, distribution, defense industry batteries, battery simulation software, e-commerce, high-capacity energy cells, energy storage systems, li-ion batteries, d2c, battery logistics and supply chain, battery simulation and modeling, battery design and r&d, battery project design, local battery r&d, high-capacity batteries, battery sector innovation, battery project simulation, battery testing services, lifepo4 batteries, international battery brands, military-grade batteries, powerbank solutions, battery safety solutions, battery performance analysis, services, space batteries, custom lithium-ion batteries, space industry energy solutions, battery market analysis, battery quality standards, energy sector innovation, battery logistics, energy storage for aerospace, battery certification standards, battery material research, electrical/electronic manufacturing, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",'+90 216 629 9060,,3699,33591,2005,
