Company Name,Lists,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Company Phone,Annual Revenue,Number of Retail Locations,SIC Codes,NAICS Codes,Founded Year,Tier_Engineering,Tier_Scientific,Industry_Category,Why_Fit
Blommer Chocolate Company,Midwest,570,food production,http://www.blommer.com,http://www.linkedin.com/company/blommer-chocolate-company,https://facebook.com/BlommerChocolateCompany/,,600 West Kinzie Street,Chicago,Illinois,United States,60654,"600 West Kinzie Street, Chicago, Illinois, United States, 60654",'+1 800-621-1606,907000000,2,2099,31111,1939,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Georgia Nut Company,Midwest,230,food & beverages,http://www.georgianutcorp.com,http://www.linkedin.com/company/georgia-nut-company,https://facebook.com/georgianutco,https://twitter.com/megaterin,7500 Linder Avenue,Skokie,Illinois,United States,60077,"7500 Linder Avenue, Skokie, Illinois, United States, 60077",'+1 847-324-3600,140000000,1,2099,31111,1945,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
The Squirrel Brand Company,Midwest,51,food & beverages,http://www.squirrelbrand.com,http://www.linkedin.com/company/the-squirrel-brand-company,https://www.facebook.com/SquirrelBrandCo/,https://twitter.com/SquirrelBrandCo,113 Industrial Blvd,McKinney,Texas,United States,75069,"113 Industrial Blvd, McKinney, Texas, United States, 75069",'+1 214-585-0100,36200000,,2099,31111,1888,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Barcel USA,,620,food & beverages,http://www.barcel-usa.com,http://www.linkedin.com/company/barcel-usa,https://facebook.com/TakisUSA,https://twitter.com/TakisUSA/,301 Northpoint Drive,Coppell,Texas,United States,75019,"301 Northpoint Drive, Coppell, Texas, United States, 75019",'+1 800-354-3372,30000000,1,2099,31193,1978,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Sensient Food Color,,360,food & beverages,http://www.sensientfoodcolors.com,http://www.linkedin.com/company/sensient-food-colors,https://facebook.com/SensientFoodColors/,https://twitter.com/SensientColorNA,2515 North Jefferson Avenue,St. Louis,Missouri,United States,63106,"2515 North Jefferson Avenue, St. Louis, Missouri, United States, 63106",'+1 314-889-7600,647900000,,2869,32519,2017,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
The Scoop,,110,restaurants,http://www.scooplenox.com,http://www.linkedin.com/company/the-scoop,,,1001 W 25th Ave,Spokane,Washington,United States,99203-1213,"1001 W 25th Ave, Spokane, Washington, United States, 99203-1213",'+1 413-637-9192,,2,,71312,,Tier-3,Tier-3,Other,Limited relevance to tooling or compaction → low priority
"Cascade Coffee, LLC",,120,food & beverages,http://www.cascadecoffee.com,http://www.linkedin.com/company/cascade-coffee-inc,https://facebook.com/cascadecoffeeseattle/,https://twitter.com/cascadecoffee,1525 75th St SW,Everett,Washington,United States,98203,"1525 75th St SW, Everett, Washington, United States, 98203",'+1 425-347-3995,150000000,,2099,31192,1995,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Dose,,140,food & beverages,http://www.dosedaily.co,http://www.linkedin.com/company/dosedaily,,,,Miami,Florida,United States,,"Miami, Florida, United States",'+1 888-304-9784,,,2099,31141,2020,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Cocoa Processing Company Ltd,,240,food & beverages,http://www.goldentreeghana.com,http://www.linkedin.com/company/cocoa-processing-company-ltd,,,650 Ramsey Ave,Hillside,New Jersey,United States,07205-1023,"650 Ramsey Ave, Hillside, New Jersey, United States, 07205-1023",'+233 30 321 2153,31100000,,2099,31131,,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Sweet Candy Company,,120,food production,http://www.sweetcandy.com,http://www.linkedin.com/company/sweet-candy-company,https://www.facebook.com/SweetCandyCompany/,https://twitter.com/sweetcandyco,3780 W Directors Row,Salt Lake City,Utah,United States,84104-5502,"3780 W Directors Row, Salt Lake City, Utah, United States, 84104-5502",'+1 801-886-1444,40000000,1,2099,31134,1892,Tier-1,Tier-2,Confectionery,Solid confectionery/food production → strong Engineering fit
Skittles,Midwest,110,food & beverages,http://www.skittles.com,http://www.linkedin.com/company/skittles,https://facebook.com/skittles,https://twitter.com/skittles,W Blackhawk St,Chicago,Illinois,United States,60642,"W Blackhawk St, Chicago, Illinois, United States, 60642",,183000000,,2099,31199,,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Graeter's Ice Cream,,610,food & beverages,http://www.graeters.com,http://www.linkedin.com/company/graeter's-ice-cream,https://www.facebook.com/Graeters/,https://www.twitter.com/graeters/,2145 Reading Rd,Cincinnati,Ohio,United States,45202,"2145 Reading Rd, Cincinnati, Ohio, United States, 45202",'+1 800-721-3323,60000000,43,2099,31151,1870,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Kona Ice,,1300,food & beverages,http://www.kona-ice.com,http://www.linkedin.com/company/kona-ice,https://www.facebook.com/konaiceexperience/,https://twitter.com/KONAICE,5945 Centennial Circle,Florence,Kentucky,United States,41042,"5945 Centennial Circle, Florence, Kentucky, United States, 41042",'+1 661-296-5662,100000000,29,5812,72233,2007,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Sugar Factory LLC.,,1200,restaurants,http://www.sugarfactory.com,http://www.linkedin.com/company/sugarfactory-llc.,https://facebook.com/sugarfactorybrand,https://twitter.com/sugarfactory,,Las Vegas,Nevada,United States,89109,"Las Vegas, Nevada, United States, 89109",'+1 212-414-8700,13635000,5,5812,72251,2008,Tier-3,Tier-3,Other,Limited relevance to tooling or compaction → low priority
Vistar,,3000,food & beverages,http://www.vistar.com,http://www.linkedin.com/company/vistar-a-pfg-company,https://facebook.com/vistarco,,188 Inverness Dr W,Englewood,Colorado,United States,80112-5204,"188 Inverness Dr W, Englewood, Colorado, United States, 80112-5204",'+1 800-880-9900,4789800000,1,5099,42482,1963,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Lipari Foods,,2500,food & beverages,http://www.liparifoods.com,http://www.linkedin.com/company/lipari-foods,https://www.facebook.com/liparifoods,https://twitter.com/liparifoods,26661 Bunert Road,Warren,Michigan,United States,48089,"26661 Bunert Road, Warren, Michigan, United States, 48089",'+1 586-447-3500,1000000000,,5141,42441,1963,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Gertrude Hawk Chocolates,,240,food production,http://www.gertrudehawkchocolates.com,http://www.linkedin.com/company/gertrude-hawk-chocolates,https://www.facebook.com/gertrudehawkchocolates,https://twitter.com/GertrudeHawk,901 Keystone Industrial Park,Scranton,Pennsylvania,United States,18512,"901 Keystone Industrial Park, Scranton, Pennsylvania, United States, 18512",'+1 800-822-2032,128300000,6,2099,3113,1936,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
"Monterey Mushrooms, LLC",,3500,food & beverages,http://www.montereymushrooms.com,http://www.linkedin.com/company/monterey-mushrooms,https://www.facebook.com/montereymushrooms,,19748 Highway 72 N,Loudon,Tennessee,United States,37774-5835,"19748 Highway 72 N, Loudon, Tennessee, United States, 37774-5835",'+1 800-333-6874,2100000,2,100,,1971,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Synergy Flavors,,460,food & beverages,http://www.synergytaste.com,http://www.linkedin.com/company/synergy-flavors-inc,https://facebook.com/synergyflavorsUS/,https://twitter.com/synergyflavours,1500 Synergy Drive,Wauconda,Illinois,United States,60084,"1500 Synergy Drive, Wauconda, Illinois, United States, 60084",'+1 847-487-1011,535000000,,2030,,1886,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
"Bake'n Joy Foods, Inc.",,170,food & beverages,http://www.bakenjoy.com,http://www.linkedin.com/company/bakenjoyfoods,https://facebook.com/BakeNJoyFoodsInc,https://twitter.com/bakenjoyfoods,351 Willow St,North Andover,Massachusetts,United States,1845,"351 Willow St, North Andover, Massachusetts, United States, 01845",'+1 800-666-4937,50200000,,2041,31181,1941,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Justin's,,250,food & beverages,http://www.justins.com,http://www.linkedin.com/company/justin's,https://facebook.com/JustinsNutButter,https://twitter.com/Justins,736 Pearl Street,Boulder,Colorado,United States,80302,"736 Pearl Street, Boulder, Colorado, United States, 80302",'+1 844-448-0302,50000000,,2099,31191,2004,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
AUI Fine Foods,,160,food & beverages,http://www.auifinefoods.com,http://www.linkedin.com/company/auifinefoods,https://www.facebook.com/AUIFineFoods,https://twitter.com/AUIFineFoods,9211 Gaither Road,Gaithersburg,Maryland,United States,20877,"9211 Gaither Road, Gaithersburg, Maryland, United States, 20877",'+1 800-231-8154,4610000,,2099,42441,1968,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Juice Generation,,210,food & beverages,http://www.juicegeneration.com,http://www.linkedin.com/company/juice-generation,https://www.facebook.com/juicegeneration,https://twitter.com/juicegeneration,122 E 42nd St,New York,New York,United States,10168,"122 E 42nd St, New York, New York, United States, 10168",'+1 212-531-1110,75000000,12,2099,44529,1999,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Mansoura.com,,140,food production,http://www.mansoura.com,http://www.linkedin.com/company/mansoura.com,,,515 Kings Hwy,New York,New York,United States,11223,"515 Kings Hwy, New York, New York, United States, 11223",'+1 718-645-7977,,1,2099,3113,,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
South Georgia Pecan Company,,170,food production,http://www.georgiapecan.com,http://www.linkedin.com/company/south-georgia-pecan-company,https://facebook.com/pages/South-Georgia-Pecan-Company/165171869353,,309 S Lee St,Valdosta,Georgia,United States,31601-5723,"309 S Lee St, Valdosta, Georgia, United States, 31601-5723",'+1 229-244-0686,23032000,2,2099,31111,1913,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Voodoo Doughnut,,250,food production,http://www.voodoodoughnut.com,http://www.linkedin.com/company/voodoo-doughnut,https://facebook.com/Voodoo-Doughnut-119262244761342/,https://twitter.com/voodoodoughnut,22 SW 3rd Ave,Portland,Oregon,United States,97204,"22 SW 3rd Ave, Portland, Oregon, United States, 97204",'+1 503-241-4704,51200000,5,2052,31134,2003,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Swiss Colony Retail Brands,Midwest,310,food & beverages,http://www.scretailbrands.com,http://www.linkedin.com/company/swiss-colony-retail-brands,,,1112 7th Avenue,Monroe,Wisconsin,United States,53566,"1112 7th Avenue, Monroe, Wisconsin, United States, 53566",'+1 888-411-4051,,,2099,31181,1926,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
"Kilwins Chocolates Franchise, Inc.",Midwest,660,food production,http://www.kilwins.com,http://www.linkedin.com/company/kilwins-chocolates-franchise-inc.,https://facebook.com/KilwinsChocolatesFudgeandIceCream/,https://twitter.com/kilwinsjax?lang=en,1050 Bay View Road,Petoskey,Michigan,United States,49770,"1050 Bay View Road, Petoskey, Michigan, United States, 49770",'+1 888-454-5946,50000000,69,2300,,1947,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
NASSAU CANDY/CHOCOLATE INN,,670,food & beverages,http://www.nassaucandy.com,http://www.linkedin.com/company/nassau-candy-distributors-inc.,https://www.facebook.com/NassauCandy,https://twitter.com/nassaucandy,530 W John St,Hicksville,New York,United States,11801,"530 W John St, Hicksville, New York, United States, 11801",'+1 516-433-7100,154500000,,2099,3113,1985,Tier-1,Tier-2,Confectionery,Solid confectionery/food production → strong Engineering fit
"SENSIENT COLORS, LLC",,4100,food production,http://www.sensient.com,http://www.linkedin.com/company/sensient,https://facebook.com/people/Sensient/100072488614833/,https://twitter.com/sensient_tech,777 E Wisconsin Ave,Milwaukee,Wisconsin,United States,53202-5300,"777 E Wisconsin Ave, Milwaukee, Wisconsin, United States, 53202-5300",'+1 414-271-6755,1564883000,,2869,32551,1882,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Godiva Chocolatier,,1800,food & beverages,,http://www.linkedin.com/company/godiva-chocolatier,https://www.facebook.com/pladisglobal,https://twitter.com/pladis_global,10 Bank Street,White Plains,New York,United States,10606,"10 Bank Street, White Plains, New York, United States, 10606",'+1 408-247-4115,710200000,125,2099,31199,1926,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Flavor Producers,,480,food & beverages,http://www.flavorproducers.com,http://www.linkedin.com/company/flavor-producers,https://facebook.com/flavorprods/,,28350 Witherspoon Pkwy,Santa Clarita,California,United States,91355-4177,"28350 Witherspoon Pkwy, Santa Clarita, California, United States, 91355-4177",'+1 661-257-3400,75000000,,2899,31193,1981,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Nitta Gelatin NA Inc.,,120,food & beverages,http://www.nitta-gelatin.com,http://www.linkedin.com/company/nitta-gelatin-na-inc-,https://facebook.com/nitta-gelatin-north-america-inc-106633914840799,,598 Airport Boulevard,Morrisville,North Carolina,United States,27560,"598 Airport Boulevard, Morrisville, North Carolina, United States, 27560",'+1 919-238-3300,260000000,,2041,31111,1979,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
David's Cookies,,170,food production,,http://www.linkedin.com/company/david's-cookies,https://facebook.com/DavidsCookiesFans,https://twitter.com/DavidsCookies,11 Cliffside Drive,Cedar Grove,New Jersey,United States,7009,"11 Cliffside Drive, Cedar Grove, New Jersey, United States, 07009",'+1 973-227-2800,90000000,1,2099,31111,1979,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Crave Cookies,,110,food & beverages,http://www.cravecookies.com,http://www.linkedin.com/company/crave-cookies,https://www.facebook.com/thecravecookies,,7386 S Union Park Ave,Midvale,Utah,United States,84047-1841,"7386 S Union Park Ave, Midvale, Utah, United States, 84047-1841",'+1 385-295-4120,,,2099,31134,,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Fannie May Confections Brands Inc.,,260,consumer goods,http://www.fanniemay.com,http://www.linkedin.com/company/fannie-may-confections-brands-inc.,https://facebook.com/FannieMayChocolates?fref=ts,https://twitter.com/fmchocolate,5353 Lauby Road,North Canton,Ohio,United States,44720,"5353 Lauby Road, North Canton, Ohio, United States, 44720",'+1 708-450-5700,115000000,44,2011,,1920,Tier-3,Tier-3,Other,Limited relevance to tooling or compaction → low priority
Havanna,,160,food & beverages,http://www.havannausa.com,http://www.linkedin.com/company/havannaarg,https://www.facebook.com/HavannaUSA/,https://twitter.com/havannausa,,Miami,Florida,United States,,"Miami, Florida, United States",,90000000,,2099,31111,,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Concord Foods LLC,,160,food & beverages,http://www.concordfoods.com,http://www.linkedin.com/company/concord-foods,https://www.facebook.com/ConcordFoodsRecipes/,https://twitter.com/concordfoods,10 Minuteman Way,Brockton,Massachusetts,United States,2301,"10 Minuteman Way, Brockton, Massachusetts, United States, 02301",'+1 508-580-1700,100000000,,2099,31191,1968,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Tootsie Roll Industries,Midwest,2300,food & beverages,http://www.tootsie.com,http://www.linkedin.com/company/tootsie-roll-industries,https://facebook.com/tootsieroll,https://twitter.com/TootsieRoll,7401 South Cicero Avenue,Chicago,Illinois,United States,60629,"7401 South Cicero Avenue, Chicago, Illinois, United States, 60629",'+1 773-838-3400,718497000,,2096,31134,1896,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
"Albanese Confectionery Group, Inc",Midwest,330,food production,http://www.albanesecandy.com,http://www.linkedin.com/company/albanese-talent-acquisition,https://www.facebook.com/AlbaneseConfectionery,https://twitter.com/albanesecandy,5441 East Lincoln Highway,Merrillville,Indiana,United States,46410,"5441 East Lincoln Highway, Merrillville, Indiana, United States, 46410",'+1 855-272-3227,296000000,1,2099,3113,1983,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Lancer Worldwide,,660,food & beverages,http://www.lancerworldwide.com,http://www.linkedin.com/company/lancer-worldwide,,https://twitter.com/LancerCorp,6655 Lancer Boulevard,San Antonio,Texas,United States,78219,"6655 Lancer Boulevard, San Antonio, Texas, United States, 78219",'+1 800-729-1500,444000000,,3556,33324,1967,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Callisons,,110,food & beverages,http://www.callisons.com,http://www.linkedin.com/company/callisons,https://facebook.com/callisonsflavor,https://twitter.com/callisonsflavor,2400 Callison Rd NE,Lacey,Washington,United States,98516,"2400 Callison Rd NE, Lacey, Washington, United States, 98516",'+1 360-412-3340,,,2899,31193,1903,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Mother Murphy's Flavors,,150,food & beverages,http://www.mothermurphys.com,http://www.linkedin.com/company/mother-murphys-labs,,,2826 South Elm-Eugene Street,Greensboro,North Carolina,United States,27406,"2826 South Elm-Eugene Street, Greensboro, North Carolina, United States, 27406",'+1 336-273-1737,35000000,,2099,31193,1946,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Farrell's Ice Cream Parlour Restaurants,,110,food & beverages,http://www.farrellsusa.com,http://www.linkedin.com/company/farrell's-ice-cream-parlour,https://facebook.com/farrellsusa,https://twitter.com/farrellsusa,9 Orchard,Lake Forest,California,United States,92630,"9 Orchard, Lake Forest, California, United States, 92630",'+1 714-484-2674,10000000,1,7993,71312,1963,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Russell Stover Chocolates,Midwest,2300,food production,http://www.russellstover.com,http://www.linkedin.com/company/russell-stover-chocolates,https://www.facebook.com/RussellStoverUS/,https://twitter.com/hirussellstover,4900 Oak Street,Kansas City,Missouri,United States,64112,"4900 Oak Street, Kansas City, Missouri, United States, 64112",'+1 800-777-4004,500000000,31,2099,3113,1923,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Primient,,830,food production,http://www.primient.com,http://www.linkedin.com/company/primient,https://www.facebook.com/Primient.Global/,,,Schaumburg,Illinois,United States,60173,"Schaumburg, Illinois, United States, 60173",'+1 217-423-4411,350000000,,2834,31122,2022,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
F&H,,190,food & beverages,http://www.fandh.com,http://www.linkedin.com/company/f-&-h-food-equipment-co,https://www.facebook.com/FandH.Springfield/,,2960 E Jean St,Springfield,Missouri,United States,65803-5055,"2960 E Jean St, Springfield, Missouri, United States, 65803-5055",'+1 417-881-6114,15926000,,100,33324,1959,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Bon Bon Bon,Midwest,110,food & beverages,http://www.bonbonbon.com,http://www.linkedin.com/company/bonbonbonchocolate,https://facebook.com/bonbonbonchocolate,https://twitter.com/bonbonbonchoc,11360 Joseph Campau St,Hamtramck,Michigan,United States,48212,"11360 Joseph Campau St, Hamtramck, Michigan, United States, 48212",'+1 313-316-1430,4200000,2,2099,31135,2014,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Slater's 50/50,,570,restaurants,http://www.slaters5050.com,http://www.linkedin.com/company/slater's-50-50,,http://twitter.com/slaters5050,6362 E Santa Ana Canyon Rd,Anaheim,California,United States,92807-2365,"6362 E Santa Ana Canyon Rd, Anaheim, California, United States, 92807-2365",'+1 714-685-1103,32000000,9,5812,72251,2009,Tier-3,Tier-3,Other,Limited relevance to tooling or compaction → low priority
Plum Market,,640,food & beverages,http://www.plummarket.com,http://www.linkedin.com/company/plummarket,https://facebook.com/PlumMarket,https://twitter.com/plummarket,30777 Northwestern Hwy,Farmington Hills,Michigan,United States,48334,"30777 Northwestern Hwy, Farmington Hills, Michigan, United States, 48334",'+1 734-545-7250,11000000,3,5411,44511,2007,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
iSpice Foods,,140,food & beverages,http://www.ispicefoods.com,http://www.linkedin.com/company/ispice-foods,https://www.facebook.com/iSpiceYou/,https://twitter.com/iSpiceyou,6450 Highway 43,Jackson,Alabama,United States,36545,"6450 Highway 43, Jackson, Alabama, United States, 36545",'+1 866-477-4238,,,2099,311,2016,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Zingerman's,,290,food & beverages,http://www.zingermanscommunity.com,http://www.linkedin.com/company/zingerman's,https://www.facebook.com/Zingermans/,https://twitter.com/zingermans,422 Detroit Street,Ann Arbor,Michigan,United States,48104,"422 Detroit Street, Ann Arbor, Michigan, United States, 48104",'+1 888-636-8162,70000000,,5411,44511,1982,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Torn & Glasser,,160,food production,http://www.tornandglasser.com,http://www.linkedin.com/company/torn-&-glasser,,,1622 E Olympic Blvd,Los Angeles,California,United States,90021-1922,"1622 E Olympic Blvd, Los Angeles, California, United States, 90021-1922",'+1 213-627-6496,310000,1,2099,42449,1928,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Built Brands,,130,food & beverages,http://www.built.com,http://www.linkedin.com/company/built-brands,https://www.facebook.com/mybuiltbar,https://twitter.com/bc3parker,600 E 1700 S,American Fork,Utah,United States,84003-3597,"600 E 1700 S, American Fork, Utah, United States, 84003-3597",'+1 800-932-9304,15000000,,2099,31191,2018,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
The Fudgery,,120,food & beverages,http://www.fudgeryfudge.com,http://www.linkedin.com/company/the-fudgery,https://facebook.com/fudgeryfudge,https://twitter.com/thefudgery,393 Green St NW,Gainesville,Georgia,United States,30501,"393 Green St NW, Gainesville, Georgia, United States, 30501",'+1 865-774-0960,6438000,6,"5331, 5990",,1980,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Tasty Baking Company,,240,food production,http://www.tastykake.com,http://www.linkedin.com/company/tasty-baking-company,https://www.facebook.com/Tastykake,https://twitter.com/Tastykake,3 Crescent Drive,Philadelphia,Pennsylvania,United States,19112,"3 Crescent Drive, Philadelphia, Pennsylvania, United States, 19112",'+1 866-245-8921,425000000,3,2041,31181,1914,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Whole Earth Brands,,590,consumer goods,http://www.wholeearthbrands.com,http://www.linkedin.com/company/whole-earth-brands,,,125 S Wacker Dr,Chicago,Illinois,United States,60606-4301,"125 S Wacker Dr, Chicago, Illinois, United States, 60606-4301",'+1 312-840-3005,550913000,,2099,31199,2016,Tier-3,Tier-3,Other,Limited relevance to tooling or compaction → low priority
