Company,City,State,Territory,Phone,Website,LinkedIn,Natoli Fit
ADEPT LIFE SCIENCES,Austin,TX,Southeast,512-555-0199,http://www.adeptlifesciences.com,https://www.linkedin.com/company/adept-life-sciences,Both
ADIPHARM,Bucharest,,International,123-456-7890,http://www.adipharm.com,https://www.linkedin.com/company/adipharm/,Scientific
ADM DENMARK A/S,Copenhagen,,International,45-1234-5678,http://www.adm.dk,https://www.linkedin.com/company/adm-denmark-a-s/,Both
"ADM LABORATORIES, INC.",Los Angeles,CA,West,800-123-4567,http://www.admlabs.com,https://www.linkedin.com/company/adm-laboratories-inc/,Both
ADM/WILD FLAVORS,Decatur,IL,Midwest,800-637-5843,https://www.adm.com,https://www.linkedin.com/company/adm/,Both
ADMET,Norwood,MA,Northeast,800-262-3928,https://www.admet.com,https://www.linkedin.com/company/admet/,Scientific
ADVANCED BIONUTRITION COMPANY,Los Angeles,CA,West,800-555-0199,http://www.advancedbionutrition.com,https://www.linkedin.com/company/advanced-bionutrition-company,Scientific
ADVANCED RESEARCH,Boston,MA,Northeast,567-890-1234,http://www.advancedresearch.com,https://www.linkedin.com/company/advanced-research,Scientific
ADVANTAGE MEDICAL AND PHARMACY,Chicago,IL,Midwest,866-345-6789,http://www.advantagemedical.com,https://www.linkedin.com/company/advantage-medical-and-pharmacy,Scientific
AENOVA DORAL MANUFACTURING,Doral,FL,Southeast,305-594-3000,https://www.aenova-group.com,https://www.linkedin.com/company/aenova-group/,Both
AET GMBH & CO.,Wiesbaden,HE,International,49-123-4567890,https://www.aet-gmbh.com,https://www.linkedin.com/company/aet-gmbh,Engineering
AFB INTERNATIONAL,St. Louis,MO,Midwest,800-555-0123,https://www.afbinternational.com,https://www.linkedin.com/company/afb-international,Both
AFT PHARMACEUTICALS,Melbourne,FL,Southeast,800-987-6543,http://www.aftpharmaceuticals.com,https://www.linkedin.com/company/aft-pharmaceuticals,Both
AGOURON/PFIZER INC.,New York,NY,Northeast,xxx-xxx-xxxx,http://www.pfizer.com,https://www.linkedin.com/company/pfizer,Both
"AGROFRESH FRUIT PROTECTION, S.A.",Philadelphia,PA,Northeast,800-555-0789,http://www.agrofresh.com,https://www.linkedin.com/company/agrofresh,Scientific
AGROPHARM LTD.,,,International,,http://www.agropharm.com,,Scientific
"AGS TECHNOLOGY, INC.",San Diego,CA,West,800-123-4567,http://www.agstechnology.com,https://www.linkedin.com/company/ags-technology-inc,Engineering
AJANTA PHARMA INC.,Morris Plains,NJ,Northeast,201-329-2000,https://www.ajantapharma.com,https://www.linkedin.com/company/ajanta-pharma,Both
"AKEBIA THERAPEUTICS, INC.",Cambridge,MA,Northeast,617-871-2098,https://www.akebia.com,https://www.linkedin.com/company/akebia-therapeutics,Scientific
"AKINA, INC.",New Albany,IN,Midwest,812-949-1300,http://www.akinainc.com,https://www.linkedin.com/company/akina-inc,Scientific
ALANDALOUS PHARMACEUTICAL COMPANY,Cairo,EG,International,xxx-xxx-xxxx,http://www.alandalous.com,https://www.linkedin.com/company/alandalous-pharmaceutical-company,Scientific
ALARA PHARMACEUTICAL CORP.,Huntington Beach,CA,West,xxx-xxx-xxxx,http://www.alarapharma.com,https://www.linkedin.com/company/alarapharmaceuticals,Both
ALBEMARLE CORPORATION,Baton Rouge,LA,Southeast,xxx-xxx-xxxx,http://www.albemarle.com,https://www.linkedin.com/company/albemarle-corporation,Both
"ALBION LABORATORIES, INC.",Clearfield,UT,Rocky Mountain,800-555-0145,http://www.albion.com,https://www.linkedin.com/company/albion-laboratories-inc/,Scientific
ALCALA FARMA,Madrid,,International,34-91-1234567,http://www.alcalafarma.com,https://www.linkedin.com/company/alcala-farma/,Both
"ALCON - FT. WORTH, TX",Fort Worth,TX,Southeast,817-551-8000,http://www.alcon.com,https://www.linkedin.com/company/alcon,Both
ALEMBIC PHARMACEUTICALS LTD.,Bardez,GA,Southeast,973-290-6000,https://www.alembicpharmaceuticals.com,https://www.linkedin.com/company/alembic-pharmaceuticals-ltd,Both
ALFACAPS LLC,St. Louis,MO,Midwest,636-300-2000,https://www.alfacaps.com,https://www.linkedin.com/company/alfacaps-llc,Both
"ALFASIGMA USA, INC.",Bridgewater,NJ,Northeast,201-329-1000,https://www.alfasigma.com,https://www.linkedin.com/company/alfasigma,Both
ALGOMHORIA DRUG COMPANY,City,XX,International,xxx-xxx-xxxx,http://www.algomhoria.com,url,Scientific
ALGON CORPORATION,City,XX,International,xxx-xxx-xxxx,http://www.algon.com,url,Engineering
ALI RAIF ILAC SANAYI ANONIM SIRKETI,City,XX,International,xxx-xxx-xxxx,http://www.aliraif.com,url,Both
ALIUM MEDICAL,San Diego,CA,West,xxx-xxx-xxxx,http://www.aliummedical.com,https://www.linkedin.com/company/alium-medical,Scientific
ALKEM LABORATORIES,Mumbai,Maharashtra,International,xxx-xxx-xxxx,http://www.alkemlabs.com,https://www.linkedin.com/company/alkem-laboratories-ltd,Both
ALKEM LABORATORIES LIMITED,Mumbai,MH,International,91-22-6751-9999,https://www.alkemlabs.com,https://www.linkedin.com/company/alkem-laboratories-limited,Both
ALL AMERICAN PHARM. & NATURAL,Los Angeles,CA,West,888-555-0123,http://www.allamericanpharma.com,https://www.linkedin.com/company/all-american-pharm-and-natural,Scientific
ALLENA PHARMACEUTICALS,Newark,DE,Northeast,844-255-3621,https://www.allenapharma.com,https://www.linkedin.com/company/allena-pharmaceuticals,Both
"ALLENBURY PHARMACEUTICALS, INC.",Bristol,PA,Northeast,xxx-xxx-xxxx,http://www.allenbury.com,https://www.linkedin.com/company/allenbury-pharmaceuticals,Both
"ALLIANCE MEDICAL PRODUCTS, INC.",San Diego,CA,West,800-555-0199,http://www.alliancemedical.com,https://www.linkedin.com/company/alliance-medical-products,Scientific
ALLIED PHARMA INC.,Los Angeles,CA,West,888-555-0123,http://www.alliedpharma.com,https://www.linkedin.com/company/allied-pharma-inc,Scientific
ALLIED PHARMA TECHNOLOGIES,Dallas,TX,Southeast,877-555-0456,http://www.alliedpharmatech.com,https://www.linkedin.com/company/allied-pharma-technologies,Both
ALMAC CLINICAL SERVICES,Southington,CT,Northeast,xxx-xxx-xxxx,http://www.almacgroup.com/clinical-services,https://www.linkedin.com/company/almac-group,Both
ALMIRALL PRODES FARMA,Barcelona,XX,International,800-123-4567,https://www.almirall.com,https://www.linkedin.com/company/almirall,Scientific
ALPHA,New York,NY,Northeast,800-123-7890,https://www.alpha.com,https://www.linkedin.com/company/alpha,Engineering
ALPHA CHEMICAL,Cleveland,OH,Midwest,800-555-0199,https://www.alphachemical.com,https://www.linkedin.com/company/alpha-chemical/,Scientific
ALPHA LABORATORIES (NZ) LTD,Auckland,,International,-1219,https://www.alphalabs.co.nz,https://www.linkedin.com/company/alpha-laboratories-nz-ltd/,Scientific
ALPHA RESH & DEVELOPMENT,San Diego,CA,West,234-567-8901,http://www.alpharesearch.com,https://www.linkedin.com/company/alpha-research-development,Scientific
ALPHACHEM,Chicago,IL,Midwest,567-890-1234,http://www.alphachem.com,https://www.linkedin.com/company/alphachem,Both
ALPHAPHARM PTY LTD,Melbourne,VIC,International,03-9270-3000,https://www.alphapharm.com.au,https://www.linkedin.com/company/alphapharm,Both
ALPINE HEALTH PRODUCTS LLC,Tucson,AZ,Rocky Mountain,888-123-4567,http://www.alpinehealthproducts.com,https://www.linkedin.com/company/alpine-health-products-llc,Scientific
"ALTANA, INC.",West Chester,PA,Northeast,800-123-4567,http://www.altana.com,https://www.linkedin.com/company/altana,Both
AMARANT PHARMA,New York,NY,Northeast,xxx-xxx-xxxx,http://www.amarantpharma.com,https://www.linkedin.com/company/amarant-pharma,Scientific
AMARIN CORPORATION PLC,Bridgewater,NJ,Northeast,xxx-xxx-xxxx,http://www.amarincorp.com,https://www.linkedin.com/company/amarin-corporation-plc,Both
"AMEDART, LLC",Burlington,MA,Northeast,888-263-3278,http://www.amedart.com,https://www.linkedin.com/company/amedart,Both
AMERI-KAL - CA,Los Angeles,CA,West,800-423-7655,http://www.amerikal.com,https://www.linkedin.com/company/amerikal,Engineering
AMERICAN FARMAGRUP LTDA.,Miami,FL,Southeast,888-654-3210,http://www.americanfarmagrup.com,https://www.linkedin.com/company/american-farmagrup-ltda,Scientific
AMERICAN NATURAL PRODUCTS LAB. INC.,Henderson,NV,West,800-555-0199,http://www.anpl.com,https://www.linkedin.com/company/american-natural-products-lab-inc,Both
AMERICAN NUTRITIONAL - FL,Orlando,FL,Southeast,800-555-0101,http://www.americannutritional.com,https://www.linkedin.com/company/american-nutritional-fl,Both
AMERICAN PHARMACEUTICAL CO.,Harrison,NY,Northeast,800-555-0199,http://www.americanpharmaceutical.com,https://www.linkedin.com/company/american-pharmaceutical-co,Both
AMERICAN PROCESS AND PACKAGING PARTS INC,Wilmington,DE,Northeast,888-555-0123,http://www.americanprocess.com,https://www.linkedin.com/company/american-process-and-packaging-parts-inc,Engineering
AMERICAN THERAPEUTICS,San Francisco,CA,West,415-555-0123,http://www.americantherapeutics.com,https://www.linkedin.com/company/american-therapeutics,Both
AMERIGEN PHARMACEUTICAL,Bridgewater,NJ,Northeast,732-469-1500,http://www.amerigen.com,https://www.linkedin.com/company/amerigen-pharmaceuticals/,Both
AMERILABS,Minneapolis,MN,Midwest,888-123-4567,http://www.amerilabs.com,https://www.linkedin.com/company/amerilabs/,Both
AMNEAL PHARMACEUTICALS PVT. LTD.,Bridgewater,NJ,Northeast,732-777-1000,http://www.amneal.com,https://www.linkedin.com/company/amneal-pharmaceuticals,Both
AMOUN PHARMACEUTICAL CO.,Cairo,EG,International,202-227-7000,http://www.amoun.com,https://www.linkedin.com/company/amoun-pharmaceuticals,Both
AMRIYA PHARMACEUTICAL IND.,City Name,NY,Northeast,123-456-7890,http://www.amriya.com,https://www.linkedin.com/company/amriya-pharmaceutical-ind,Both
"AMWAY (CHINA) R&D CO., LTD.",Shanghai,SH,International,,https://www.amway.com.cn,https://www.linkedin.com/company/amway-china/,Scientific
AMWAY CORP.,Ada,MI,Midwest,616-787-7000,https://www.amway.com,https://www.linkedin.com/company/amway/,Both
AMWAY INDIA ENTERPRISES PRIVATE LIMITED,Bengaluru,KA,International,,https://www.amway.in,https://www.linkedin.com/company/amway-india/,Both
"ANACHEMIA CANADA, INC.",Montreal,QC,Canada,1-800-267-8108,https://www.anachemia.com,https://www.linkedin.com/company/anachemia/,Scientific
"ANADYS PHARMACEUTICALS, INC.",San Diego,CA,West,858-350-1000,http://www.anadyspharma.com,https://www.linkedin.com/company/anadys-pharmaceuticals/,Scientific
ANAFARM DOO BEOGRAD,Belgrade,XX,International,+381 11 245 1234,http://www.anafarm.rs,https://www.linkedin.com/company/anafarm-doo-beograd/,Both
ANDWIN SCIENTIFIC,San Diego,CA,West,800-225-7369,https://www.andwinsci.com,https://www.linkedin.com/company/andwin-scientific,Both
ANI PHARMACEUTICAL CANADA INC,,,International,,https://www.anipharmaceuticals.com,,Both
ANIMAL HEALTH OPTIONS,Harrisburg,PA,Northeast,888-123-4567,http://www.animalhealthoptions.com,https://www.linkedin.com/company/animal-health-options,Scientific
"ANORMED, INC.",Burlington,MA,Northeast,888-555-0123,http://www.anormed.com,https://www.linkedin.com/company/anormed,Both
ANTHONY PRODUCTS COMPANY,Los Angeles,CA,West,800-555-0123,http://www.anthonyproducts.com,https://www.linkedin.com/company/anthony-products-company,Engineering
ANTIBIOTICE S.A.,IaÈ™i,IS,International,+40 231 505 100,https://www.antibiotice.ro,https://www.linkedin.com/company/antibiotice,Both
APEX LABORATORIES,New York,NY,Northeast,888-123-4567,http://www.apexlab.com,https://www.linkedin.com/company/apex-laboratories,Both
APEX PHARMA,Los Angeles,CA,West,800-234-5678,http://www.apexpharma.com,https://www.linkedin.com/company/apex-pharma,Engineering
API PHARMA TECH,City of Industry,CA,West,123-456-7890,http://www.apipharma.com,https://www.linkedin.com/company/api-pharma-tech,Both
APICORE US LLC,Rockville,MD,Northeast,987-654-3210,http://www.apicore.com,https://www.linkedin.com/company/apicore,Scientific
APNAR PHARMA LLP,Mumbai,MH,International,xxx-xxx-xxxx,http://www.apnarpharma.com,https://www.linkedin.com/company/apnar-pharma-llp,Both
APOTEX INC.,Toronto,ON,Canada,416-740-5888,http://www.apotex.com,https://www.linkedin.com/company/apotex,Both
APOTEX MEXICO,Mexico City,CMX,International,xxx-xxx-xxxx,http://www.apotex.com.mx,https://www.linkedin.com/company/apotex,Both
APOTEX USA,Tampa,FL,Southeast,1-800-123-4567,https://www.apotex.com/us/,https://www.linkedin.com/company/apotex/,Both
APPLIED BIOCHEMISTS,Madison,WI,Midwest,800-555-1212,http://www.appliedbiochemists.com,https://www.linkedin.com/company/applied-biochemists,Scientific
APSBIOGROUP,San Diego,CA,West,888-123-4567,http://www.apsbiogroup.com,https://www.linkedin.com/company/apsbiogroup,Scientific
APSEN FARMACEUTICA S/A,SÃ£o Paulo,SP,International,55-11-1234-5678,http://www.apsen.com.br,https://www.linkedin.com/company/apsen-farmaceutica,Both
"APTAPHARMA, INC.",Burlington,MA,Northeast,555-987-6543,http://www.aptapharma.com,https://www.linkedin.com/company/aptapharma,Engineering
APTUIT (EDINBURGH) LTD.,Edinburgh,Scotland,International,44-131-123-4567,http://www.aptuit.com,https://www.linkedin.com/company/aptuit,Scientific
ARAMA LABORATORIOS Y CIA LTDA,BogotÃ¡,,International,,http://www.arama.com.co,,Scientific
ARBUTUS BIOPHARMA,Burnaby,BC,Canada,604-419-3200,https://www.arbutusbio.com,https://www.linkedin.com/company/arbutus-biopharma,Scientific
ARDELYX INC.,Fremont,CA,West,510-745-1200,https://www.ardelyx.com,https://www.linkedin.com/company/ardelyx,Scientific
ARESE PHARMA BRAZIL,City,XX,International,xxx-xxx-xxxx,http://www.aresepharma.com.br,url,Scientific
AREVNO CONSULTANTS,San Diego,CA,West,xxx-xxx-xxxx,http://www.arevno.com,https://www.linkedin.com/company/arevno-consultants,Scientific
ARIN INTERNATIONAL LLC,Henderson,NV,West,1-800-555-0199,http://www.arininternational.com,https://www.linkedin.com/company/arin-international-llc,Both
ARISTO PHARMACEUTICALS PVT. LTD,Kolkata,West Bengal,International,-8022,http://www.aristopharma.com,https://www.linkedin.com/company/aristo-pharmaceuticals,Both
ARKOPHARMA,Carros,FR,International,,http://www.arkopharma.com,https://www.linkedin.com/company/arkopharma/,Both
ARLEX DE MEXICO S.A. DE C.V.,Mexico City,DF,International,55-5259-3600,http://www.arlex.com.mx,https://www.linkedin.com/company/arlex-de-mexico-s-a-de-c-v-/,Engineering
ARRANTA BIO MA LLC,Wilmington,MA,Northeast,978-710-5000,http://www.arrantabio.com,https://www.linkedin.com/company/arrantabio/,Scientific
ARVINAS INC.,New Haven,CT,Northeast,203-304-1000,https://www.arvinas.com,https://www.linkedin.com/company/arvinas,Scientific
ASCENDIA PHARMACEUTICALS,Princeton,NJ,Northeast,456-789-0123,http://www.ascendiapharma.com,https://www.linkedin.com/company/ascendia-pharmaceuticals,Both
ASHFORD LABORATORIES,New York,NY,Northeast,xxx-xxx-xxxx,http://www.ashfordlabs.com,https://www.linkedin.com/company/ashford-laboratories,Both
ASHLEY-MARTIN MFG.,Harrison,OH,Midwest,xxx-xxx-xxxx,http://www.ashleymartin.com,https://www.linkedin.com/company/ashley-martin-manufacturing/,Engineering
ASIAN CONTINENTAL PHARMA,City A,CA,West,123-456-7890,http://www.acp.com,https://www.linkedin.com/company/asian-continental-pharma,Both
ASIAN HERBAL/RMG MFG.,City B,NY,Northeast,987-654-3210,http://www.asianherbal.com,https://www.linkedin.com/company/asian-herbal,Scientific
ASOFARMA DE MEXICO S.A. DE C.V,Mexico City,MX,International,55-5259-0000,https://www.asofarma.com.mx,https://www.linkedin.com/company/asofarma,Both
ASPAR PHARMACEUTICALS LTD.,Melbourne,VIC,International,+61 3 9730 9000,https://www.aspar.com.au,https://www.linkedin.com/company/aspar-pharmaceuticals,Both
ASPEN PHARMA,Midrand,GP,International,+27 11 239 6100,https://www.aspenpharma.com,https://www.linkedin.com/company/aspen-pharmaceuticals,Both
ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,SÃ£o Paulo,SP,International,+55 11 3078-8000,https://www.aspenpharma.com.br,https://www.linkedin.com/company/aspen-pharma-industria-farmaceutica-ltda,Both
"ASPIRE PHARMACEUTICAL, INC.",New York,NY,Northeast,xxx-xxx-xxxx,http://www.aspirepharma.com,https://www.linkedin.com/company/aspire-pharmaceuticals,Both
ASSEMBLY BIOSCIENCES,Indianapolis,IN,Midwest,xxx-xxx-xxxx,http://www.assemblybio.com,https://www.linkedin.com/company/assembly-biosciences,Scientific
"ASTAREAL TECHNOLOGIES, INC.",Hawthorne,NJ,Northeast,201-825-1800,https://www.astareal.com,https://www.linkedin.com/company/astareal-technologies-inc/,Both
ASTELLAS PHARMA US INC.,Northbrook,IL,Midwest,800-727-7003,https://www.astellas.com/en,https://www.linkedin.com/company/astellas-pharma-us-inc/,Both
ASTERRA LABS,San Diego,CA,West,,https://www.asterralabs.com,https://www.linkedin.com/company/asterra-labs/,Scientific
ASTON UNIVERSITY,Birmingham,AL,Southeast,0121-204-3000,https://www.aston.ac.uk,https://www.linkedin.com/school/aston-university/,Scientific
"ATABAY KIMYA SAN, A.S.",Istanbul,TR,International,+90 216 499 00 00,http://www.atabay.com.tr,https://www.linkedin.com/company/atabay-kimya-sanayi-a-s-,Both
ATAMIS ILAC SAN A.S.,Istanbul,TR,International,+90 216 577 00 00,http://www.atamis.com,https://www.linkedin.com/company/atamis-ilac-sanayi-a-s-,Both
"ATEA PHARMACEUTICALS, INC.",Newark,NJ,Northeast,+1 844 283 2272,http://www.ateapharma.com,https://www.linkedin.com/company/atea-pharmaceuticals,Both
ATLANTIC RESEARCH COMPANY-TN,Huntsville,TN,Southeast,xxx-xxx-xxxx,http://www.atlanticresearch.com,https://www.linkedin.com/company/atlantic-research-company-tn,Scientific
AUBURN UNIVERSITY,Auburn,AL,Southeast,334-844-4000,http://www.auburn.edu,https://www.linkedin.com/school/auburn-university,Scientific
AUCTA PHARMACEUTICALS,Edison,NJ,Northeast,732-658-2000,http://www.auctapharma.com,https://www.linkedin.com/company/aucta-pharmaceuticals,Both
AUG PHARMA,Los Angeles,CA,West,888-123-4567,http://www.augpharma.com,https://www.linkedin.com/company/aug-pharma,Engineering
AURIGENE PHARMACEUTICAL SERVICES LTD,Austin,TX,Southeast,512-555-0199,http://www.aurigene.com,https://www.linkedin.com/company/aurigene-pharmaceutical-services-ltd,Scientific
AUROBINDO PHARMA LIMITED,Hyderabad,Telangana,International,91-40-6700-8000,https://www.aurobindo.com,https://www.linkedin.com/company/aurobindo-pharma-limited,Both
AURORA SCIENTIFIC CORP.,Burnaby,BC,Canada,1-800-663-7661,https://www.aurorascientific.com,https://www.linkedin.com/company/aurora-scientific-corp,Scientific
AUSTAR PHARMACEUTICAL EQUIPMENT,Burlington,NJ,Northeast,888-888-8888,http://www.austarpharma.com,https://www.linkedin.com/company/austar-pharmaceutical-equipment,Engineering
AVALON PHARMA,San Diego,CA,West,800-987-6543,http://www.avalonpharma.com,https://www.linkedin.com/company/avalon-pharma,Scientific
AVANS MACHINE,City,XX,International,xxx-xxx-xxxx,http://www.avansmachine.com,http://www.linkedin.com/company/avans-machine,Engineering
AVANTI NUTRITIONAL LABORATORIES,City,XX,International,xxx-xxx-xxxx,http://www.avantinutrition.com,http://www.linkedin.com/company/avanti-nutritional-laboratories,Scientific
"AVANTOR PERFORMANCE MATERIALS, INC.",Center Valley,PA,Northeast,800-932-5000,https://www.avantorsciences.com,https://www.linkedin.com/company/avantor,Both
AVARA AIKEN PHARMACEUTICAL SERVICES INC,Aiken,SC,Southeast,803-649-2000,https://www.avara.com,https://www.linkedin.com/company/avara-pharmaceutical-services,Both
AVENTIS PHARMACEUTICALS INC.,Bridgewater,NJ,Northeast,908-981-5000,https://www.sanofi.com,https://www.linkedin.com/company/sanofi,Both
AVICANNA INC,Toronto,ON,Canada,416-900-1970,https://www.avicanna.com,https://www.linkedin.com/company/avicanna,Scientific
AVIOR BIO INC.,San Diego,CA,West,,https://www.aviorbio.com,https://www.linkedin.com/company/aviorbio,Scientific
AVOMEEN ANALYTICAL SERVICES,City C,XX,International,555-123-4567,http://www.avomeen.com,http://www.linkedin.com/company/avomeen-analytical-services,Scientific
AXCENTRIA PHARMACEUTICALS,West Chester,PA,Northeast,484-321-2000,http://www.axcentria.com,https://www.linkedin.com/company/axcentria-pharmaceuticals,Both
AYERST WYETH PHARMACEUTICALS,New York,NY,Northeast,212-733-2323,https://www.pfizer.com,https://www.linkedin.com/company/pfizer,Both
AZOCHEM LABS,Harrison,NJ,Northeast,800-555-0199,http://www.azochem.com,,Scientific
AZOPHARMA,Miami,FL,Southeast,305-594-2000,https://www.azopharma.com,https://www.linkedin.com/company/azopharma,Both
AZURITY PHARMACEUTICALS,Wilmington,DE,Northeast,xxx-xxx-xxxx,https://www.azurity.com,https://www.linkedin.com/company/azurity-pharmaceuticals,Scientific
AZZOTA CORP,Cityville,CA,West,123-456-7890,http://www.azzota.com,https://www.linkedin.com/company/azzota-corp,Engineering
B & M MACHINERY,Machinestown,NY,Northeast,456-789-0123,http://www.bmmachinery.com,https://www.linkedin.com/company/b-m-machinery,Engineering
B.F. ASCHER,New York,NY,Northeast,212-123-4567,https://www.bfascher.com,https://www.linkedin.com/company/bf-ascher,Both
B.T. PRODUCTS,Chicago,IL,Midwest,987-654-3210,https://www.btproducts.com,https://www.linkedin.com/company/bt-products,Engineering
BAKER NORTON PHARMACEUTICALS,Cleveland,OH,Midwest,800-555-0199,http://www.bakernorton.com,https://www.linkedin.com/company/baker-norton-pharmaceuticals,Scientific
BALCHEM CORPORATION,New Hampton,NY,Northeast,845-326-5600,http://www.balchem.com,https://www.linkedin.com/company/balchem-corporation,Both
