Company Name,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Company Phone,Annual Revenue,SIC Codes,NAICS Codes,Founded Year,Subsidiary of
Wellstar Health System,30000,hospital & health care,http://www.wellstar.org,http://www.linkedin.com/company/wellstar-health-system,https://www.facebook.com/wellstarhealthsystem,,793 Sawyer Road,Marietta,Georgia,United States,30062,"793 Sawyer Road, Marietta, Georgia, United States, 30062",'+1 706-723-8860,4900000000,8011,62111,1993,
USA DeBusk,800,oil & energy,http://www.usadebusk.com,http://www.linkedin.com/company/usa-debusk,https://www.facebook.com/usadebusk,,1005 West 8th Street,Deer Park,Texas,United States,77536,"1005 West 8th Street, Deer Park, Texas, United States, 77536",'+1 844-243-5557,20000000,1389,21311,2012,H.I.G. Capital (hig.com)
Ascent Hospitality Management,6900,food & beverages,http://www.ascenthm.com,http://www.linkedin.com/company/ascenthospitalitymanagement,,,450 Peachtree Dunwoody Cir NE,Sandy Springs,Georgia,United States,30342,"450 Peachtree Dunwoody Cir NE, Sandy Springs, Georgia, United States, 30342",'+1 770-325-1300,,5812,72251,2019,
Endeavor,1700,nonprofit organization management,http://www.endeavor.org,http://www.linkedin.com/company/endeavorglobal,,,28 Liberty St,New York,New York,United States,10005-1400,"28 Liberty St, New York, New York, United States, 10005-1400",'+1 212-352-3200,7111000000,8399,81331,1997,
Honeywell UOP,1100,oil & energy,http://www.uop.com,http://www.linkedin.com/company/uop,,,,Des Plaines,Illinois,United States,60016,"Des Plaines, Illinois, United States, 60016",'+1 847-391-2000,200000000,2869,33313,1914,Honeywell (honeywell.com)
"A. Schulman, Inc.",5300,plastics,,http://www.linkedin.com/company/lyondellbasell-aschulman,https://www.facebook.com/LyondellBasell,,1221 McKinney Street,Houston,Texas,United States,77010,"1221 McKinney Street, Houston, Texas, United States, 77010",,2461124000,2821,32521,1928,
"ExodusPoint Capital Management, LP",660,financial services,http://www.exoduspoint.com,http://www.linkedin.com/company/exoduspoint,,,65 E 55th St,New York,New York,United States,10022-3205,"65 E 55th St, New York, New York, United States, 10022-3205",'+1 646-940-9600,221700000,6726,5231,2017,
Cabot Microelectronics,2200,semiconductors,http://www.cmcmaterials.com,http://www.linkedin.com/company/cabot-microelectronics,https://facebook.com/CMCMaterials/,https://twitter.com/cmc_materials,870 N Commons Dr,Aurora,Illinois,United States,60504,"870 N Commons Dr, Aurora, Illinois, United States, 60504",'+1 630-375-6631,1199831000,3829,33441,2000,Entegris (entegris.com)
ALBEMARLE CATALYSTS COMPANY BV,8300,chemicals,http://www.albemarle.com,http://www.linkedin.com/company/albemarlecorp,https://www.facebook.com/AlbemarleCorp,https://twitter.com/AlbemarleCorp,4250 Congress St,Charlotte,North Carolina,United States,28209-0012,"4250 Congress St, Charlotte, North Carolina, United States, 28209-0012",'+1 980-299-5700,5377526000,"2810, 8734",,1887,
TAKASAGO INTERNATIONAL CORP.,4100,chemicals,http://www.takasago.com,http://www.linkedin.com/company/takasago-international-corp-usa,,,4 Volvo Drive,Rockleigh,New Jersey,United States,7647,"4 Volvo Drive, Rockleigh, New Jersey, United States, 07647",'+1 201-767-9001,1566619000,2844,32561,1920,
Shockwave Medical,1500,medical devices,http://www.shockwavemedical.com,http://www.linkedin.com/company/shockwave-medical,https://facebook.com/ShockwaveMedical/,https://twitter.com/shockwaveivl,5403 Betsy Ross Dr,Santa Clara,California,United States,95054,"5403 Betsy Ross Dr, Santa Clara, California, United States, 95054",'+1 877-775-4846,730230000,3845,33911,2009,Johnson & Johnson (jnj.com)
KPI Ninja by Health Catalyst,1500,hospital & health care,,http://www.linkedin.com/company/kpi-ninja,https://www.facebook.com/HealthCatalyst,https://twitter.com/HealthCatalyst,2900 South 70th Street,Lincoln,Nebraska,United States,68506,"2900 South 70th Street, Lincoln, Nebraska, United States, 68506",'+1 855-309-6800,316093000,7375,54161,2014,
Sigma-Aldrich,3200,research,,http://www.linkedin.com/company/sigma-aldrich,https://facebook.com/Merck.lifescience,https://twitter.com/Merck_lifesci,2909 Laclede Ave,St. Louis,Missouri,United States,63103-2167,"2909 Laclede Ave, St. Louis, Missouri, United States, 63103-2167",'+1 314-771-5765,,8731,32541,1951,Merck Group (merckgroup.com)
Express Employment Professionals - Garden Grove,4200,staffing & recruiting,,http://www.linkedin.com/company/expressgg,,,12873 Harbor Blvd,Garden Grove,California,United States,92840-5801,"12873 Harbor Blvd, Garden Grove, California, United States, 92840-5801",,,,,1977,
Bakelite Synthetics,1500,chemicals,http://www.bakelite.com,http://www.linkedin.com/company/bakelite-synthetics,https://facebook.com/bakelitesynthetics/,,1040 Crown Pointe Pkwy,Atlanta,Georgia,United States,30338-4701,"1040 Crown Pointe Pkwy, Atlanta, Georgia, United States, 30338-4701",,70000000,,32521,1907,
Turn2 Specialty Companies,1100,oil & energy,http://www.turn2sc.com,http://www.linkedin.com/company/turn2-specialty-companies,https://www.facebook.com/Turn2SpecialtyCompanies/,,3558 Kilgore Pkwy,Baytown,Texas,United States,77523,"3558 Kilgore Pkwy, Baytown, Texas, United States, 77523",'+1 346-241-0439,370000000,1389,21311,2018,
"CVR Energy, Inc.",1600,oil & energy,http://www.cvrenergy.com,http://www.linkedin.com/company/cvr-energy-inc-,,,2277 Plaza Drive,Sugar Land,Texas,United States,77479,"2277 Plaza Drive, Sugar Land, Texas, United States, 77479",'+1 281-207-3205,7610000000,2911,32411,1906,
Jacam Catalyst,520,oil & energy,http://www.jacamcatalyst.com,http://www.linkedin.com/company/jacamcatalyst,https://www.facebook.com/JacamChem,https://twitter.com/JacamCatalyst,11999 E US Highway 158,Gardendale,Texas,United States,79758,"11999 E US Highway 158, Gardendale, Texas, United States, 79758",'+1 432-563-0727,,2899,32599,2005,
AMG Critical Materials N.V.,3600,mining & metals,http://www.amg-nv.com,http://www.linkedin.com/company/amg-critical-materials-nv,https://facebook.com/amgcriticalmaterials,https://twitter.com/amg_criticalmat,435 Devon Park Dr,Wayne,Pennsylvania,United States,19087,"435 Devon Park Dr, Wayne, Pennsylvania, United States, 19087",'+1 610-293-2501,1544462000,3399,33149,2006,
LyondellBasell,20000,chemicals,http://www.lyondellbasell.com,http://www.linkedin.com/company/lyondell-basell,https://www.facebook.com/LyondellBasell,https://twitter.com/LyondellBasell,1221 McKinney Street,Houston,Texas,United States,77010,"1221 McKinney Street, Houston, Texas, United States, 77010",'+1 713-309-7200,40302000000,2821,32521,2007,
MilliporeSigma,10000,research,,http://www.linkedin.com/company/milliporesigma,,,400 Summit Drive,Burlington,Massachusetts,United States,1803,"400 Summit Drive, Burlington, Massachusetts, United States, 01803",,,8731,32541,1668,
Las Vegas Sands Corp.,40000,hospitality,http://www.sands.com,http://www.linkedin.com/company/las-vegas-sands-corporation,https://facebook.com/lasvegassands/,https://twitter.com/LasVegasSands/,5420 S Durango Dr,Las Vegas,Nevada,United States,89113,"5420 S Durango Dr, Las Vegas, Nevada, United States, 89113",'+1 702-923-9000,11298000000,7011,72111,2004,
"Cameron, a Schlumberger company",18000,oil & energy,,http://www.linkedin.com/company/cameron,,,1333 West Loop South,Houston,Texas,United States,77027,"1333 West Loop South, Houston, Texas, United States, 77027",'+1 713-375-3535,,8711,21311,,
Applied Materials,36000,semiconductors,http://www.appliedmaterials.com,http://www.linkedin.com/company/applied-materials,https://facebook.com/AppliedMaterialsInc,https://twitter.com/Applied4Tech,3050 Bowers Avenue,Santa Clara,California,United States,95054,"3050 Bowers Avenue, Santa Clara, California, United States, 95054",'+1 408-727-5555,28089000000,"3674, 3577, 3576, 3575, 3600",3332,1967,
Penske Truck Leasing,36000,transportation/trucking/railroad,http://www.pensketruckleasing.com,http://www.linkedin.com/company/penske-truck-leasing,https://facebook.com/penske,https://twitter.com/PenskeNews,2675 Morgantown Road,Reading,Pennsylvania,United States,19607,"2675 Morgantown Road, Reading, Pennsylvania, United States, 19607",'+1 855-345-7268,8400000000,4213,49311,1969,
Gulbrandsen,860,chemicals,http://www.gulbrandsen.com,http://www.linkedin.com/company/gulbrandsen,https://www.facebook.com/Gulbrandsen.inc,,183 Gulbrandsen Rd,Orangeburg,South Carolina,United States,29115-8986,"183 Gulbrandsen Rd, Orangeburg, South Carolina, United States, 29115-8986",'+1 803-531-2413,51000000,2869,32599,1998,Gulbrandsen Technologies (gulbrandsentechnologies.com)
Catalyst Brands LLC,58000,apparel & fashion,http://www.catalystbrands.com,http://www.linkedin.com/company/catalyst-brands-llc,,,6501 Legacy Drive,Plano,Texas,United States,75024,"6501 Legacy Drive, Plano, Texas, United States, 75024",,9000000000,5731,54151,,
W. R. Grace,4000,chemicals,http://www.grace.com,http://www.linkedin.com/company/wr-grace,,https://twitter.com/WRGraceCo,7500 Grace Dr,Columbia,Maryland,United States,21044-4009,"7500 Grace Dr, Columbia, Maryland, United States, 21044-4009",'+1 410-531-4000,1729800000,2899,32599,1854,Standard Industries (standardindustries.com)
JVIC,2500,oil & energy,http://www.jvic.com,http://www.linkedin.com/company/jv-industrial-companies-ltd-,,,3741 Red Bluff Rd,Pasadena,Texas,United States,77503,"3741 Red Bluff Rd, Pasadena, Texas, United States, 77503",'+1 713-568-2661,300000000,1731,23799,1998,Zachry Group (zachrygroup.com)
"SPECIALTY WELDING AND TURNAROUNDS, LLC",550,construction,http://www.swatservice.com,http://www.linkedin.com/company/specialty-welding-and-turnarounds-llc,https://facebook.com/SWATlife2014/,https://twitter.com/anwelding,40492 Cannon Rd,Gonzales,Louisiana,United States,70737,"40492 Cannon Rd, Gonzales, Louisiana, United States, 70737",'+1 225-644-1200,65000000,1389,21311,2014,ORIX Capital Partners (orixcapitalpartners.com)
Clean Harbors,23000,environmental services,http://www.cleanharbors.com,http://www.linkedin.com/company/clean-harbors,https://www.facebook.com/CleanHarborsEnvironmental,https://twitter.com/cleanharbors,42 Longwater Drive,Norwell,Massachusetts,United States,2061,"42 Longwater Drive, Norwell, Massachusetts, United States, 02061",'+1 833-923-4400,5889952000,4953,56221,1980,
"AP Emissions Technologies, LLC",590,automotive,http://www.apemissions.com,http://www.linkedin.com/company/ap-exhaust-technologies,https://www.facebook.com/APEmissions,https://twitter.com/apexhausttech,300 Dixie Trail,Goldsboro,North Carolina,United States,27530,"300 Dixie Trail, Goldsboro, North Carolina, United States, 27530",'+1 919-580-2000,,3621,33611,1927,
QC,820,nanotechnology,http://www.quantachrome.com,http://www.linkedin.com/company/qc,,https://twitter.com/AntonPaar,1900 Corporate Drive,Boynton Beach,Florida,United States,33426,"1900 Corporate Drive, Boynton Beach, Florida, United States, 33426",'+1 561-731-4999,,3824,33451,,
Youngstown State University,1500,higher education,http://www.ysu.edu,http://www.linkedin.com/school/youngstown-state-university,https://www.facebook.com/youngstownstate,https://twitter.com/youngstownstate,1 University Plz,Youngstown,Ohio,United States,44555-0001,"1 University Plz, Youngstown, Ohio, United States, 44555-0001",'+1 330-941-3000,167698000,8222,61131,1908,
TA Instruments,650,electrical/electronic manufacturing,http://www.tainstruments.com,http://www.linkedin.com/company/ta-instruments,https://facebook.com/TA-Instruments-Benelux-Official-820796498000479/,https://twitter.com/TAInstruments,159 Lukens Dr,New Castle,Delaware,United States,19720,"159 Lukens Dr, New Castle, Delaware, United States, 19720",'+1 302-427-4000,345494000,3824,33451,1990,Waters Corporation (waters.com)
Concentrix Catalyst,3000,information technology & services,,http://www.linkedin.com/company/concentrix-catalyst,https://www.facebook.com/Concentrix-153770504699665,https://twitter.com/concentrix,,Beaverton,Oregon,United States,97008,"Beaverton, Oregon, United States, 97008",'+1 800-747-0583,,7389,54151,,
TENNECO INC.,71000,automotive,http://www.tenneco.com,http://www.linkedin.com/company/tenneco,https://facebook.com/TennecoInc,https://twitter.com/TennecoInc,15701 Technology Dr,Northville,Michigan,United States,48168,"15701 Technology Dr, Northville, Michigan, United States, 48168",'+1 847-482-5000,10098939000,3711,33639,1930,
Health Catalyst,1500,information technology & services,http://www.healthcatalyst.com,http://www.linkedin.com/company/healthcatalyst,https://www.facebook.com/HealthCatalyst,https://twitter.com/HealthCatalyst,10897 S River Front Pkwy,South Jordan,Utah,United States,84095-5609,"10897 S River Front Pkwy, South Jordan, Utah, United States, 84095-5609",'+1 855-309-6800,311274000,7375,54161,2008,
SLB,110000,information technology & services,http://www.slb.com,http://www.linkedin.com/company/slbglobal,https://facebook.com/WeAreSLBGlobal,https://twitter.com/cameron_intl,5599 San Felipe Street,Houston,Texas,United States,77056,"5599 San Felipe Street, Houston, Texas, United States, 77056",'+1 713-513-2000,36289000000,8711,21311,1926,
"Ecovyst, Inc.",920,chemicals,,http://www.linkedin.com/company/ecovyst-inc,,,600 Lee Rd,Wayne,Pennsylvania,United States,19087-5624,"600 Lee Rd, Wayne, Pennsylvania, United States, 19087-5624",'+1 484-617-1200,706156000,2869,32513,1831,
BASF Environmental Catalyst and Metal Solutions,880,chemicals,,http://www.linkedin.com/company/basf-environmental-catalyst-metal-solutions,https://www.facebook.com/basf.apac/,https://www.twitter.com/BASF,25 Middlesex Essex Tpke,Woodbridge Township,New Jersey,United States,08830-2721,"25 Middlesex Essex Tpke, Woodbridge Township, New Jersey, United States, 08830-2721",'+1 973-245-7160,,,,,
Des Moines Area Community College,2300,higher education,http://www.dmacc.edu,http://www.linkedin.com/school/des-moines-area-community-college,https://www.facebook.com/DMACCBears,https://twitter.com/dmaccnews,2006 S Ankeny Blvd,Ankeny,Iowa,United States,50023,"2006 S Ankeny Blvd, Ankeny, Iowa, United States, 50023",'+1 515-964-6200,3013000,8221,61121,1966,
Alex Stewart International,630,international trade & development,http://www.alexstewartinternational.com,http://www.linkedin.com/company/alex-stewart-international,https://facebook.com/Alex-Stewart-International-401387309930861/,,Sefton Business Park,Bootle,England,United Kingdom,L30 1RD,"Sefton Business Park, Bootle, England, United Kingdom, L30 1RD",'+44 151 525 2132,56000000,8731,54138,1978,
Johnson Matthey,12000,chemicals,http://www.matthey.com,http://www.linkedin.com/company/johnson-matthey,https://facebook.com/johnsonmattheyplc/,https://twitter.com/Johnson_Matthey,25 Farringdon Street,,England,United Kingdom,EC4A 4AB,"25 Farringdon Street, England, United Kingdom, EC4A 4AB",'+44 20 7269 8400,15112189000,3679,33141,1817,Nano One Materials Corp. TSX: NANO (nanoone.ca)
Malvern Panalytical,1600,electrical/electronic manufacturing,http://www.malvernpanalytical.com,http://www.linkedin.com/company/malvernpanalytical,https://facebook.com/MalvernPanalytical,https://twitter.com/newsfrom_MP,Enigma Business Park,Great Malvern,England,United Kingdom,WR14 1,"Enigma Business Park, Great Malvern, England, United Kingdom, WR14 1",'+44 16 8489 2456,861086000,3824,33451,2017,Spectris plc (spectris.com)
CPI,1400,research,http://www.uk-cpi.com,http://www.linkedin.com/company/uk-cpi,https://www.facebook.com/ukCPI/,https://www.twitter.com/ukcpi,,Redcar,England,United Kingdom,TS10 4RF,"Redcar, England, United Kingdom, TS10 4RF",'+44 16 4245 5340,20000000,8731,54171,2004,
GTA,1800,"leisure, travel & tourism",,http://www.linkedin.com/company/gta,https://www.facebook.com/Hotelbeds,https://twitter.com/Hotelbeds,27 Goswell Road,,England,United Kingdom,EC1M,"27 Goswell Road, England, United Kingdom, EC1M",,2994755000,7389,519,1975,Cinven (cinven.com)
James Cropper Advanced Materials,600,textiles,,http://www.linkedin.com/company/james-cropper-advanced-materials,,,,Kendal,England,United Kingdom,LA9 6,"Kendal, England, United Kingdom, LA9 6",,128601000,,,1986,
AIMS,560,oil & energy,http://www.aimsgt.com,http://www.linkedin.com/company/aimsgroup,https://www.facebook.com/AIMS-Oil-and-Gas-Equipment-Trading-200895637460700/,https://twitter.com/AIMS20399808,Al Salam Street,Abu Dhabi,Abu Dhabi,United Arab Emirates,22200,"Al Salam Street, Abu Dhabi, Abu Dhabi, United Arab Emirates, 22200",'+971 2 643 6114,13963000,3531,33232,2008,
RAI,600,management consulting,http://www.raifirm.com,http://www.linkedin.com/company/raifirm,,,مراسي درايف,دبي,دبي,United Arab Emirates,,"مراسي درايف, دبي, دبي, United Arab Emirates",'+971 2 222 2236,,8741,54161,2020,
"GCME - GC Maintenance and Engineering Co., Ltd.",1800,oil & energy,http://www.gcme.co.th,http://www.linkedin.com/company/gc-maintenance-and-engineering,https://facebook.com/gcmeofficial,,13/2 ถนน เข้าวัดมาบตาพุด,,Rayong,Thailand,21000,"13/2 ถนน เข้าวัดมาบตาพุด, Rayong, Thailand, 21000",'+66 38 977 800,173000000,8711,54133,2004,
CR3,1600,oil & energy,http://www.cr3.group,http://www.linkedin.com/company/cr3-pte-ltd,https://www.facebook.com/CR3PteLtd,,142 ถนน สุขุมวิท,Bangkok,BM,Thailand,10110,"142 ถนน สุขุมวิท, Bangkok, BM, Thailand, 10110",,,1731,33399,1991,ShawKwei & Partners (shawkwei.com)
Metalor Technologies SA,570,mining & metals,http://www.metalor.com,http://www.linkedin.com/company/metalor-technologies-sa,https://facebook.com/metalortechnologies/,https://twitter.com/metalor,8 Route des Perveuils,Marin-Epagnier,Neuchatel,Switzerland,2074,"8 Route des Perveuils, Marin-Epagnier, Neuchatel, Switzerland, 2074",'+1 508-699-8800,418000000,3341,33141,1852,田中貴金属工業（株） (tanaka.co.jp)
AVIENT COLORANTS USA LLC,11000,chemicals,http://www.clariant.com,http://www.linkedin.com/company/clariant,https://www.facebook.com/pages/Clariant/146077545551792,https://twitter.com/clariant,61 Hardstrasse,Pratteln,Basel-Landschaft,Switzerland,4133,"61 Hardstrasse, Pratteln, Basel-Landschaft, Switzerland, 4133",'+41 61 469 51 11,4600661000,2869,32599,1995,
Jacobi Group,1800,environmental services,http://www.jacobi.net,http://www.linkedin.com/company/jacobi-carbons,https://facebook.com/jacobicarbonsgroup,https://twitter.com/jacobi_carbons,Sloejdaregatan,,Kalmar laen,Sweden,393 53,"Sloejdaregatan, Kalmar laen, Sweden, 393 53",'+46 480 41 75 50,871500000,2869,32513,1916,
Hotelbeds,5000,"leisure, travel & tourism",http://www.hotelbeds.com,http://www.linkedin.com/company/hotelbeds,https://www.facebook.com/Hotelbeds,https://twitter.com/Hotelbeds,100 Cami de Son Fangos,Palma,Illes Balears,Spain,7007,"100 Cami de Son Fangos, Palma, Illes Balears, Spain, 07007",,2994755000,7389,519,2001,Cinven (cinven.com)
VIU - Universidad Internacional de Valencia,1900,education management,http://www.universidadviu.com,http://www.linkedin.com/school/universidadviu,https://www.facebook.com/UniversidadVIU/,https://twitter.com/UniversidadVIU,21 Calle Pintor Sorolla,Valencia,Valencian Community,Spain,46002,"21 Calle Pintor Sorolla, Valencia, Valencian Community, Spain, 46002",'+34 960 96 81 26,674000,8244,61131,2008,
Ajou University,820,higher education,http://www.ajou.ac.kr,http://www.linkedin.com/school/ajou,,,,Suwon-si,Gyeonggi-do,South Korea,,"Suwon-si, Gyeonggi-do, South Korea",,2000000,8222,61131,1973,
DL Chemical,700,chemicals,http://www.dlchemical.co.kr,http://www.linkedin.com/company/dlchemical,,,,,Seoul,South Korea,110-102,"Seoul, South Korea, 110-102",'+82 2-3708-3000,,2821,32521,1979,
KIST(Korea Institute of Science and Technology),1800,research,http://www.kist.re.kr,http://www.linkedin.com/company/korea-institute-of-science-and-technology,https://facebook.com/Kist1966,https://twitter.com/KistPublic,,,Seoul,South Korea,136-130,"Seoul, South Korea, 136-130",,4913000,8731,,1966,
LOTTE chemical,4700,chemicals,http://www.lottechem.com,http://www.linkedin.com/company/lotte-chemical,https://facebook.com/pages/Lotte-Chemical/464940640228713,,,,Seoul,South Korea,138-226,"Seoul, South Korea, 138-226",'+82 2-829-4114,13848228000,2821,32521,1976,
South African Airways,8200,airlines/aviation,http://www.flysaa.com,http://www.linkedin.com/company/flysaa,https://www.facebook.com/FlySAA,https://twitter.com/flysaa,Jones Road,Kempton Park,Gauteng,South Africa,1627,"Jones Road, Kempton Park, Gauteng, South Africa, 1627",'+27 11 978 2888,395000000,4512,48111,1934,
Sibanye-Stillwater,58000,mining & metals,,http://www.linkedin.com/company/sibanye-stillwater,,,,Westonaria,Gauteng,South Africa,1780,"Westonaria, Gauteng, South Africa, 1780",'+27 11 278 9600,5958132000,1041,21229,2013,
Ithala Development Finance Corporation,620,banking,http://www.ithala.co.za,http://www.linkedin.com/company/ithala-development-corporation-limited,https://www.facebook.com/MyIDFC,,542 Point Rd,Durban,KwaZulu-Natal,South Africa,4001,"542 Point Rd, Durban, KwaZulu-Natal, South Africa, 4001",'+27 31 907 8911,156400000,6712,52232,1959,
Valterra Platinum,20000,mining & metals,http://www.valterraplatinum.com,http://www.linkedin.com/company/valterra-platinum,https://facebook.com/AngloAmericanZA,https://twitter.com/AngloAmericanZA,55 Marshall St,Johannesburg,Gauteng,South Africa,2001,"55 Marshall St, Johannesburg, Gauteng, South Africa, 2001",'+44 20 7968 8888,5813517000,1099,21223,1917,
