Company,City,State,Phone,Contact,Website,LinkedIn,Natoli Fit,Reason
"AC CHEMICAL, LLC",,,,,,,No Fit,Insufficient public manufacturing signal
AC WORLD PERFORMANCE,,,,,,,No Fit,Insufficient public manufacturing signal
AC&AJ INC. NATURES HARVEST INTL,,,,,,,No Fit,Insufficient public manufacturing signal
ACAPSIA PHARMA PRODUCTION GMBH,,,,,,,No Fit,Insufficient public manufacturing signal
"ACCELERATED GENETIX, LLC",,,,,,,No Fit,Insufficient public manufacturing signal
ACCESS COMPOUNDING PHARMACY,,,,,,,No Fit,Insufficient public manufacturing signal
ACCOLADE PHARMA USA,,,,,,,No Fit,Insufficient public manufacturing signal
ACCORD HEALTHCARE,,,,,,,No Fit,Insufficient public manufacturing signal
ACCRA PAC  INC.,,,,,,,No Fit,Insufficient public manufacturing signal
ACCUCAPS INDUSTRIES LIMITED,,,,,,,No Fit,Insufficient public manufacturing signal
ACCUMAC,,,,,,,No Fit,Insufficient public manufacturing signal
ACCURATE SUPERIOR SCALE,,,,,,,No Fit,Insufficient public manufacturing signal
ACCUTEST MEXICO,,,,,,,No Fit,Insufficient public manufacturing signal
ACDIMA INTERNATIONAL TRADING,,,,,,,No Fit,Insufficient public manufacturing signal
ACE LABORATORIES,,,,,,,No Fit,Insufficient public manufacturing signal
ACE PHARMAEUTICALS BV,,,,,,,No Fit,Insufficient public manufacturing signal
"ACELRX PHARMACEUTICALS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ACELRX PHARMACEUTICALS-CA ***DO NOT USE THIS ACCT,,,,,,,No Fit,Insufficient public manufacturing signal
ACENZIA INC.,,,,,,,No Fit,Insufficient public manufacturing signal
ACEPHARM LABORATORIES,,,,,,,No Fit,Insufficient public manufacturing signal
ACERUS PHARMACEUTICALS CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
ACF PHARMA,,,,,,,No Fit,Insufficient public manufacturing signal
ACG NORTH AMERICA LLC,,,,,,,No Fit,Insufficient public manufacturing signal
ACG PAM PHARMA TECHNOLOGIES PVT LTD,,,,,,,No Fit,Insufficient public manufacturing signal
ACG PAM PHARMA TECHNOLOGIES PVT. LTD,,,,,,,No Fit,Insufficient public manufacturing signal
ACG PAM PHARMA TECHNOLOGIES PVT. LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
ACG WARNER LAMBERT,,,,,,,No Fit,Insufficient public manufacturing signal
"ACHAOGEN, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ACHE LABORATORIOS FARMA S.A.,,,,,,,No Fit,Insufficient public manufacturing signal
ACHE LABORATORIOS FARMACEUTICOS S.A.,,,,,,,No Fit,Insufficient public manufacturing signal
ACHILLION PHARMACEUTICALS INC.,,,,,,,No Fit,Insufficient public manufacturing signal
ACINO PHARMA AG,,,,,,,No Fit,Insufficient public manufacturing signal
"ACKLANDS-GRAINGER, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ACME FIBERGLASS,,,,,,,No Fit,Insufficient public manufacturing signal
ACME MUNITIONS,,,,,,,No Fit,Insufficient public manufacturing signal
ACOLOGY PRESCRIPTION COMPOUND,,,,,,,No Fit,Insufficient public manufacturing signal
ACRAF ANGELINI S.P.A.,,,,,,,No Fit,Insufficient public manufacturing signal
ACROMAX,,,,,,,No Fit,Insufficient public manufacturing signal
"ACROMAX DOMINICANA, S.A.***DO NOT USE***",,,,,,,No Fit,Insufficient public manufacturing signal
ACTA ** DO NOT USE **,,,,,,,No Fit,Insufficient public manufacturing signal
ACTA PHARMACAL CO.,,,,,,,No Fit,Insufficient public manufacturing signal
ACTAVIS A/S,,,,,,,No Fit,Insufficient public manufacturing signal
"ACTAVIS ELIZABETH, LLC",,,,,,,No Fit,Insufficient public manufacturing signal
ACTAVIS ICELAND,,,,,,,No Fit,Insufficient public manufacturing signal
ACTAVIS LTD. MALTA,,,,,,,No Fit,Insufficient public manufacturing signal
ACTAVIS MIDATLANTIC L.L.C.,,,,,,,No Fit,Insufficient public manufacturing signal
ACTAVIS MIDATLANTIC L.L.C.-NC,,,,,,,No Fit,Insufficient public manufacturing signal
ACTAVIS PHARMA MFG PVT LTD,,,,,,,No Fit,Insufficient public manufacturing signal
"ACTAVIS SOUTHATLANTIC, L.L.C.",,,,,,,No Fit,Insufficient public manufacturing signal
"ACTAVIS TOTOWA, L.L.C.*** DO NOT USE",,,,,,,No Fit,Insufficient public manufacturing signal
ACTAVIS UK,,,,,,,No Fit,Insufficient public manufacturing signal
ACTAVIS/WATSON,,,,,,,No Fit,Insufficient public manufacturing signal
ACTELION PHARMACEUTICALS,,,,,,,No Fit,Insufficient public manufacturing signal
ACTERA PHARMACEUTICALS,,,,,,,No Fit,Insufficient public manufacturing signal
ACTIFARMA S.A.,,,,,,,No Fit,Insufficient public manufacturing signal
ACTIGEN COMPANY,,,,,,,No Fit,Insufficient public manufacturing signal
ACTIVE CONFECTIONERY CO.,,,,,,,No Fit,Insufficient public manufacturing signal
ACTIVITOOL,,,,,,,No Fit,Insufficient public manufacturing signal
ACTIVITY CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
"ACUCELA, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"ACURA PHARMACEUTICAL TECHNOLOGIES, INC",,,,,,,No Fit,Insufficient public manufacturing signal
"ACUSPHERE, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"AD BIOTECH SOLUTIONS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"ADA MEDICAL, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"ADAM NUTRITION, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ADAMED PHARMA S.A,,,,,,,No Fit,Insufficient public manufacturing signal
ADAMED PHARMA S.A.,,,,,,,No Fit,Insufficient public manufacturing signal
ADAMS RESPIRATORY THERAPEUTICS,,,,,,,No Fit,Insufficient public manufacturing signal
ADCAN PHARMA LLC,,,,,,,No Fit,Insufficient public manufacturing signal
ADCAN PHARMA LLC,,,,,,,No Fit,Insufficient public manufacturing signal
ADCOCK INGRAM HEALTHCARE PTY LTD,,,,,,,No Fit,Insufficient public manufacturing signal
ADDS PHARMACEUTICALS,,,,,,,No Fit,Insufficient public manufacturing signal
"ADEONA PHARMACUETICALS, INC",,,,,,,No Fit,Insufficient public manufacturing signal
ADEPT LIFE SCIENCES,,,,,,,No Fit,Insufficient public manufacturing signal
ADEX MANUFACTURING LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
ADIOS WEIGHT LOSS,,,,,,,No Fit,Insufficient public manufacturing signal
ADIPHARM,,,,,,,No Fit,Insufficient public manufacturing signal
ADM DENMARK A/S,,,,,,,No Fit,Insufficient public manufacturing signal
"ADM LABORATORIES, INC. ***",,,,,,,No Fit,Insufficient public manufacturing signal
ADM/WILD FLAVORS,,,,,,,No Fit,Insufficient public manufacturing signal
ADMET,,,,,,,No Fit,Insufficient public manufacturing signal
ADMINICAL TRADING,,,,,,,No Fit,Insufficient public manufacturing signal
ADOLOR CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
"ADRANOS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ADRIA LABORATORIES - PR,,,,,,,No Fit,Insufficient public manufacturing signal
ADVANCE FUNDING CO. INC,,,,,,,No Fit,Insufficient public manufacturing signal
ADVANCE PHARMA BERLIN GMBH,,,,,,,No Fit,Insufficient public manufacturing signal
ADVANCED BIONUTRITION COMPANY,,,,,,,No Fit,Insufficient public manufacturing signal
ADVANCED METALLURGY INC.,,,,,,,No Fit,Insufficient public manufacturing signal
ADVANCED PACKAGING SYSTEMS LTD,,,,,,,No Fit,Insufficient public manufacturing signal
ADVANCED PHARM. NANOTECH LLC,,,,,,,No Fit,Insufficient public manufacturing signal
ADVANCED PRODUCTS,,,,,,,No Fit,Insufficient public manufacturing signal
ADVANCED RECLAMATIONS,,,,,,,No Fit,Insufficient public manufacturing signal
ADVANCED RESEARCH,,,,,,,No Fit,Insufficient public manufacturing signal
"ADVANTAGE COSMETICS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ADVANTAGE MANUFACTURING,,,,,,,No Fit,Insufficient public manufacturing signal
ADVANTAGE MEDICAL AND PHARMACY,,,,,,,No Fit,Insufficient public manufacturing signal
ADWIA CO.,,,,,,,No Fit,Insufficient public manufacturing signal
ADWIA PHARMACEUTICAL,,,,,,,No Fit,Insufficient public manufacturing signal
AENOVA DORAL MANUFACTURING,,,,,,,No Fit,Insufficient public manufacturing signal
AENOVA GROUP SWISS CAPS GMBH,,,,,,,No Fit,Insufficient public manufacturing signal
AEONCLAD COATINGS,,,,,,,No Fit,Insufficient public manufacturing signal
"AEROGROW INTERNATIONAL, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
AEROGROW R & D,,,,,,,No Fit,Insufficient public manufacturing signal
AEROJET - NM,,,,,,,No Fit,Insufficient public manufacturing signal
AEROJET ROCKETDYNE,,,,,,,No Fit,Insufficient public manufacturing signal
AEROJET-CA,,,,,,,No Fit,Insufficient public manufacturing signal
AEROMATIC,,,,,,,No Fit,Insufficient public manufacturing signal
AESCHLIMANN GRUENENMATT,,,,,,,No Fit,Insufficient public manufacturing signal
AET GMBH & CO.,,,,,,,No Fit,Insufficient public manufacturing signal
"AETERMED,INC.",,,,,,,No Fit,Insufficient public manufacturing signal
AEVOS EQUIPEMENT,,,,,,,No Fit,Insufficient public manufacturing signal
AFB INTERNATIONAL,,,,,,,No Fit,Insufficient public manufacturing signal
AFERSA,,,,,,,No Fit,Insufficient public manufacturing signal
"AFEXA LIFE SCIENCES, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
AFFINITY WHOLE HEALTH,,,,,,,No Fit,Insufficient public manufacturing signal
AFLOFARM FARMACJA POLSKA SP. Z.O.O.,,,,,,,No Fit,Insufficient public manufacturing signal
AFROMED INDUSTRIES,,,,,,,No Fit,Insufficient public manufacturing signal
AFT PHARMACEUTICALS,,,,,,,No Fit,Insufficient public manufacturing signal
"AG GROW IMPORTS, LLC",,,,,,,No Fit,Insufficient public manufacturing signal
AGENCES JACQUES H. DROLET INC.,,,,,,,No Fit,Insufficient public manufacturing signal
AGI THERAPEUTICS,,,,,,,No Fit,Insufficient public manufacturing signal
AGNITIO INC.,,,,,,,No Fit,Insufficient public manufacturing signal
AGOURON/PFIZER INC.,,,,,,,No Fit,Insufficient public manufacturing signal
AGP (ALI GOHAR) PVT LTD,,,,,,,No Fit,Insufficient public manufacturing signal
"AGREX FK, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
AGRI-CHEM,,,,,,,No Fit,Insufficient public manufacturing signal
AGRITAB CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
"AGROFRESH FRUIT PROTECTION, S.A.",,,,,,,No Fit,Insufficient public manufacturing signal
AGROINDUSTRIA MACA ECOLOGICA DEL PERU E.I.R.L.,,,,,,,No Fit,Insufficient public manufacturing signal
AGROPHARM LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
"AGS TECHNOLOGY, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"AHAVA (USA), INC.",,,,,,,No Fit,Insufficient public manufacturing signal
AHNGOOK PHARM,,,,,,,No Fit,Insufficient public manufacturing signal
AII SYSTEMS,,,,,,,No Fit,Insufficient public manufacturing signal
AIKINS PHARMACEUTICAL,,,,,,,No Fit,Insufficient public manufacturing signal
AIM INDUSTRIES,,,,,,,No Fit,Insufficient public manufacturing signal
AIPING PHARMACEUTICAL INC.,,,,,,,No Fit,Insufficient public manufacturing signal
AIR COMPANY INC,,,,,,,No Fit,Insufficient public manufacturing signal
AIR PRODUCTS & CHEMICAL,,,,,,,No Fit,Insufficient public manufacturing signal
AIR SUPREAMACY,,,,,,,No Fit,Insufficient public manufacturing signal
AIRWICK INDUSTRIES,,,,,,,No Fit,Insufficient public manufacturing signal
AJANTA PHARMA INC.,,,,,,,No Fit,Insufficient public manufacturing signal
AJANTA PHARMA LTD,,,,,,,No Fit,Insufficient public manufacturing signal
AJANTA PHARMA LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
"AKASHI PHARMACEUTICALS, INC (HALO)",,,,,,,No Fit,Insufficient public manufacturing signal
AKASIA HEALTH,,,,,,,No Fit,Insufficient public manufacturing signal
"AKEBIA THERAPEUTICS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
AKESIA S.A. DE C.V.,,,,,,,No Fit,Insufficient public manufacturing signal
"AKINA, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
AKorn Holding Company LLC,,,,,,,No Fit,Insufficient public manufacturing signal
"AKPHARMA, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
AKRON ORGANICS LLC,,,,,,,No Fit,Insufficient public manufacturing signal
AL MEDI-MARKET,,,,,,,No Fit,Insufficient public manufacturing signal
AL-ALAMYAH COMPANY FOR PHARMACEUTICAL IND LTD IRAQ,,,,,,,No Fit,Insufficient public manufacturing signal
AL-MAWRED PHARMA INDUSTRIES,,,,,,,No Fit,Insufficient public manufacturing signal
ALACER CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
"ALAN LABORATORIES, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ALANA PHARMACEUTICALS,,,,,,,No Fit,Insufficient public manufacturing signal
ALANDALOUS PHARMACEUTICAL COMPANY,,,,,,,No Fit,Insufficient public manufacturing signal
ALAPIS AVEE,,,,,,,No Fit,Insufficient public manufacturing signal
ALARA PHARMACEUTICAL CORP.,,,,,,,No Fit,Insufficient public manufacturing signal
ALARON PRODUCTS,,,,,,,No Fit,Insufficient public manufacturing signal
ALBEMARLE CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
"ALBERT MAX, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ALBI IMPORTS,,,,,,,No Fit,Insufficient public manufacturing signal
"ALBION LABORATORIES, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ALBIS SA,,,,,,,No Fit,Insufficient public manufacturing signal
ALCALA FARMA,,,,,,,No Fit,Insufficient public manufacturing signal
ALCAMI CORPORATION *****DO NOT USE*******,,,,,,,No Fit,Insufficient public manufacturing signal
ALCER CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
"ALCON - FT. WORTH, TX",,,,,,,No Fit,Insufficient public manufacturing signal
ALCON LABORATORIES INC - PR,,,,,,,No Fit,Insufficient public manufacturing signal
ALEMBIC LABS LLC,,,,,,,No Fit,Insufficient public manufacturing signal
ALEMBIC PHARMACEUTICALS LIMITED,,,,,,,No Fit,Insufficient public manufacturing signal
ALEMBIC PHARMACEUTICALS LIMITED,,,,,,,No Fit,Insufficient public manufacturing signal
ALEMBIC PHARMACEUTICALS LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
ALEMBIC PHARMACEUTICALS LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
ALEX DAVIS & ASSOCIATES INC,,,,,,,No Fit,Insufficient public manufacturing signal
ALEXANDRIA COMPOUNDING PHARMACY,,,,,,,No Fit,Insufficient public manufacturing signal
ALEXANDRIA PHARMACEUTICAL,,,,,,,No Fit,Insufficient public manufacturing signal
ALFA LAVAL CARDINAL SYSTEMS,,,,,,,No Fit,Insufficient public manufacturing signal
ALFACAPS LLC,,,,,,,No Fit,Insufficient public manufacturing signal
"ALFASIGMA USA, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ALFATEK PHARMA,,,,,,,No Fit,Insufficient public manufacturing signal
ALFATIMI FARMA,,,,,,,No Fit,Insufficient public manufacturing signal
ALFER LABORATORIES,,,,,,,No Fit,Insufficient public manufacturing signal
"ALFIE PACKERS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ALFONSO SANCHEZ,,,,,,,No Fit,Insufficient public manufacturing signal
ALFREDO UGAZ GUIMET,,,,,,,No Fit,Insufficient public manufacturing signal
ALG PHARMA,,,,,,,No Fit,Insufficient public manufacturing signal
ALGOMHOREYA,,,,,,,No Fit,Insufficient public manufacturing signal
ALGOMHORIA DRUG COMPANY,,,,,,,No Fit,Insufficient public manufacturing signal
ALGON CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
ALI RAIF ILAC SANAYI ANONIM SIRKETI,,,,,,,No Fit,Insufficient public manufacturing signal
ALIGN BIOSCIENCE,,,,,,,No Fit,Insufficient public manufacturing signal
"ALIGN TECHNOLOGY, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"ALIMENT INDUSTRY CO., LTD",,,,,,,No Fit,Insufficient public manufacturing signal
ALIMENTOS CORDILLERA LTDA.,,,,,,,No Fit,Insufficient public manufacturing signal
ALIUM MEDICAL,,,,,,,No Fit,Insufficient public manufacturing signal
ALKALON A/S,,,,,,,No Fit,Insufficient public manufacturing signal
ALKEM LABORATORIES,,,,,,,No Fit,Insufficient public manufacturing signal
ALKEM LABORATORIES LIMITED,,,,,,,No Fit,Insufficient public manufacturing signal
ALKO DIAGNOSTIC CORP.,,,,,,,No Fit,Insufficient public manufacturing signal
ALL AMERICAN PHARM. & NATURAL***,,,,,,,No Fit,Insufficient public manufacturing signal
ALLAN CANDY LIMITED,,,,,,,No Fit,Insufficient public manufacturing signal
ALLENA PHARMACEUTICALS,,,,,,,No Fit,Insufficient public manufacturing signal
"ALLENA PHARMACEUTICALS, INC",,,,,,,No Fit,Insufficient public manufacturing signal
"ALLENBURY PHARMACEUTICALS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ALLERGAN (P.R. FACILITY) - CA,,,,,,,No Fit,Insufficient public manufacturing signal
ALLERGAN LOK PRODUTOS FARMA.,,,,,,,No Fit,Insufficient public manufacturing signal
ALLERGAN PHARM. - IRELAND,,,,,,,No Fit,Insufficient public manufacturing signal
"ALLIANCE MEDICAL PRODUCTS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ALLIANT TECHNICAL SYST.,,,,,,,No Fit,Insufficient public manufacturing signal
ALLIANT TECHSYSTEMS INC. (ATK),,,,,,,No Fit,Insufficient public manufacturing signal
"ALLIANT TECHSYSTEMS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ALLIED BLOCK INDUSTRIES,,,,,,,No Fit,Insufficient public manufacturing signal
ALLIED INTERNATIONAL ***,,,,,,,No Fit,Insufficient public manufacturing signal
ALLIED PHARMA INC.,,,,,,,No Fit,Insufficient public manufacturing signal
ALLIED PHARMA TECHNOLOGIES,,,,,,,No Fit,Insufficient public manufacturing signal
ALLIED SUPPLEMENTS,,,,,,,No Fit,Insufficient public manufacturing signal
ALLROUND ENGINEERING,,,,,,,No Fit,Insufficient public manufacturing signal
ALMA HOLDINGS  LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
ALMA THERAPEUTICS,,,,,,,No Fit,Insufficient public manufacturing signal
ALMAC CLINICAL SERVICES,,,,,,,No Fit,Insufficient public manufacturing signal
ALMAC PHARMA SERVICES,,,,,,,No Fit,Insufficient public manufacturing signal
ALMAX CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
ALMIL NUTRITIONAL,,,,,,,No Fit,Insufficient public manufacturing signal
ALMIRALL PRODES FARMA,,,,,,,No Fit,Insufficient public manufacturing signal
ALOHA CBD,,,,,,,No Fit,Insufficient public manufacturing signal
"ALOHA MEDICINALS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ALPHA,,,,,,,No Fit,Insufficient public manufacturing signal
ALPHA ASSEMBLY SOLUTIONS INC.,,,,,,,No Fit,Insufficient public manufacturing signal
ALPHA BUDDIES,,,,,,,No Fit,Insufficient public manufacturing signal
ALPHA CHEMICAL,,,,,,,No Fit,Insufficient public manufacturing signal
ALPHA LABORATORIES (NZ) LTD,,,,,,,No Fit,Insufficient public manufacturing signal
ALPHA OMEGA COLLECTIS LLC,,,,,,,No Fit,Insufficient public manufacturing signal
ALPHA PHARM INDUSTRY,,,,,,,No Fit,Insufficient public manufacturing signal
ALPHA RESH & DEVELPMENT,,,,,,,No Fit,Insufficient public manufacturing signal
ALPHA SCRIPTICS  INC.,,,,,,,No Fit,Insufficient public manufacturing signal
ALPHA-CHEM,,,,,,,No Fit,Insufficient public manufacturing signal
ALPHACHEM,,,,,,,No Fit,Insufficient public manufacturing signal
ALPHAPHARM PTY LTD,,,,,,,No Fit,Insufficient public manufacturing signal
ALPINE HEALTH PRODUCTS LLC,,,,,,,No Fit,Insufficient public manufacturing signal
ALPINE TECH USA L.L.C,,,,,,,No Fit,Insufficient public manufacturing signal
"ALPS HOMERB, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
ALRA LABORATORIES,,,,,,,No Fit,Insufficient public manufacturing signal
